label,actual_true,inverted_true,total,actual_pct,inverted_pct,net_pct
"circle entries report more administrative and governance dysfunction plus operational failures in support services (turnover, secrecy, favoritism, misallocation, cover‑ups, counselor/scheduling/records breakdowns) than square entries",890.0,1186.0,2815,31.616341030195382,42.13143872113677,-10.515097690941385
"circle entries report more chronic facilities, resource, and operational shortfalls (overcrowding, HVAC/pests, missing materials, mandatory fees and opaque charges) than square entries",441.0,648.0,2829,15.588547189819725,22.90562036055143,-7.317073170731708
"circle entries report more concrete operational and facility shortcomings (outdated curriculum/technology gaps, missing textbooks, overcrowding, cleanliness/food safety problems, parking/traffic hazards, and mixed renovation/funding narratives) than square entries",466.0,697.0,2792,16.69054441260745,24.964183381088827,-8.273638968481375
"circle entries emphasize a smaller, close‑knit, family‑like community, higher personalized attention, and active alumni/parent involvement more than square entries",1184.0,909.0,2766,42.80549530007231,32.86334056399132,9.942154736080983
"circle entries report pervasive safety, bullying, harassment, substance‑use, and discriminatory/toxic student‑climate problems with administrative inaction more than square entries",776.0,1032.0,2772,27.994227994227995,37.22943722943723,-9.235209235209235
square entries display a more polarized instructional experience than circle entries: distinct pockets of high‑intensity individualized support and advanced teaching alongside uneven classroom quality and neglect of average/struggling students,1320.0,776.0,2807,47.02529390808692,27.64517278232989,19.380121125757036
"square entries document more systemic administrative and governance failures — corruption/favoritism, hiring problems, grade manipulation, fiscal misprioritization, consolidation/board mismanagement, and routine communication/accountability breakdowns — than circle entries",981.0,782.0,2810,34.91103202846975,27.82918149466192,7.081850533807829
square entries emphasize broader extracurricular/arts/athletics breadth and stronger community/booster support but also more athletic prioritization and favoritism than circle entries,665.0,361.0,2801,23.74152088539807,12.888254194930383,10.85326669046769
"square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries",703.0,456.0,2835,24.797178130511465,16.084656084656086,8.71252204585538
"square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries",952.0,697.0,2474,38.48019401778496,28.172999191592563,10.3071948261924
