Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|final1|19|0,"[""{\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""Groups reviews that explicitly describe leadership, board, hiring/favoritism, policy opacity, turnover or fiscal/disciplinary governance problems; this is distinct from other buckets because it focuses on institutional decision‑making and governance structures rather than frontline student supports, safety incidents, program offerings, or intra‑school variability.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""Captures concrete breakdowns or shortages in counseling, IEP/504 processes, special‑education compliance, nurse/therapy availability and related service delivery failures; it is mutually exclusive because it concerns operational student support systems and compliance rather than governance, general safety/discipline incidents, program breadth, or variability in teacher/student experiences.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""Groups content describing direct threats to student safety and hostile peer climate (fights, sexual assault, drugs, harassment, self‑harm), which is different from governance or counseling failures (which are about systems), academic/program offerings (which are about curriculum/opportunities), and variability (which is about mixed experiences across cohorts/teachers).\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""Aggregates observations about starkly mixed experiences within the same school—‘pockets’ of excellence alongside serious deficits, uneven teacher quality, and polarized outcomes—and is distinct because it describes heterogeneity across people/units rather than single‑domain failures like safety incidents, governance, support services, or program availability.\"",\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""Groups all references to explicit curricular/program offerings and documented college/career results (AP, IB, dual credit, CTE, scholarships, matriculation), and is mutually exclusive because it focuses on programmatic breadth and measurable outcomes rather than governance, student support breakdowns, safety/climate problems, or intra‑school variability.\"" \n}""]",,12.683747053146362,19812,320,881,,[],['resp_09e57e247597de50006a725873b658819da004cf301ced0e37'],True
vote|final1|8|0,"[""{\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""Groups many raw terms that enumerate AP/IB/dual-enrollment/CTE/academies, documented college matriculation and measurable outcomes into a single program-and-outcomes bucket; this is distinct from governance, safety, support-service, or experience-variability issues because it describes concrete curricular/pathway offerings and postsecondary results rather than leadership, discipline, counseling, or intra-school inconsistency.\"",\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""Captures complaints about school leadership, favoritism, opaque or punitive policies, budget/priority choices and turnover; it is focused on governance and power/decision-making behaviors and thus mutually exclusive from buckets about program offerings, frontline support-service failures, safety/climate incidents, or heterogeneous student experiences.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""Groups the many items about overloaded counselors, poor guidance/dual-enrollment advising, IEP delays/noncompliance and constrained tutoring into a single service-delivery/compliance bucket; this is about operational failures in student supports (and legal/process compliance), distinct from high-level governance, curricular breadth/outcomes, safety/climate problems, or within-school variability.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""Aggregates evidence that experiences vary dramatically by program, time, administrator, or cohort—i.e., polarized outcomes and uneven implementation—making this a consistency/heterogeneity bucket that differs from the content-focused buckets (program breadth), governance failures, frontline support-service breakdowns, or safety/climate incidents.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""Collects all reports of bullying, drugs, gangs, weapons, hate incidents, fights and other threats to safety and emotional well‑being into a single social-climate/safety bucket, which is clearly separable from program quality/outcomes, governance issues, counseling/SPED service failures, and the broader inconsistency/variability theme.\""\n}""]",,13.812579870223999,19602,704,1258,,[],['resp_05346affdc798338006a7258719c108191b4dd0d792ed4c212'],True
vote|final1|7|0,"[""{\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""This groups all programmatic and outcome evidence (AP, IB, dual enrollment, academies, elite college placements and AP/IB exam results) and is distinct from other buckets because it concerns formal curricular pathways and measurable postsecondary results rather than staffing, discipline, safety, or uneven implementation issues.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""This captures counselors, college-advising breakdowns, 504/IEP noncompliance, and inadequate mental‑health supports, and is separate from governance or safety categories because it focuses on direct student support services and legal/implementation failures rather than leadership behavior, student incidents, or program breadth.\"",\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""This groups leadership and district-level problems (nonresponsive principals/superintendents, favoritism, fiscal mismanagement, punitive policies and turnover) and is exclusive because it addresses institutional governance and policy actions rather than frontline student-safety incidents, program offerings, or inconsistent classroom supports.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""This aggregates concrete safety and social‑climate harms (bullying, fights, substance use, racial/transphobic attacks, suicidality) and is distinct from administrative or support-service failures because it centers on interpersonal harm and schoolwide safety incidents rather than governance, programmatic offerings, or variability in staff practice.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""This bucket captures heterogeneous experiences—excellent vs poor teachers, spotty counseling/SpEd practice, polarized student outcomes and family advocacy—and is mutually exclusive because it describes internal inconsistency and variability across classrooms and students rather than overall program availability, governance failures, or episodic safety crises.\""\n}""]",,15.300588607788086,19708,384,933,,[],['resp_042d0a237b5a09d3006a725871e7dc819d90dfb7181a7afe32'],True
vote|final1|18|0,"[""{\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""This bucket groups all raw terms about inadequate or punitive counseling, IEP/ special‑education failures, counselors devaluing students, turned‑away mental‑health help, and legal/advocacy fights for services — and is distinct from other buckets because it focuses specifically on operational breakdowns in student support and special‑education compliance rather than on safety incidents, program offerings, teacher variability, or governance problems.\"",\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""This bucket collects mentions of explicit advanced pathways (IB, AP, dual‑credit, CTE academies, pre‑apprenticeships) and measurable college/job outcomes (scholarships, Ivy/MIT admits, 100% placement) and is mutually exclusive because it captures program breadth/outcomes rather than service failures, safety/climate issues, intra‑school inconsistency, or administrative misconduct.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""This bucket aggregates concrete reports of violence, gangs, drugs/overdoses, homophobic and racist harassment, self‑harm conversations, and failed anti‑vaping/discipline measures and is separate from other buckets because it is about student safety and peer social climate rather than support services, program offerings, teacher variability, or governance/budget issues.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""This bucket captures the pattern of highly variable experiences — some exemplary teachers/programs next to systemic lax instruction, polarized outcomes, and spotty IEP/counseling implementation — and is exclusive because it emphasizes heterogeneity and inconsistency within the school experience rather than absolute deficits in support services, school safety crises, program availability, or administrative corruption.\"",\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""This bucket groups governance-level claims (board/district mismanagement, favoritism/nepotism, budget misallocation, forced retirements, punitive discipline policies, censorship) and is distinct from other buckets because it targets institutional leadership, policy, and fiscal/governance failures rather than frontline student safety, program offerings, or within‑school instructional variability.\""\n}""]",,15.502073049545288,19342,256,853,,[],['resp_074b59fc902bb78e006a7258719dcc819f98658e53bc2701ac'],True
vote|final1|15|0,"[""{\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""This groups all examples of internal inconsistency — starkly different teacher quality, polarized student outcomes, and uneven application of supports — and is distinct from other buckets because it captures heterogeneity of day‑to‑day experiences within one building rather than systemwide policy failures, safety incidents, governance problems, or program breadth.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""This clusters the concrete incident‑level harms and peer‑culture problems described (drugs, fights, weapons, bullying, self‑harm, racist exclusion) and is mutually exclusive because it focuses on student safety and social climate rather than administrative governance, service/compliance capacity, intra‑school variability, or academic/program offerings.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""This captures repeated reports of understaffed/ineffective counseling, misplacement or noncompliance with special‑education needs, and strained support services, and differs from the administrative/gov dysfunction bucket because it centers on operational support capacity and legal/clinical compliance rather than favoritism, turnover, or opaque governance decisions.\"",\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""This groups allegations about leadership behavior, nepotism, biased discipline, retaliation, budget allocation and opaque policies, and is separate from safety, service capacity, internal variability, and program offerings because it concerns decisions, incentives, and power structures at the top rather than frontline incidents or curricular assets.\"",\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""This bucket collects all references to formal advanced pathways, vocational/academy offerings, dual‑credit/IB/AP programs and documented scholarship/college outcomes, and is distinct from the other buckets because it pertains to programmatic breadth and measurable academic pathways rather than safety, supports, governance, or within‑school variability.\""\n}""]",,17.549105167388916,19779,704,1217,,[],['resp_00774ccc60277831006a725871a04481a1b925456cdacb493e'],True
vote|final1|10|0,"[""{\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""Groups reviews describing broken or absent frontline student supports (IEP non‑compliance, ineffective guidance counselors, poor college advising, unmet accommodations and chronic counseling shortages) — a distinct operational/compliance cluster focused on student services rather than (a) the existence of advanced programs, (b) uneven within‑school experiences, (c) governance/favoritism problems, or (d) episodic safety incidents.\"",\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""Collects all mentions of formal advanced curricula, CTE/dual-credit offerings and explicit college matriculation metrics — a program‑and‑outcomes bucket about available pathways and measurable results that is conceptually separate from inconsistent support delivery, counseling failures, administrative dysfunction, or safety/climate complaints.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""Captures the pattern of polarized, contradictory experiences inside the same building (high achievers vs. neglected students, spotty teacher quality, advocacy‑dependent services) — an intra‑school heterogeneity theme that differs from simply having robust advanced programs, from systemic governance breakdowns, from frontline support shortages, and from discrete safety/discipline incidents.\"",\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""Encompasses reviews alleging leadership and policy failures (ignored parents, nepotism, fee enforcement, political board conflicts and opaque rules) — a governance/decision‑making cluster distinct from day‑to‑day student support/counseling problems, program availability, within‑school variability of instruction, or behavioral/safety events.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""Groups concrete incident‑driven safety and peer‑culture complaints (bullying, substance use, fights, hate incidents) — a behavioral and physical‑safety cluster that is separable from program offerings, administrative governance issues, frontline support/compliance breakdowns, or uneven instructional quality within the school.\""\n}""]",,17.84046196937561,19435,704,1276,,[],['resp_0900bd28bc951234006a7258719f90819ca6ba2c69a7ada6d2'],True
vote|final1|22|0,"[""{\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""This bucket groups many raw terms about conflicting reviewer experiences—some students thriving while others are neglected—and focuses on variability and uneven implementation of supports, which is distinct from systemic failures, program breadth, discipline/safety, or governance issues covered by the other buckets.\"",\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""This bucket captures the dense cluster of items that list AP/IB, dual enrollment, academies, and measurable college outcomes—programmatic breadth and outcomes that are materially different from variability of supports, special‑education failures, safety/climate problems, or administrative dysfunction.\"",\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""This bucket groups raw terms about leadership quality, favoritism, opaque discipline/policies, budget misuse and turnover and is mutually exclusive because it concerns governance behaviors and decisions rather than program offerings, frontline student‑support failures, intra‑school variability, or student safety incidents.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""This bucket isolates the repeated, concrete reports of counseling ineffectiveness, IEP non‑compliance, denied accommodations and special‑education barriers—focusing on service failures for vulnerable students (distinct from general variability, governance problems, program richness, or safety/discipline issues).\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""This bucket groups the many raw terms documenting bullying, substance use, fights, gangs, racist incidents and severe mental‑health impacts, which are specific operational safety and culture issues rather than administrative governance, academic program differences, or uneven support implementation.\""\n}""]",,18.028695106506348,20006,384,905,,[],['resp_07d104a7557e7287006a725871b668819e8f7ad85ac71e293e'],True
vote|final1|11|0,"[""{\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""Groups reviews that allege organizational and policy-level failures (board, principal, budgeting, opaque rules, favoritism) — clearly about governance and decision‑making and therefore distinct from student support breakdowns, safety incidents, within‑school variability, or program/offering descriptions.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""Captures explicit failures in counseling, caseload overloads, IEP noncompliance and special‑education gaps — concrete frontline service problems for vulnerable students that are operationally different from governance misconduct, campus safety incidents, inconsistent classroom experiences, or descriptions of advanced academic programs.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""Groups accounts emphasizing heterogeneity inside the same building — some students thriving while others are neglected — focusing on inconsistent implementation and unequal access rather than single‑axis problems of leadership, safety, counseling system collapse, or program breadth/outcomes.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""Captures direct reports of peer and campus safety hazards and toxic social climate (drugs, violence, harassment) which are distinct, tangible student‑behavior and protection issues separate from governance, counseling/IEP service quality, intra‑school variability, or curricular/program claims.\"",\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""Groups reviews that enumerate programmatic academic offerings and measurable college/career outcomes (IB, many APs, dual‑credit, internships, documented matriculations) — a program/outcome dimension that is conceptually different from governance problems, counseling failures, safety incidents, or unequal in‑school experiences.\""\n}""]",,18.15872287750244,19186,768,1263,,[],['resp_0a919db9fa91e130006a7258719d9881a395120ff7d515ed48'],True
vote|final1|6|0,"[""{\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""This bucket groups the many Square reports that the same school contains both excellent and terrible experiences (e.g., 'seasoned credentialed staff' alongside 'many poor teachers', polarised outcomes, and parents forced into advocacy), and is mutually exclusive because it captures cross‑school/internal inconsistency as a pattern distinct from (a) presence of formal programs, (b) outright failures in student support services, (c) safety/behavior incidents, and (d) governance/administrative dysfunction.\"",\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""This bucket groups all Square items that list specific advanced pathways, AP/IB/dual‑enrollment/CTE offerings and measurable college outcomes (e.g., AP lists, IB dominance, scholarship/college matriculation claims), and is exclusive because it focuses on documented programmatic capacity and measurable results rather than inconsistent experiences, counseling failures, safety/climate problems, or governance issues.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""This bucket groups Square references to ineffective guidance counseling, underfunded resource teachers, special‑education neglect and parental warnings to 'stay on top' of services, and is distinct from the variability bucket (which describes mixed quality across the school), the programmatic bucket (which documents advanced offerings), the safety bucket (which lists incidents), and the governance bucket (which documents administrative favoritism or turnover).\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""This bucket groups Square accounts of pervasive misconduct and threats to student safety — daily bullying, drug dealers, vaping epidemics, large fights, racism/transphobia and mental‑health harms — and is mutually exclusive because it catalogs incident‑level social/safety climate issues rather than program strength, counseling compliance, internal variability, or governance failures.\"",\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""This bucket captures Square allegations of nepotism, PTO/donor favoritism, punitive/opaque discipline, principal turnover, bribery and misallocated budgets (e.g., 'spend money on football fields not books'), and is exclusive because it targets institutional decision‑making and governance behavior rather than front‑line program offerings, counseling/service breakdowns, safety incidents, or intra‑school variability.\""\n}""]",,19.459959030151367,19467,768,1384,,[],['resp_088f2e07f2629508006a725871a424819f933673e204f97c6a'],True
vote|final1|3|0,"[""{\n    \""Square entries describe more concrete, diverse advanced academic and career-readiness programs and measurable postsecondary outcomes (AP/IB/dual-credit/CTE/academies) than circle entries\"": \""This groups all references to formal curricular offerings, credentialing, and college/matriculation evidence (AP/IB/dual-credit, CTE, academies and measurable outcomes); it is distinct from the other buckets because it catalogs program availability and results rather than staff behavior, safety incidents, governance, or case-level support failures.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""This captures reviewer claims about understaffed/unresponsive counselors, special-education cutbacks or noncompliance, and remediation/tutoring breakdowns; it is mutually exclusive because it focuses on formal support services and compliance rather than overall program breadth, administrative favoritism, intra-school variability, or student-safety incidents.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""This bucket groups reports of heterogenous experiences—wide teacher quality differences, polarized outcomes, and spotty implementation of the same programs—and is separate from admin-level dysfunction, because it emphasizes inconsistent delivery inside the school rather than policies, and separate from program breadth or safety issues which are different substantive axes.\"",\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""This groups governance-level complaints (board/district actions, favoritism, opaque discipline/funding choices, punitive policy enforcement, and leadership misconduct), distinct from counseling/service failures, program availability, intra-school variability of supports, or student-safety incidents, because it targets decision‑making and policy rather than frontline outcomes or incidents.\"",\n    \""square entries report more frequent and severe student-safety and social-climate problems (bullying, drug/vaping use, fights, gang/weapon incidents, racism/transphobia, self-harm) than circle entries\"": \""This bucket clusters concrete safety and peer‑interaction problems (bullying, fights, substance use, discrimination, threats to physical/mental wellbeing) and is mutually exclusive as it concerns student conduct and school climate incidents rather than programmatic offerings, counselor capacity, variability in teacher quality, or governance/policy issues.\""\n}""]",,19.912133932113647,19157,320,900,,[],['resp_086d42212e50de8d006a7258718aec819ca219560ce16784d2'],True
