topic_id,rank,similarity,universal-id,id,n_words,text
0,1,0.9362,1202381,1540028,18,This school is awesome. Its staff & teachers really care about our education and they are really nice.
0,2,0.9315,4202679,2647317,9,It's a great school with great teachers and students!
0,3,0.929,3601944,1542748,29,"This is one of the best schools I've ever been to.The teachers are great and the students here make great friends. Academically, this school is at a great level."
0,4,0.9209,3603003,5487449,12,"Amazing School. Teachers are very nice, helpful and care about the students."
0,5,0.9146,4702359,1548906,17,this school is amazing and I love it. everyone is so nice and the teachers are awesome.
0,6,0.9146,2602439,1351180,33,"This school is the best school I have been to. It is a nice, organized, and friendly school. The teachers are nice and help any individual student that needs help catching up. :)"
0,7,0.9127,600407,2557951,17,"I am going to this school and love it, it has the best Teachers and great pranciple"
0,8,0.9122,4900662,3539440,17,It is a great school with the majority of teachers being good and the students are amazing.
0,9,0.9117,2000949,4533067,10,It is a great school and the teachers are awesome!
0,10,0.9116,3602023,1194595,38,This School is a really great school. I enjoyed my time here and in fact i have grew to be a very responsible person because of this school pushing me in the right direction! The teachers were excellent!
1,1,0.9057,5101328,1421395,102,"This school is horrible. The teachers are bitter, play favorites, can't do their jobs properly, and do nothing about bullying. The students are mean and bully kids if the child isn't to their standards. The administrators don't care, I know from experience since I was supposed to talk to the principal about something going on involving me getting bullied but he was too ""busy"" to do it and had me to talk to someone else. Don't send your child here, it's awful and it will put your child through a nightmare. They will literally be terrified to come to school every day."
1,2,0.8986,3300369,1167693,39,this school is awful about protecting your child from bullying the administration is awful and needs to be replaced they are very unorganized and sneaky. they school is so overcrowded the kids are squished in the hall changing classes.
1,3,0.8979,4001380,2222848,38,I have two children who attend this school. I had to pull one of my students out because they were being bullied. I believe they have a big discipline problem and bullying problem that needs to be addressed.
1,4,0.8917,5500447,1485263,46,My school is horrendous. If you're thinking of putting your child in this district you better hope they have the right looks. So much bullying happens here that goes untouched. My family has contacted the principal and he did nothing which leaves the bulling to happen.
1,5,0.8899,400373,1465991,50,I have nothing good to say about this school... if you have an issue you have no way of knowing if it was handled. They care more about protecting their staff than caring for the students. Bullying is at an all new level when the school is whose doing it
1,6,0.889,900343,1472093,61,"Too many students in this school, many of whom do not respect their teachers. Bullying is out of control and the teachers and administration do nothing to stop it. The school is very good at sweeping student issues under the rug. Very disappointed and cannot wait to get my child out of the district at the end of this school year."
1,7,0.8887,1801014,1258638,31,This school has great teachers and some of the students there are great. But when I attended there was a lot of bullying going on and the principal would do nothing
1,8,0.8882,612189,1321741,63,"This school is administered very poorly, worst school ever. The sad thing is I have gone to the PRINCIPAL for assistance and this Principal who states that BULLYING is not tolerated did not take proper action. Instead it took someone else lower took an initiative to LISTEN and assist. I as well will NEVER put my next child in this poorly administered SCHOOL!"
1,9,0.8873,3901822,5270542,68,This school is a cesspit. I see kids get bullied all the time and teachers don't deal with the bullies effectively. At most they get a slap on the wrist! NEVER doing any proper justice to the kids who deal with the bullies. This school ENABLES terrible behavior. They only ever punish the kids who are only standing up for themselves cause this school does not help them.
1,10,0.887,5501205,1293917,139,"I was a student there from 6th to 10th grade and the school was not decent at all. The students didn't care about the learning or the teachers. They believed that they could do what ever they wanted and they did not act responsible or respectful to anyone. I was bullied there for years and the only way it stopped was when I swung back. The teachers are great and always want to teach and make the best of the year, but the students don't care and stop everything that they have planned. The other problem with the school is that the teachers have no bite. When bullying takes place, they are supposed to have a conference between the two students. You can bring the issue up to the teacher or the principle and no action would be done."
2,1,0.8683,4802217,1727884,29,The teachers and staff are great! They go out of there way to help the students and the families. To help make the students successful in all they do
2,2,0.8634,4201717,1088535,22,The teachers are great they care about their students. They go above and beyond what is needed when a student needs help.
2,3,0.8615,4810523,3219674,16,"Excellent, caring teachers and staff. The school’s goal is for each student to reach their potential."
2,4,0.859,1300993,3561397,14,Overall a great experience with teachers and staff who really care about the students.
2,5,0.8552,1701743,4292379,13,Great teachers and staff. You can definitely tell they care for the students
2,6,0.8512,2901635,2102990,16,Great teachers and staff. The teachers care about the student and go out of their way.
2,7,0.8497,4806386,5724009,24,The teachers are great. A lot of activities for the kids to be involved in. A lot of career prep opportunities for the students.
2,8,0.8477,3701488,4788001,16,The teachers at this school do a great job and are very dedicated to their students!
2,9,0.8454,101162,3320512,10,The teachers are great and the student leadership is awesome.
2,10,0.8453,603959,4966532,12,Very supportive and engaged teachers. Administration cares about the students. Friendly atmosphere.
3,1,0.8778,2901468,1311793,50,"If you care about academics, don't send your children to this school The school administrators are inept, the teachers uncaring, and the students small-minded. Really, they just want to move the students through, keep up their sports programs, and keep everyone close to home. Not a good school at all."
3,2,0.873,1800214,4426007,57,"This school definitely prepared my child for college but I saw way too many cases of non athletes. Being treated unfairly and treated as second class citizens.I have also seen children of coaches and teachers get away with anything at this school i.e. bullying, smoking jewels, blatant disrespect, etc... but nothing is done b/c daddybis a coach..."
3,3,0.8686,2601956,1096215,72,"I have mixed feelings about this school, the teachers do play favorites and if a student is not in sports, they are treated differently, and not for the better. Serious attention needs to be given to the attitudes of the teachers and staff. Just because a person is not in sports does not mean they will not be a good student. And if a student is struggling, they need help, not ridicule..."
3,4,0.8519,5103263,1255567,192,"I've had several children attend this school so far because of zoning, and every one of them has complained about the lack of attention that teachers, guidance, and administrators give. The sports program is an absolute joke. The coaches claim they have backgrounds in the sport, yet, when I attended reward ceremonies, some of the ""coaches"" admitted that they did not know a thing about the sport in which they were supposed to coach. The football and baseball coaches are obviously oblivious as to how to teach and train athletes. Unless you ve had some experience in football or baseball elsewhere, don t expect your child to learn anything from these guys. The academics is another fiasco. Students are pigeon-holed into programs and classes without any flexibility. It's virtually impossible to get any satisfaction during any parent-teacher conference because the teachers all come with an attitude that they know better than the parent how the child behaves. This is the worst public school in the area, and I would not be surprised if it was not the worst in the entire country. I will not send any more children to this school."
3,5,0.8511,5100506,5540868,198,"This school looks good from the outside and that's all there is. It's a travesty. Bullying goes on and on and on. Drugs, fights and nothing but talk from the administrators. Certain kids get away with anything but if one kid is a certain type, nothing will ever come their way. Not to speak of the corrupt sports teams where the same kind of kids make it. Rejection after rejection and again the administrators and so called coaches have excuses. You ask something, they are fake hurt and vehemently defend their nepotistic way. It's a chaotic school that screams Hawk pride while feeding on their young. Worst school by far. Blatant disregard of any kind of fairness while they claim to be so inclusive. An honor student goes to C- yet they advertise their academic programs that fail to address even the most basics in education. An outgoing kid is beaten into submission and anxiety with teachers standing by high fiving the perpetrators. An always athletic kid can't make any of the teams. The disconnect between their always empty words and slogans and propaganda and the reality of projecting fear, disregard, disrespect and exclusion is deafening and scary."
3,6,0.8473,3900575,1138002,136,"As the parent of a child who attended this school I am very disappointed in the in the overall educational and sports experience she had that this school. I don't feel they prepared her properly for college, they did not challenge her enough in the different subject matters. Their sports programs are among the worse in the city. They allow people with no coaching experience or no knowledge of the sport to be head coaches. They seem to have no idea how important sports can be in the educational process for a student. The current Principal has shown poor leadership and no direction for the school. There are some teachers at this school who do a very good job but there are not enough of them. I will not allow my son to attend this school."
3,7,0.844,2600500,4267197,48,"This school is more worried about sports than education. They don’t have a lot of classes to offer. This school is a hick town school, there’s barely any teachers because all they do is fire them for no reason. The students are rude! The teachers have their favorites."
