Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|reduce2|0|1,"[""{\n    \""square entries report greater variability and failures in instruction and student support services than circle entries (teacher competence, counseling, special‑education compliance, and course access)\"": \""This bucket groups the many raw terms about uneven/poor teaching, counselor shortages, IEP/504 noncompliance, missed classes/substitutes and restricted course access — a clearly instructional/student‑support domain distinct from (a) administrative/governance misconduct, (b) campus safety/incidents, (c) facility/capacity/resource problems, and (d) the existence or breadth of advanced academic programs.\"",\n    \""square entries report more frequent and severe student safety and discipline incidents (fights, gangs, drugs/vaping, weapons, lockdowns, pervasive bullying) than circle entries\"": \""This bucket captures the cluster of raw terms documenting physical safety threats, fights, drugs, weapons, bullying and mishandled discipline — issues about day‑to‑day student safety and peer misconduct that are separate from administrative governance failures, instructional quality, facility/crowding problems, or academic-program breadth.\"",\n    \""square entries report more concrete facility/resource and capacity issues, capital projects, and contested funding allocations than circle entries\"": \""This bucket groups raw terms about overcrowding, broken/restroom/maintenance problems, textbook/technology shortages, contested capital projects and visible funding choices — material and capacity constraints distinct from governance malpractice, teacher/support variability, safety incidents, or programmatic academic offerings.\"",\n    \""square entries describe substantially broader formal advanced/magnet/STEM/AP/IB/CTE academic programs and clearer college‑prep pathways — but also stronger intra‑school academic tracking and stratification between advanced and regular courses — more than circle entries\"": \""This bucket collects the many mentions of explicit AP/IB/honors/magnet/dual‑credit/CTE programs and measurable college outcomes — including descriptions of tracking and resource stratification — which are programmatic/ curricular features different from facility, safety, instruction/support, or governance problems.\"",\n    \""square entries report more administrative and governance dysfunction — unresponsiveness, opaque district/board problems, nepotism/financial irregularities, and inconsistent policy enforcement — than circle entries\"": \""This bucket groups reports of board/district mismanagement, nepotism, fiscal irregularities, punitive or arbitrary policy enforcement and cover‑ups — problems of leadership and governance that are conceptually distinct from instructional quality, physical safety incidents, facilities/capacity, or the presence of advanced academic programming.\""\n}""]",,21.22413969039917,22272,1152,1668,,[],['resp_04ca8768aba8ba6f006a72579d9ca081a0978e2012a1847588'],True
vote|reduce2|23|0,"[""{\n    \""square entries report more administrative and operational dysfunction (leadership turnover, policy inconsistency, poor communication, staffing instability, resource misallocation) than circle entries\"": \""Captures complaints about governance, policy shifts, opaque district/board behavior, staffing churn and misallocated budgets; this is distinct from safety, facilities, academic-program breadth, and special‑education/service failures because it focuses on leadership/operational governance rather than student behavior, physical plant, curricular offerings, or direct student‑support compliance.\"",\n    \""square entries report more pervasive student safety and conduct problems (bullying, fights, vaping, substance use, assaults) than circle entries\"": \""Groups all reviews documenting on‑campus violence, frequent fights, drug/substance problems, hazing and bullying and visible policing; this cluster is exclusive because it concerns student safety/behavior incidents and supervision breakdowns rather than administrative governance, program offerings, building logistics, or IEP/504/counseling compliance.\"",\n    \""square entries describe a broader, more documented menu of specialized academic pathways and extracurricular breadth (AP/IB/dual‑enrollment, vocational tracks, award‑winning arts/athletics, academies) than circle entries\"": \""Aggregates reports of concrete advanced-course offerings, IB/AP/dual‑enrollment, vocational/CTE programs, award‑winning arts and competitive athletics and measurable college outcomes; this bucket is programmatic (curriculum and extracurricular opportunity) and kept separate from facility/operational descriptions, safety incidents, administrative dysfunction, and individualized‑support failures.\"",\n    \""square entries contain more concrete facility, operational and infrastructure descriptions (both deficiencies and capital investments) than circle entries\"": \""Groups all material, logistical and infrastructure details—cafeteria/food safety, odors/pests, overcrowding/traffic, renovations/technology rollouts, transportation and scheduling problems—distinct from governance, safety/behavior, curricular breadth, or special‑education/service issues because it addresses the physical and operational environment of the school.\"",\n    \""square entries report more systemic failures and inconsistency in individualized student supports (special education, IEP/504 enforcement, guidance/counseling and mental‑health services) than circle entries\"": \""Captures essays about IEP/504 noncompliance, counseling shortages/mishandling, mental‑health neglect and both documented rescue successes and failures; this bucket is narrowly about individualized supports and legal/process compliance and is therefore distinct from admin governance broadly, facility conditions, safety incidents, or programmatic academic breadth.\""\n}""]",,24.279036283493042,26798,1344,1895,,[],['resp_08044a1df2346bfe006a72579dd00c819c8d471f2233634814'],True
vote|reduce2|23|1,"[""{\n    \""square entries report more administrative/staff governance dysfunction, favoritism, personnel misconduct, and resource/logistics failures than circle entries\"": \""Groups reviews describing leadership unresponsiveness, nepotism/favoritism, staff misconduct, record‑keeping and communication breakdowns and policy cover‑ups (e.g., hostile principals, wrongful withdrawals, administrative retaliation); this bucket is about governance and personnel practice and is kept distinct from student‑safety, student‑support, academic-program, and facilities issues which each address different actors and domains.\"",\n    \""square entries report more safety, bullying, substance‑use, and race/harassment incidents and ineffective disciplinary responses than circle entries\"": \""Captures concrete student‑safety and hostile‑climate reports (fights, EMS calls, pervasive bullying, LGBT/race‑targeted harassment, drug use) and repeated failure or inconsistency of disciplinary responses; it differs from the administrative bucket because it codes incidents and climate outcomes rather than managerial or personnel practices.\"",\n    \""square entries describe more inconsistent or inadequate student support services (special education/IEP/504, counseling, mental‑health, and college advising) than circle entries\"": \""Groups accounts about special‑education noncompliance, uneven IEP implementation, overworked/unhelpful counselors, poor college guidance or targeted remediation (both success and failure stories); this is focused on the availability and fidelity of student‑facing supports, not on program breadth, facilities, or governance per se.\"",\n    \""square entries report more concrete advanced-academic programs and measurable postsecondary outcomes than circle entries\"": \""Collects explicit mentions of AP/IB/Pre‑AP, dual‑enrollment, CTE/vocational pathways, measurable college credits and alumni college/career outcomes (e.g., dual credits, IB/AICE/tech pathways); it is expressly about program offerings and measurable outcomes and kept separate from support‑service quality or governance complaints.\"",\n    \""square entries report more acute facility, capacity and maintenance problems than circle entries\"": \""Groups complaints about overcrowding, sanitation, leaking roofs, supply shortages, scheduling/logistics constraints and infrastructure swings (new buildings vs. interior neglect); this bucket is about the physical environment and operational capacity and is mutually exclusive from governance, safety incidents, student supports, and academic program descriptions.\""\n}""]",,27.191709995269775,22229,1408,1885,,[],['resp_0d8bbfecc3a822b2006a72579d9bd0819c9b41b1ec4eaa6db0'],True
vote|reduce2|21|0,"[""{\n    \""square entries document more administrative dysfunction, favoritism, politicized or financially driven decision‑making, and mismanagement than circle entries\"": \""This bucket groups all governance- and personnel-centered reports (board/district blame, nepotism, cover‑ups, leadership turnover, punitive/opaque policies and fiscal/prioritization complaints) and is distinct from operational, safety, instructional, or programmatic buckets because it focuses on decision‑making, personnel conduct and governance rather than facility conditions, student incidents, classroom quality, or program offerings.\"",\n    \""square entries contain more detailed, concrete reports about facilities, operations, and on‑campus logistics (maintenance, cleanliness, overcrowding, transportation, cafeteria, security hardware) than circle entries\"": \""This bucket captures day‑to‑day physical and logistical issues (broken bathrooms, overcrowded corridors, meal/bussing/tech rollouts, construction/renovation swings) and is mutually exclusive from the governance bucket (which is about who makes decisions), the safety bucket (which is about student harm), the instructional/support bucket (which is about teaching and counseling), and the academic-program bucket (which is about AP/IB/CTE offerings).\"",\n    \""square entries report more frequent and severe student safety and discipline incidents (fights, gangs, drugs/vaping, weapons, lockdowns, pervasive bullying) than circle entries\"": \""This groups concrete reports of student harm, peer harassment, substance and gang activity, sexual harassment, and administrative failure to protect — a distinct theme centered on safety/discipline incidents and responses rather than facilities, governance, curricular offerings, or teacher/counseling variability.\"",\n    \""Square entries report richer, more detailed specialized academic pathways, AP/IB/magnet offerings, and measurable college‑prep outcomes than circle entries\"": \""This bucket clusters all explicit descriptions of formal advanced-program breadth and outcomes (AP/IB/dual‑enrollment, magnets, CTE/STEM academies, scholarship/college acceptances) and is separate from instructional variability (how classes are taught), operational problems, governance, or safety issues because it deals with program availability and postsecondary results.\"",\n    \""square entries show greater variability in classroom instruction and in student-facing supports (teacher quality, counseling, and special‑education access) — including both praised individualized help and repeated reports of unmet accommodations — than circle entries\"": \""This bucket captures inconsistencies in pedagogy, counselor/IEP performance, special‑education compliance, and polarized teacher quality (from standout mentors to neglectful staff), which is conceptually distinct from governance decisions, physical/logistical conditions, campus safety incidents, and the existence/level of formal advanced programs.\""\n}""]",,29.037472009658813,26904,1216,1778,,[],['resp_01daef6926b30674006a72579da0f8819292e8083d97bd8dbe'],True
vote|reduce2|12|0,"[""{\n    \""square entries describe more concrete college‑preparatory programs, advanced coursework and measurable postsecondary outcomes (AP pass rates, dual enrollment, elite admits, scholarships) than circle entries\"": \""Groups many raw items that list named AP/IB/dual‑credit pathways, measurable college placements and scholarship/test metrics into a single, program‑and‑outcomes bucket that is distinct from extracurricular, safety, facilities or governance concerns.\"",\n    \""square entries report more frequent and more severe student-safety and behavioral problems plus punitive/exclusionary discipline than circle entries\"": \""Captures the many reports of fights, bullying, drugs, assaults, threats, police/security involvement and heavy use of alternative/punitive placements — a concrete student‑safety/discipline cluster that is substantively different from program breadth, facilities, administrative governance, or support‑service issues.\"",\n    \""square entries document more administrative and governance failures, unresponsiveness, turnover, and fiscal/policy mismanagement than circle entries\"": \""Groups allegations about cover‑ups, favoritism/nepotism, board/leadership failures, opaque policy decisions, and high turnover together so governance/administration failures are separated from facilities problems, student safety, academic programming, and direct student supports.\"",\n    \""square entries report more concrete facility, technology, food-service, and logistical resource problems (and occasional visible renovations) than circle entries\"": \""Bundles sanitation, cafeteria quality, overcrowding, mold/health hazards, transport/scheduling, device rollouts, and visible capital projects into a single operational/resources bucket distinct from administration, safety, curricular or support‑service themes.\"",\n    \""Square entries provide more concrete accounts of counseling, special‑education supports, alternative programs and individualized interventions (including both successes and failures) than circle entries\"": \""Collects the many concrete, often conflicting reviewer accounts about IEP/504 mishandling, counseling/guidance performance, credit recovery, tutoring and special‑needs accommodations into one bucket focused on individualized student supports, separate from governance, facilities, safety, or advanced‑program claims.\""\n}""]",,30.847233772277832,26825,2432,2879,,[],['resp_06a88a6ae4330da5006a72579d9e6c819d8ba14e16ffbf7d5b'],True
vote|reduce2|10|0,"[""{\n    \""square entries report more administrative dysfunction, unresponsiveness, and misconduct (including nepotism, deceptive practices, and punitive parent responses) than circle entries\"": \""Covers governance/board/discipline/record‑keeping/favoritism failures (nepotism, cover‑ups, punitive transfers, mismanaged IEPs) described across many square reviews and is distinct from physical facility complaints, student safety incidents, program breadth, or variability in classroom supports.\"",\n    \""square entries report more frequent and severe student-safety incidents, bullying, fights, substance use, weapons, and discrimination than circle entries\"": \""Groups the many concrete reports of violence, bullying, gangs, drug/vaping incidents, sexual harassment and weapons threats in square entries and is clearly about student safety/behavior rather than administrative governance, facilities, academic offerings, or teacher/support variability.\"",\n    \""square entries report more extensive advanced academic and postsecondary pathways (AP/IB/dual‑enrollment/magnet/STEM/vocational) and measurable college outcomes than circle entries\"": \""Captures the numerous square claims of formal advanced pathways, AP/IB/dual‑credit, magnet/STEM/CTE programs and explicit college/scholarship outcomes (distinct from complaints about resources, safety, or administration).\"",\n    \""square entries report more facility, maintenance, and resource allocation problems (pests, overcrowding, HVAC, limited tech, uneven funding) than circle entries\"": \""Collects the concrete operational and physical‑plant failures in square reviews (overcrowding, dirty bathrooms, HVAC, construction, contested spending) and is separate from governance misconduct, student safety incidents, programmatic richness, or inconsistent classroom supports.\"",\n    \""Square entries show greater within‑school variability and inconsistent student supports (uneven teacher quality, mixed special‑education/IEP and counseling implementation, polarized student outcomes, and repeated parental advocacy) than circle entries\"": \""Groups square descriptions of stark intra‑school contrasts — standout teachers and college pipelines alongside IEP noncompliance, variable counseling, and widely divergent student outcomes — which is about instructional/support inconsistency rather than facilities, safety, governance, or sheer program breadth.\""\n}""]",,31.61918306350708,27038,1792,2288,,[],['resp_089c2c4bb56efba8006a72579d9e5481a3ab58d6621a3cb034'],True
vote|reduce2|16|0,"[""{\n    \""square entries report more frequent and severe student safety, substance, and security incidents (fights, assaults, drug dealing, lockdowns) than circle entries\"": \""Many raw items document fights, gang activity, drug epidemics, weapon/gun threats, pervasive bullying and police responses—this bucket isolates operationalized safety/violence/substance incidents (what happens to students physically and criminally) and is distinct from facility upkeep, administrative misconduct, or program offerings.\"",\n    \""Square entries document more administrative and district‑level mismanagement, favoritism/nepotism, politicization, and legal/financial controversies than circle entries\"": \""Numerous reviews name principals, indictments, favoritism, cover‑ups, opaque board decisions and fiscal scandal—this groups governance/leadership and systemic misconduct issues (who runs the school and how) and is conceptually separate from student safety events, instructional programs, facilities, or counseling/service breakdowns.\"",\n    \""square entries report more concrete advanced-academic programs and measurable postsecondary outcomes than circle entries\"": \""Many square reviews enumerate AP/IB/dual‑enrollment, academies, college credit and scholarship/acceptance metrics—this bucket captures programmatic academic breadth and measurable college‑prep outcomes (what curricular pathways exist and their results), not facility problems, safety incidents, or administrative behavior.\"",\n    \""Square entries report more concrete facility, operational, and resource problems (overcrowding, maintenance failures, textbook/technology shortages, scheduling/logistics, and fee pressures) than circle entries\"": \""Raw terms repeatedly cite overcrowding, HVAC/extreme temperatures, pests, broken infrastructure, tech/portal failures, outdated catalogs and scheduling failures—this groups physical plant and day‑to‑day logistics/resource constraints (how the building and operations function) and is distinct from student support services, safety incidents, or program offerings.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""Numerous items describe unresponsive guidance counselors, IEP/504 breakdowns, special‑education dumping, and unmet mental‑health needs—this bucket isolates student‑facing supports and legal/accommodation compliance (services intended to help students) and is kept separate from governance, facilities, safety incidents, or academic program breadth.\""\n}""]",,32.0435688495636,26533,1728,2249,,[],['resp_0ce750c34aaded6d006a72579d9c88819d8f453d36845739bb'],True
vote|reduce2|7|0,"[""{\n    \""square entries report more severe and pervasive student safety, bullying, substance‑use, and mental‑health crises than circle entries\"": \""Captures the large cluster of reports about fights, weapons, gang/drug presence, pervasive bullying, suicidality and mental‑health harm in square reviews — a distinct operational safety/climate theme that is separate from program offerings, administration behavior, staffing/support services, or facility/resource issues.\"",\n    \""square entries report more concrete advanced academic pathways and measurable postsecondary outcomes (AP/IB/honors, dual‑enrollment, magnets, college placement, test‑score claims) than circle entries\"": \""Groups the many square claims about formal AP/IB/dual‑enrollment/magnet/CTE tracks, test‑score and scholarship evidence and college placements — a program/outcome dimension that is materially different from safety, extracurricular/facility footprint, administrative governance, or counseling/IEP failures.\"",\n    \""square entries emphasize richer extracurricular/athletics offerings and visible facility investments but also more crowding, resource‑allocation controversies, and maintenance problems than circle entries\"": \""Collects the mixed square material about abundant clubs/band/athletics, booster/funding dynamics, capital projects and simultaneously reported overcrowding, pests, hygiene and contested budget priorities — a facilities/extra‑curricular/resource allocation cluster distinct from academic-program quality, safety incidents, administrative misconduct, or student‑support compliance.\"",\n    \""square entries report more administrative dysfunction, procedural errors, favoritism/nepotism, and governance instability than circle entries\"": \""Groups complaints about boards/principals, retaliation, opaque recordkeeping, politicized priorities, favoritism toward athletes/prominent families and leadership turnover — a governance/authority dysfunction theme that is operationally different from safety events, program availability, facilities/fees, or frontline student supports.\"",\n    \""square entries report more failures and strain in student support services, counseling, and special education compliance than circle entries\"": \""Captures the many square-specific reports about ignored IEPs/504s, overworked or unhelpful counselors, graduation-blocking record errors and inconsistent accommodation — a focused student‑support/compliance cluster that is distinct from teacher/program quality, administration/governance, safety incidents, or facility/extracurricular descriptions.\""\n}""]",,32.56047606468201,26897,2176,2683,,[],['resp_011ec9a243c4444d006a72579d9f9081a2af35a517fa074f38'],True
vote|reduce2|18|0,"[""{\n    \""square entries report more administrative and operational dysfunction (leadership turnover, policy inconsistency, poor communication, staffing instability, resource misallocation) than circle entries\"": \""This groups all governance, leadership and process failures (turnover, opaque policies, record/scheduling errors, poor parent communication and staff mismanagement) into a single administrative bucket that is distinct from facilities, safety, academics, or student‑support concerns.\"",\n    \""Square entries provide more concrete measurable academic outcomes, counseling and college‑preparation evidence (both positive and negative) than circle entries\"": \""This bucket captures the detailed, evidence-based academic claims in square (AP/IB/dual enrollment metrics, scholarships, college admits, documented counseling/college‑prep services) and is explicitly about academic/programmatic outcomes, not about administration, safety, facilities, or special‑education.\"",\n    \""square entries report more frequent and severe student safety incidents and failed incident responses (bullying, fights, drugs, self‑harm, sexual assault) than circle entries\"": \""This groups all peer‑misconduct and safety/discipline failures (bullying, fights, substance use, assault, and administrators' mishandling of incidents) into a single safety/climate bucket, separate from resource, governance or instructional program themes.\"",\n    \""Square entries report more concrete facility, operational, and resource problems (overcrowding, maintenance failures, textbook/technology shortages, scheduling/logistics, and fee pressures) than circle entries\"": \""This bucket isolates tangible physical and operational resource constraints—building condition, overcrowding, custodial/tech/textbook shortages, transportation/traffic and pay‑to‑participate fees—distinct from leadership decisions, instructional quality, or student support services.\"",\n    \""square entries report weaker or under‑resourced special‑education, counseling, and mental‑health supports than circle entries\"": \""This groups complaints about IEP/504 noncompliance, denied evaluations, overwhelmed counselors, inadequate mental‑health support and inconsistent accommodations into a focused student‑support bucket that is conceptually separate from broad academics, facilities, safety incidents, or governance problems.\""\n}""]",,33.417840003967285,26953,2048,2488,,[],['resp_077593172789e462006a72579da02c81a193211699be092f64'],True
vote|reduce2|1|0,"[""{\n    \""Square entries document more administrative and governance dysfunction — unresponsiveness, favoritism/athletic/wealth bias, leadership turnover, fiscal scandal and punitive or opaque policies — than circle entries\"": \""This bucket groups reviews that describe district/board/leadership failures, cover‑ups, favoritism/nepotism and budget or policy scandals (e.g., calls for outside audits, secretive boards, punitive graduation/discipline policies) and is distinct from facility, safety, programmatic or classroom‑level issues because it centers on governance and managerial misconduct rather than physical resources, student incidents, curricular breadth, or teacher variability.\"",\n    \""Square entries report more frequent and severe student safety, bullying, substance‑use, violence, and disciplinary mishandling than circle entries\"": \""This bucket captures the many accounts of fights, gangs, drugs, weapons, sexual‑harassment, police involvement and tolerated bullying/mental‑health crises in square reviews and is mutually exclusive from governance, facilities, academic programming or instructional variability because it focuses on incidents harming student safety and the school’s crisis/discipline outcomes rather than who runs the district, what programs exist, or how teachers perform.\"",\n    \""Square entries report more concrete facility and resourcing contrasts and varied extracurricular resourcing (overcrowding/renovation, sanitation, tech/books shortages, or robust arts/athletics support) than circle entries\"": \""This bucket groups descriptions of physical infrastructure, overcrowding, pests/mold, parking/traffic hazards, capital projects, equipment/textbook shortages and contested funding priorities (athletics vs arts) and is separate from governance (decision‑making), safety incidents, curricular breadth, or teacher/support variability because it concerns observable material capacity and resource allocation rather than policy misconduct, safety events, program content, or staff practice.\"",\n    \""square entries describe more extensive advanced academic, CTE, and measurable college‑preparation offerings and outcomes than circle entries\"": \""This bucket collects reviews documenting AP/IB/dual‑enrollment, vocational/CTE tracks, magnet/academy programs and measurable postsecondary outcomes (scholarships, elite college admits, college credits) and is distinct from facility, governance, safety, or teacher‑quality buckets because it concerns programmatic breadth and student academic pathways and outcomes rather than infrastructure, managerial problems, campus safety, or instructional consistency.\"",\n    \""square entries evidence greater variability in teacher instructional quality and student support (including special education), ranging from standout, highly supportive teachers to widespread disengagement or noncompliance, more than circle entries\"": \""This bucket groups the polarized accounts of teachers/counselors—examples of exceptional one‑on‑one remediation and staff sacrifice alongside claims of absenteeism, favoritism, poor IEP handling and counseling shortages—and is exclusive from governance, safety, facilities or program‑breadth buckets because it focuses on in‑class instruction and student‑facing support system variability rather than governance failures, violent incidents, material conditions, or available programs.\""\n}""]",,33.54945397377014,26818,1856,2514,,[],['resp_0a27fd5475512679006a72579d9be4819c9fbeeb0c9dec4e03'],True
