Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|reduce1|15|0,"[""{\n    \""circle entries report more administrative and governance dysfunction (turnover, favoritism, cover‑ups, coercion, hiring based on connections) than square entries\"": \""Groups reviews that document leadership and governance pathologies—nepotism, favoritism toward athletes/donors, cover‑ups, mass firings, and leadership instability—distinct from facilities/operational problems (which are tactical service failures) or from safety/academic program descriptions (which are about student outcomes and incidents).\"",\n    \""circle entries report more tangible facilities, operational, and parent‑communication breakdowns than square entries\"": \""Captures concrete service- and infrastructure-level failures (overcrowding, lunches/busing, scheduling, front‑office nonresponse, maintenance, resource misallocation) that are operationally distinct from governance/favoritism issues, student safety incidents, special‑education practice, or academic-program quality.\"",\n    \""circle entries report more student violence, drug activity, gang presence, and acute safety incidents than square entries\"": \""Groups all reviewer reports of on‑campus safety crises—fights, gangs, drugs, sexual incidents, invasive searches, bullying and staff non‑intervention—separating immediate physical/behavioral safety problems from administrative misconduct, operational logistics, counseling/IEP supports, or programmatic academic claims.\"",\n    \""circle entries emphasize stronger measurable college‑preparatory outcomes and academic rigor than square entries\"": \""Collects reviews describing concrete academic strengths and measurable post‑secondary signals (AP/IB breadth, dual‑credit, high ACT/SAT, scholarship/college admits, rigorous pedagogy) and distinguishes them from individualized special‑needs supports, safety complaints, governance failures, or mere operational descriptions.\"",\n    \""circle entries contain more explicit, concrete claims about special‑education, guidance/counseling, and individualized supports (both positive and negative) than square entries\"": \""Groups reviews that discuss IEP/504 practice, counselor responsiveness, remediation/credit‑recovery, ADHD accommodations and individualized teacher outreach—focusing on student support systems and legal/accommodation practice rather than facilities, governance, broad academic prestige, or acute safety incidents.\""\n}""]",,19.50110101699829,26516,512,988,,[],['resp_06f2ded9584a488f006a72548831f4819fbf013c9fd906addf'],True
vote|reduce1|10|0,"[""{\n    \""circle entries show more pronounced teacher/staff polarization: higher reports of highly engaged, individualized teacher support coexisting with greater variability, turnover, and staffing problems than square entries\"": \""Captures the recurring pattern in circle reviews of both exceptionally committed teachers and frequent teacher-quality/turnover problems—distinct from special‑education concerns, governance/favoritism, facilities logistics, or program‑level academic offerings which are separate phenomena.\"",\n    \""circle entries surface special‑education, IEP/504 and counseling issues (both concrete success stories and explicit failures/understaffing/rights abuses) far more than square entries\"": \""Groups all reviewer evidence about special‑education and counseling practice (positive accommodations, procedural violations, denials, ESL gaps, and counselor behavior) into one bucket that is operationally and legally distinct from general teacher variability, governance favoritism, facilities failures, or advanced‑program descriptions.\"",\n    \""circle entries report more administrative misconduct, insider favoritism, nepotism, punitive/retaliatory practices, and overt prioritization of athletics over academics than square entries\"": \""Aggregates governance‑level problems (corruption, secrecy, selective enforcement, athletic privilege, retaliatory discipline) that are about leadership and policy choices rather than classroom instruction quality, special‑education service delivery, facility logistics, or curricular program strength.\"",\n    \""circle entries report more concrete operational, facility and logistical failures (food shortages, chronic tech/device breakdowns, enrollment/scheduling errors, grade/reporting problems, pest/maintenance issues) than square entries\"": \""Contains the tangible, day‑to‑day infrastructure and operational complaints (HVAC, sanitation, scheduling/registration errors, device rollouts, cafeteria/transport) that are materially different from personnel polarization, governance misconduct, SPED/counseling issues, or academic-program content.\"",\n    \""circle entries document stronger formal college-prep, advanced coursework, dual‑credit and measurable postsecondary outcomes than square entries\"": \""Groups explicit programmatic evidence (AP/IB/dual‑enrollment, vocational/CTE pathways, documented college acceptances/awards) into an outcomes/programs bucket that is separate from staff behavior, special‑education/counseling, governance/favoritism, or facilities/operational failures.\""\n}""]",,21.64479899406433,26444,1472,1959,,[],['resp_0427e50646279e31006a72548828148192b23c799a32d0ee5e'],True
vote|reduce1|21|0,"[""{\n    \""circle entries report more frequent and severe student safety and behavior incidents (fights, drugs, weapons, sexual assaults, hate crimes, vandalism) than square entries\"": \""Many raw items document bullying, on‑campus fights, drug/tobacco use, gang/shooting incidents, sexual harassment, threats and lockdowns in circle reviews—this bucket isolates student safety/behavioral crises as a distinct phenomenon separate from facility, governance, academic, or extracurricular descriptions.\"",\n    \""circle entries report more administrative and governance dysfunction, communication failures, favoritism/nepotism, and punitive or inconsistent discipline than square entries\"": \""Numerous entries allege nonresponsive leadership, politicized boards, favoritism/nepotism, manipulated student governance and unequal/retaliatory discipline in circle reviews; this bucket focuses specifically on governance/process failures and is conceptually distinct from safety incidents, material resource problems, academic program strength, or extracurricular breadth.\"",\n    \""circle entries report stronger advanced-academic programs, AP/IB breadth, and measurable college-prep outcomes than square entries\"": \""A large cluster of circle reviews highlights robust AP/IB/dual‑credit tracks, high test/college‑placement metrics and named college‑prep pathways; this bucket captures academic-program substance and outcomes and does not overlap with governance, safety, facilities, or extracurricular program breadth.\"",\n    \""circle entries describe broader extracurricular, vocational, arts, and enrichment offerings and contested resource prioritization (strong sports/arts magnets, career academies, working bank) more than square entries\"": \""Many circle items enumerate extensive arts, band, UIL, vocational/CTE, magnet and championship athletics programs and disputes about resource prioritization, so this bucket groups programmatic breadth and community/booster prominence apart from facility conditions, governance, teacher quality, or academic rigor.\"",\n    \""circle entries document greater facility and resource variability (underfunding, maintenance/sanitation, technology and textbook gaps, and capital vs. staff spending tensions) than square entries\"": \""Raw terms repeatedly describe overcrowding, mold/infestations, uneven renovations, 1:1 device rollouts gone wrong, levy dependence and contested capital vs staffing spending—this bucket isolates concrete material, funding and operational resource issues from governance, safety, curricular rigor, or extracurricular programming.\""\n}""]",,24.497066020965576,26520,1024,1497,,[],['resp_014ee4a498792b7e006a7254883170819d9d189754b3ac383c'],True
vote|reduce1|21|3,"[""{\n    \""circle entries report more pervasive student violence, bullying, gang/drug activity and administrative inaction than square entries\"": \""This bucket captures the many circle reports of fights, bullying (including targeting of disabled/LGBTQ students), drug/substance use, ganglike behavior, threats and suicidal crises combined with staff non‑intervention — a distinct safety/behavior cluster separate from administrative governance, academics, community engagement, or facility issues.\"",\n    \""circle entries describe richer, more active community & extracurricular ecosystems (parent/PTA/booster involvement, alumni networks, business/nonprofit mentoring, robust arts/athletics) than square entries\"": \""This groups circle items that document strong parent/PTA/booster activity, alumni ties, internships, award‑winning arts/athletics and organized volunteer programs — a community/extracurricular strength profile that is conceptually different from safety problems, operational failures, academic pathways, or governance/favoritism concerns.\"",\n    \""circle entries document more administrative mismanagement, unresponsiveness, favoritism/nepotism, and governance failures than square entries\"": \""This bucket aggregates circle allegations about opaque boards, nepotistic hiring, favoritism toward athletes/wealthy families, retaliation/secrecy, and refusal to cooperate with parents or law — governance and personnel dysfunction distinct from frontline safety incidents, extracurricular richness, facility breakdowns, or academic programming.\"",\n    \""circle entries report more concrete, diverse college‑prep and career pathways (AP, dual‑enrollment, early college, CTE, industry certifications) and documented college‑credit/outcomes than square entries\"": \""This groups the circle reviews that list explicit advanced/technical pathways (AP/IB, dual enrollment, early college, CTE, certifications), measurable outcomes (college credits, matriculation, awards) — a programmatic/academic‑pathway cluster not reducible to community engagement, safety, governance, or facilities.\"",\n    \""circle entries report more concrete facility, operational, and administrative service failures (cafeteria/food quality, restroom/maintenance problems, parking/transit, lost transcripts and billing errors) than square entries\"": \""This captures circle reports of tangible operational breakdowns — pests, dirty buildings, food safety, bus/scheduling logistics, recordkeeping and billing mistakes — a facilities/operations category clearly separable from student safety incidents, governance/favoritism claims, extracurricular strength, or academic-program descriptions.\""\n}""]",,25.695446014404297,26614,1856,2382,,[],['resp_04d6220e01c8e30c006a72548834d481a1a538bdd73f0f8e0d'],True
vote|reduce1|24|5,"[""{\n    \""circle entries report more acute facilities, infrastructure and resourcing failures (heat/AC failures, overcrowding, sanitation, underfunding) than square entries\"": \""Groups many concrete, operational complaints about buildings, overcrowding, aging materials, and budget/resource shortfalls into a single infrastructure/resourcing bucket; this is distinct from safety incidents, administrative misconduct, academic program strength, and extracurricular prominence, which are captured by other selected buckets.\"",\n    \""circle entries report more pervasive student safety problems, bullying, fights, police involvement and drug‑related issues than square entries\"": \""Collects all personnel- and student-conduct safety failures (violence, gangs, drug incidents, police responses, pervasive bullying) into one behavioral/safety bucket that is conceptually separate from facility/resourcing failures, administrative dysfunction, academic-program descriptions, and extracurricular/arts narratives.\"",\n    \""circle entries report more administrative and staff dysfunctional practices (unresponsiveness, nepotism/favoritism, hiring problems, inconsistent teacher quality, counseling/special‑education failures, allegations of misconduct and discriminatory discipline) than square entries\"": \""Groups the governance, staffing, discipline-process, and alleged-misconduct patterns (retaliation, nepotism, cover-ups, counseling/SPED noncompliance) into an operational-governance bucket that is clearly different from physical facilities, student-safety incidents, curricular/college-program strength, and extracurricular resource descriptions.\"",\n    \""circle entries report more extensive advanced college‑prep offerings and measurable postsecondary outcomes than square entries\"": \""Aggregates concrete programmatic advantages (AP/IB/dual‑enrollment/early‑college pathways, documented college acceptances and measurable outcomes) into an academic-program/outcomes bucket that is distinct from safety, facilities, governance, and extracurricular achievement or breadth.\"",\n    \""circle entries emphasize broader, award‑winning extracurriculars, active parent/booster engagement, and high student participation more than square entries\"": \""Captures arts/athletics, competitive teams, booster/parent involvement, field trips, and public-facing program achievements in a single extracurricular/community-engagement bucket that does not overlap with infrastructure, safety, governance, or core academic-pathway claims.\""\n}""]",,24.87478494644165,22996,1920,2413,,[],['resp_020ae2e8cd6161e9006a725488184c819d832752c74b015699'],True
vote|reduce1|8|1,"[""{\n  \""circle entries emphasize a small‑school, family‑oriented, highly personalized community with strong parent/alumni involvement and visible teacher support more than square entries\"": \""This bucket groups reviews that describe tightly knit, small‑school culture, high parental/PTA/alumni engagement, and hands‑on teacher mentorship — a distinct people/community dimension that is about size, relationships, and engagement rather than infrastructure, safety, governance, or curricular breadth.\"",\n  \""circle entries describe broader and more formalized advanced-academic and career programming (AP/dual-credit, magnet/STEAM, CTE, college‑prep outcomes) than square entries\"": \""This bucket captures concrete programmatic differences — AP/IB/dual‑enrollment, academies, CTE and measurable college‑prep outcomes — and is explicitly curricular/program-focused, kept separate from operational failures, safety incidents, governance problems, or small‑school community traits.\"",\n  \""circle entries report more operational, facility, and logistical breakdowns (transportation, overcrowding, meal/yearbook/accounting errors, HVAC, lost records, scheduling) than square entries\"": \""This groups the concrete, material and process failures (busing, overcrowding, lost transcripts, cafeteria/scheduling/maintenance problems) into an infrastructure/operations bucket distinct from governance/favoritism, safety/behavior, or academic/program content.\"",\n  \""circle entries report more pervasive bullying, physical fights, substance use, and discriminatory harassment — with frequent reviewer claims that staff and leaders fail to stop it — than square entries\"": \""This safety/behavior bucket aggregates accounts of violence, bullying, gangs, drugs, targeted harassment and related mental‑health harms — a distinct category focused on student safety and misconduct (separable from operational breakdowns, governance/favoritism, or curricular offerings).\"",\n  \""circle entries report more administrative and governance dysfunction, communication failures, favoritism/nepotism, and punitive or inconsistent discipline than square entries\"": \""This captures leadership/management themes — nonresponsive principals, nepotism, selective enforcement, IEP/504 noncompliance and opaque governance — a governance/accountability cluster clearly separable from community closeness, facilities failures, safety incidents, or academic program strength.\""\n}""]",,27.058176040649414,26742,1152,1656,,[],['resp_0bd266dd8642c39e006a725487efac81a28a8b4108855494c4'],True
vote|reduce1|11|4,"[""{\n    \""circle entries report more frequent and severe student-safety and misconduct incidents (fights, drugs, gangs, weapons, theft) than square entries\"": \""This bucket captures concrete on-campus safety, violence and substance‑use incidents and administrative non‑intervention (threats, stabbings, fights, vaping, theft), which is distinct from governance/favoritism issues, curricular/program differences, teacher‑level caring/support, or physical‑resource problems covered by the other buckets.\"",\n    \""circle entries report more administrative and governance dysfunction (turnover, favoritism, cover‑ups, coercion, hiring based on connections) than square entries\"": \""This bucket groups allegations about leadership, opaque/biased enforcement, nepotism, retaliation and governance failures, which are organizational and procedural problems separate from frontline safety incidents, classroom pedagogy/support, academic-program strength, or facility/operational breakdowns.\"",\n    \""circle entries describe stronger advanced academic programs, clearer measurable outcomes, and a more explicit college‑prep reputation than square entries\"": \""This bucket captures claims about AP/IB/dual‑enrollment, measurable college/career outcomes, and explicit college‑prep pathways and metrics—programmatic academic quality indicators that are conceptually distinct from safety, governance, teacher caring, or facilities/resource issues.\"",\n    \""circle entries describe more individualized, small‑school instructional support, caring teachers, and proactive counseling/parent engagement than square entries\"": \""This bucket groups reports of one‑on‑one tutoring, teacher mentorship, small‑school personalization and active counselor/parent outreach, which are human‑resource and pedagogical support patterns separate from governance, large‑scale safety incidents, institutional program breadth, or facilities problems.\"",\n    \""circle entries report more acute facility, operational, and resource failures (overcrowding, broken/absent equipment, sanitation/food-safety issues, transportation gaps) than square entries\"": \""This bucket covers tangible infrastructure and service failures—food safety, buses, tech/lab shortages, maintenance and capital upgrades—which are physical/resource problems distinct from leadership/favoritism, classroom support, programmatic academic rigor, or student‑safety/discipline incidents.\""\n}""]",,29.045347929000854,26271,1344,1832,,[],['resp_07945aa3748f94ee006a725488293c819296afff660c5397a0'],True
vote|reduce1|18|1,"[""{\n    \""circle entries report more frequent and severe student safety, bullying, harassment, and discrimination incidents than square entries\"": \""This groups all raw terms about fights, pervasive bullying, hate‑speech, drug distribution, assaults, victim‑blaming, punitive discipline of victims and staff non‑intervention — a clear safety/behavior cluster that is distinct from program, facilities, or governance complaints.\"",\n    \""circle entries describe stronger formal college-preparatory programs and measurable academic gains than square entries\"": \""This captures the many circular reviews that name AP/IB/dual‑enrollment, elite admits, scholarships, measurable test/college metrics and structured remediation/acceleration pathways — a programmatic/outcome cluster separate from safety, facilities, or governance issues.\"",\n    \""circle entries document more concrete administrative breakdowns, mismanagement, and formal escalations (unresponsiveness, financial or legal complaints, staff-targeting) than square entries\"": \""This bucket groups allegations of cover‑ups, lying administrators, nepotism/favoritism, punitive/retaliatory leadership, BOE unresponsiveness and governance churn — governance/ethics failures that are conceptually distinct from classroom quality, student safety, or physical‑resource claims.\"",\n    \""circle entries provide more concrete facility, operational, and program-structure detail (technology, renovations, schedules, sanitation, transportation, cafeterias, portable classrooms, and credit/dual‑enrollment systems) than square entries\"": \""This groups the many concrete operational and infrastructure items (HVAC, overcrowding, cafeterias, transportation, 1:1 device programs, schedule blocks, meal/records/billing errors and capital projects) which are logistical/resource observations distinct from pedagogy, safety, or governance.\"",\n    \""square entries describe more consistently accessible, caring, and stable staff/administration with better parent communication than circle entries\"": \""This captures the cluster of square reviews emphasizing steady, caring teachers, reliable counseling/parent outreach and lower turnover — a human‑resource/staff‑support pattern that is meaningfully different from circle’s programmatic strengths, safety crises, facility problems, or governance failings.\""\n}""]",,29.066386938095093,26521,1344,1839,,[],['resp_0b506eb4a18bc683006a72548827a081a19371a5a744658934'],True
vote|reduce1|12|5,"[""{\n    \""circle entries report more pervasive student safety problems, bullying, and racially/sexually discriminatory incidents with staff/administration failing to intervene than square entries\"": \""Groups reviews that describe concrete student-harm incidents (fights, weapons/drugs, pervasive bullying, identity‑based harassment) and repeated adult non‑intervention; this is focused on on-the-ground safety/harms and is distinct from governance, programming, facilities, or academic-offering categories.\"",\n    \""circle entries report more administrative and operational dysfunction, favoritism, secrecy, metric manipulation, and resource mismanagement than square entries\"": \""Captures allegations about governance and misconduct (nepotism, favoritism, grade/record manipulation, discipline quotas, opaque decisions, leadership turnover) and is explicitly about administration/governance failures rather than incident-level student safety, instructional quality, facilities, or curricular offerings.\"",\n    \""circle entries report more extensive advanced college‑prep offerings and measurable postsecondary outcomes than square entries\"": \""Groups reviews documenting formal academic pathways and measurable outcomes (AP/IB/dual enrollment/college credits, scholarship/Ivy admits, named programmatic pipelines), focusing on curricular opportunity and outcomes rather than extracurricular prestige, safety, or administrative problems.\"",\n    \""circle entries document richer, higher‑profile extracurricular and athletics/fine‑arts programs and often report athletics prioritized over academics more than square entries\"": \""Covers concrete, high‑visibility nonacademic offerings (state championships, renowned music/choir, engineering teams, large club ecosystems) and critiques about athletics/booster prioritization — a programmatic/extracurricular axis separate from academic pathways, safety incidents, or governance misconduct.\"",\n    \""circle entries report more tangible facilities, operational, and parent‑communication breakdowns than square entries\"": \""Groups reviews describing infrastructure and operational deficits or logistics/communication failures (outdated textbooks/tech plans, cafeteria/lunch scheduling, lost paperwork, parent portal failures, device rollouts), which are concrete facility/operations problems distinct from governance malpractice, classroom programming, extracurriculars, or student-safety incidents.\""\n}""]",,29.294432878494263,23103,1600,2069,,[],['resp_0811a133fc1536f4006a72548817b88191b45c4cb1e5783ef9'],True
vote|reduce1|16|3,"[""{\n    \""circle entries report more pervasive student-safety problems, bullying/harassment (including identity‑based attacks), physical fights, and repeated administrative failure to intervene than square entries\"": \""This bucket captures the many raw terms about violence, bullying, hate‑based harassment, substance use, weapons, and documented adult non‑intervention; it is distinct from governance, facilities, academic program, and support/service buckets because it focuses specifically on on‑campus safety incidents and staff failure to protect students.\"",\n    \""circle entries report more administrative dysfunction, opaque governance, and hostile parent interactions than square entries\"": \""This groups items about nepotism/favoritism, cover‑ups, politicized school boards, record manipulation, punitive governance, and adversarial parent–office relations; it is mutually exclusive from safety, facilities, academic-program, and special‑education buckets because it centers on leadership, policy, and governance behavior rather than frontline incidents or service delivery.\"",\n    \""circle entries describe stronger formal academic programs, specialized tracks, and measurable college‑preparatory outcomes than square entries\"": \""This bucket aggregates the concrete claims of robust AP/IB/dual‑enrollment/CTE/JROTC pathways, measurable postsecondary matriculation and scholarship outcomes, and named specialized tracks — a programmatic/academic offering cluster distinct from safety, governance, staffing/support, or physical‑resource issues.\"",\n    \""circle entries document more operational, facility, and logistical failures and burdens (food, transportation, overcrowding, scheduling, maintenance) than square entries\"": \""This captures the repeated, concrete complaints and upgrades about buildings/maintenance, HVAC/AC, pests/food quality, overcrowding/parking, scheduling/transcript errors and transport problems — focusing on physical and logistical infrastructure rather than governance decisions, safety incidents, academic programs, or individualized student supports.\"",\n    \""circle entries document more failures, delays, and inadequacies in special‑education services and remediation for struggling learners than square entries\"": \""This bucket groups the many specific IEP/504 noncompliance, counseling/casework breakdowns, poor remediation, mental‑health neglect and targeted failure to support vulnerable students; it is separate from overall teacher quality, governance, facilities, or broad academic program claims because it zeroes in on legally‑mandated and personalized support failures.\""\n}""]",,30.519094944000244,26786,2368,2855,,[],['resp_04e24966e62f6ef7006a7254883500819c8206d8afc7e3f3df'],True
