Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|final4|11|0,"[""{\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This bucket groups concrete, safety‑and‑discipline phenomena (bullying, fights, gang activity, threats, targeted harassment and explicit administrative nonresponse) that are about student wellbeing and on‑campus safety operations, which is distinct from the already selected buckets that focus on academic program offerings, extracurricular/community richness, or general administrative dysfunction at the policy/hiring level.\"",\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""This bucket isolates outcome‑oriented and formal college‑prep evidence (measured AP/SAT/college‑credit outcomes and formally structured dual‑enrollment/early‑college programs) and is intentionally framed as an outcomes/standards axis, making it mutually exclusive from the already locked 'programs and supports' bucket which catalogs program presence and partnership descriptions rather than reported measurable results.\""\n}""]",,17.510635137557983,20034,832,1068,,[],['resp_04506c86abc65c6c006a725697b68c8191ba9f023b8e7e8601'],True
vote|final4|2|0,"[""{\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This groups items that document peer-on-peer safety incidents, campus violence, substance use, and systemic victimization patterns (and administrators' failure to address them) — a distinct, behavior-and-safety–focused theme that is about student conduct and campus security (not program offerings, extracurricular breadth, or primarily staff hiring/discipline practices) and therefore does not overlap with the three already-finalized buckets.\"",\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""This captures claims specifically about formal college-prep structure and measurable academic outcomes (100% graduation claims, high test scores, first‑choice admits, transferred college credits and dual enrollment completion) — focused on program presence plus outcome metrics — which is conceptually distinct from the already-selected bucket that catalogs program offerings in descriptive terms and from the admin-dysfunction and extracurricular/community buckets.\"" \n}""]",,18.83030915260315,20262,1280,1534,,[],['resp_03bec8173a4d631a006a725697be84819ca2187614ad4a4795'],True
vote|final4|9|0,"[""{\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""This bucket isolates circle reviews that claim concrete, formal college‑prep offerings and measurable outcomes (AP/dual‑enrollment, documented college placements, SAT/SAT prep results), and is distinct from the already‑selected ‘pathways and supports’ bucket because it emphasizes quantifiable program rigor and outcome metrics rather than breadth of partnerships, conservatory tracks, or informal community supports.\"",\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This bucket groups circle reviews focused on campus safety and severe student‑behavior incidents (frequent fights, sexual assaults/harassment, racial targeting, gangs, theft) and is mutually exclusive from the existing ‘administrative and staff dysfunction’ bucket because it treats student safety events and campus violence as the primary phenomenon, whereas the administrative bucket centers on leadership/staff practices, hiring/favoritism, and counseling/discipline policy failures as institutional behaviors rather than the unsafe incidents themselves.\""\n}""]",,19.370095014572144,20624,1216,1485,,[],['resp_01a3abb9100bd7b4006a725697b4f8819189b0bb8ee6f22084'],True
vote|final4|16|0,"[""{\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""This bucket focuses specifically on reports of formal, credentialed academic pathways and empirical student outcomes (AP/IB counts, dual‑enrollment, early‑college completions, named scholarships and test‑score claims) — complementing (but not duplicating) the already‑selected ‘programs & supports’ bucket by emphasizing measurable course/offramp evidence and outcomes rather than descriptions of program breadth or external partnerships.\"",\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This bucket captures concrete reports of on-campus violence, harassment, gang/crime incidents and how staff/leadership minimize or fail to remediate those safety harms — a distinct focus on student safety and incident frequency that is substantively different from the already‑selected administrative/staff dysfunction bucket (which centers on governance, favoritism, hiring, and programmatic failures).\""\n}""]",,19.535612106323242,20430,1024,1294,,[],['resp_011a46a8e3aea0df006a725697b6d0819ca0e9d4f6bdc85e7c'],True
vote|final4|12|0,"[""{\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This bucket captures concrete safety and interpersonal-harm incidents (fights, drugs, sexual harassment, hate‑speech, hazing, privacy violations, lockdowns) and the school's failure to remediate them — a distinct operational theme about physical/psychosocial safety and incident responses that is not covered by the already‑selected buckets (which address academic programs, extracurricular breadth, or general admin dysfunction).\"",\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""Although related to program presence, this bucket specifically groups claims about measurable college‑prep outcomes and quantifiable advanced‑course/credit results (AP/IB pass rates, scholarship/college placement, total college credits earned) — a results‑and‑outcomes focus that is separable from the already‑selected bucket describing the existence of programmatic supports and pathways.\""\n}""]",,20.24660301208496,20215,1152,1416,,[],['resp_0c794cb7ff0b497b006a725697b11c81a0b438e05e84fa226d'],True
vote|final4|14|0,"[""{\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""This bucket emphasizes quantifiable college‑readiness outcomes (graduation rates, college credits earned, scholarship totals and measurable AP/dual‑enrollment results) and thus is distinct from the already-selected 'programs/pathways' bucket which catalogues the presence and types of advanced programs rather than their measurable outcome metrics.\"",\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This bucket groups direct student‑safety incidents and claims that leadership minimizes or fails to address those harms (physical assaults, gang/drug activity, sexual/racial harassment and staff inaction), which is separate from the existing 'administrative and staff dysfunction' bucket that focuses on governance, hiring/favoritism, special‑ed failures and general unresponsiveness rather than recurrent safety/assault incidents themselves.\""\n}""]",,20.260028839111328,20546,1216,1464,,[],['resp_0995f72dd842228f006a725697a4cc81918ce335ffe9ba10d5'],True
vote|final4|23|0,"[""{\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This bucket isolates concrete campus-safety and student‑misconduct incidents (fights, weapons, sexual/racial harassment, pervasive bullying, vaping/drugs, thefts) and patterns of administration minimizing or failing to remediate them — a distinct, outcome‑focused theme about physical/psychological safety that is not covered by the existing ‘administrative dysfunction’ bucket (which centers on staff behavior, favoritism, hiring and counseling failures) or the extracurricular/academic program buckets.\"",\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""This bucket captures reviews that emphasize formalized, credentialed college‑prep structures plus numeric outcome evidence (graduation rates, proficiency rates, college matriculation, AP/dual‑credit completion), distinguishing program presence (already covered by the finalized 'advanced‑academic supports' bucket) from documented program effectiveness and measurable student outcome claims.\""\n}""]",,20.88866090774536,20861,1152,1434,,[],['resp_0b60f3f61c108e43006a725697b8708192a69b2b1540b95f2c'],True
vote|final4|0|0,"[""{\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This bucket captures concrete on-campus safety incidents, student-to-student violence, substance/crime reports, and the school's failure to remediate them—which is thematically distinct from the already-selected ‘staff/administrative dysfunction’ bucket because it centers on prevalence and severity of student-safety events and campus security outcomes rather than personnel hiring, favoritism, or general administrative practices.\"",\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""Although related to the already-finalized programmatic bucket, this bucket is focused specifically on documented, measurable academic results and formal credentialing pathways (clear IB/AP/dual‑enrollment participation, credit counts, alumni college completion and scholarship outcomes) rather than merely listing available program supports or extracurricular partnerships, making it non‑redundant in scope.\""\n}""]",,21.82236909866333,20626,1280,1553,,[],['resp_00c21e7d1fdeee3b006a7256979684819db60bbdb775214441'],True
vote|final4|21|0,"[""{\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""This bucket specifically captures claims about measurable academic outcomes and formal exam/AP/dual‑enrollment supports (AP pass rates, weekend AP workshops, scholarship totals, early‑college credits and structured test prep)—a distinct focus on outcomes and exam/prep evidence that complements (but does not duplicate) the already‑selected bucket which catalogs program availability and external partnerships rather than measured results or test‑prep practices.\"",\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This bucket groups concrete frontline safety incidents and peer‑harm (bullying, fights, weapons, gang activity, sexualized conduct) plus the specific pattern of administration minimizing or failing to address those incidents, which is thematically different from the existing administrative‑dysfunction bucket that centers on governance, nepotism, hiring, special‑education/counseling failures and procedural misconduct rather than recurring physical‑safety events.\""\n}""]",,21.901880025863647,20778,1472,1725,,[],['resp_0eded75970e15a29006a725697b3c4819da7eefa17f93061e4'],True
vote|final4|24|0,"[""{\n    \""circle entries report stronger formal college‑preparatory programs, measurable academic outcomes, and advanced‑course/dual‑enrollment opportunities than square entries\"": \""This bucket concentrates on quantifiable college-prep results (test scores, graduation‑exam rules, valedictorian outcomes, AP pass rates, dual‑enrollment credit and measurable program impact) whereas the already-selected 'advanced-academic pathways' bucket catalogs program breadth/partnerships and curricular offerings — so this candidate is distinct by focusing on formal metrics and outcome evidence rather than program inventories or partnerships.\"",\n    \""circle entries report more pervasive student-safety problems, bullying, fights, racial harassment, sexual harassment, gang activity, and administrative minimization or nonresponse than square entries\"": \""This bucket groups concrete student-safety incidents and harms (violence, sexual assault, bullying, racial slurs, gang/drug activity and on-campus assaults) plus the school's failure to remediate them — a different substantive theme from the already-selected 'administrative and staff dysfunctional practices' bucket, which centers on hiring, favoritism, counseling/special‑education failures and staff misconduct rather than ongoing student-safety incidents and victimization.\"" \n}""]",,22.722338914871216,20338,1280,1533,,[],['resp_09fca0c52a85dc4a006a725697b91c8191968f8a1fa14beafc'],True
