Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
gen|3|49,"[""{\n  \""square entries report more frequent and severe student-safety incidents, bullying, substance use, and unaddressed violence than circle entries\"": \""This bucket captures reports of bodily harm, harassment, and safety failures concentrated in square reviews — e.g., recurring hallway fights, bomb/gun threats, gangs, sexual assault allegations, pervasive racial harassment, students self‑harm, easy access to drugs/vaping, and administrators not intervening in bullying — contrasts with circle entries that seldom describe violent incidents and often call the school safe.\"",\n  \""square entries describe broader, deeper, and more measurable advanced academic programs and college‑preparation outcomes than circle entries\"": \""This groups items where square reviewers list concrete advanced offerings and outcomes (IB, extensive AP catalogs, STEM/STEAM magnets, dual‑credit/college credit transfer, vocational/CTE tracks, high SAT/ACT/graduation rates, Ivy/Johns Hopkins/Georgetown placements) while circle reviews rarely cite that program breadth or high-profile measurable placement.\"",\n  \""square entries report more administrative and district‑level governance failures, resource mismanagement, and opaque or punitive policies than circle entries\"": \""This covers allegations of poor leadership, cover‑ups/manipulation of metrics, ignored parent communications, textbook/asbestos or facility crises, diverted budgets (e.g., funding football over academics), inconsistent discipline rules, and opaque scheduling/hiring decisions that square reviewers recount but circle reviewers do not emphasize.\"",\n  \""square entries document a wider array of extracurricular, arts, vocational and athletic offerings while also reporting stronger athletic prioritization and favoritism than circle entries\"": \""Square reviews frequently enumerate many clubs, arts magnets, marching‑band legacy, travel trips, technical certifications and career tracks, yet simultaneously accuse the school of prioritizing athletes (funding/favoritism, pay‑to‑play, hazing); circle reviews, by contrast, mention far fewer extracurricular/arts options and focus relatively more narrowly on athletics participation.\"",\n  \""square entries report weaker or more inconsistent student support services (counseling, special education, college advising, and remediation) and greater parental burden than circle entries\"": \""This bucket includes complaints from square reviewers about counselors who are hard to reach or provide poor advising, mishandled or ignored IEPs/special‑education protections, lack of tutoring/college guidance, and a recurring expectation that parents must advocate or fundraise — while circle reviews more often describe available counseling/helpful remedial supports and less chronic breakdown of these services.\""\n}""]",,17.81310200691223,19530,896,1455,,[],['resp_018d0713281af211006a7256d8ac3c819cafe890dc6ecc8cdd'],True
gen|0|44,"[""{\n  \""square entries report more frequent serious student safety/behavior incidents and lax enforcement than circle entries\"": \""This bucket covers concrete accounts of bullying, daily fights, gang presence, drug and alcohol use, stabbings, bomb/gun threats, sexual harassment, police lockdowns, and examples where staff/admins 'turn a blind eye' or fail to protect students (e.g., 'fist fights... occasional stabbing', 'drugs run wild', 'sex harassment and racism is rampant', 'police were called', 'bullying... daily'). It groups reviews that describe campus danger and inadequate incident response rather than the relatively safer/accepting snapshots found in circle entries.\"",\n  \""square entries describe broader and more measurable advanced academic pathways, AP/IB/dual‑enrollment and career/vocational programs than circle entries\"": \""This bucket groups reviews that list named, structured academic routes and measurable outcomes — IB/AP participation and pass rates, dual‑enrollment college credit, academies (STEM, Engineering, Health), career centers, JR/ROTC, and concrete college matriculation stories (e.g., '22 AP and 8 dual‑credit classes', 'South‑Western Career Academy', 'students accepted to Ivy/UNC/MIT'). These contrast with circle entries that rarely enumerate formal advanced tracks, college‑credit programs, or specific postsecondary outcomes.\"",\n  \""square entries report larger, more developed extracurricular/athletics/facilities ecosystems and visible program success than circle entries\"": \""This bucket contains reviews that emphasize a wide range of arts, music, drama, competitive teams, feeder systems, and physical infrastructure (auditorium, pool, stadium, marching band, award‑winning theater, 'top notch' athletic facilities and varsity achievements), often with recognition or wins (e.g., 'award winning Band', 'performing arts school', 'varsity letters in multiple sports'). It captures program breadth and facility investment contrasts versus circle entries, which offer fewer or less-detailed extracurricular/facility claims.\"",\n  \""square entries report greater variability and contradiction in teacher quality, classroom management, and instructional effectiveness than circle entries\"": \""This bucket groups reviews describing uneven staffing — a mix of highly dedicated, overworked teachers and many ineffective or absent instructors, poor classroom management that harms learning, inconsistent grading/remediation, and reliance on outside tutoring (e.g., 'some excellent teachers and a few not so good', 'teachers can't control their students', 'had to reteach Alg1–Precalc myself', 'retakes always offered' vs. circle's more uniformly described teacher behavior). It captures instructional inconsistency and classroom‑level implementation differences.\"",\n  \""square entries report more concrete administrative/governance and operational policy failures (communication, counseling, punitive or politicized policies, and resource allocation) than circle entries\"": \""This bucket groups reviews citing admin unresponsiveness, counselor understaffing or poor college advising, politicized discipline or favoritism, punitive policies (bathroom/exit bans, lunch charging, graduation ticket limits), withheld documentation, budget cuts and nonreplacement of staff, and school‑board or district priority complaints (e.g., 'assistant principal doesn't return phone calls', 'NO bathroom usage', 'charging is not allowed so you won't eat', 'district focuses on graduation rate over literacy', 'board is inept'). These concrete governance and policy problems differentiate square entries from circle entries that seldom report this level of operational dysfunction.\""\n}""]",,20.91856575012207,19622,640,1343,,[],['resp_0bee10c2f9a243c6006a7256d7b634819f8b932bbb1396bfab'],True
gen|0|24,"[""{\n  \""square entries exhibit more routine student safety incidents, pervasive bullying, and substance/violence problems than circle entries\"": \""These reviews report frequent physical fights, daily incidents, gangs, on‑campus drug dealers/vaping, smoke‑bombs, sexual‑assault neglect, and repeated unaddressed bullying (e.g., “fights nearly every day,” “drugs run rampant,” “vapes in restrooms,” “HUGE bullying problems… teacher let it slide”), whereas circle entries do not document this level of routine safety or substance problems.\"",\n  \""square entries exhibit more concrete advanced-academic, college-prep, dual‑enrollment, internship and measurable outcome programs than circle entries\"": \""Square reviews list formal AP/IB/honors breadth, dual‑enrollment and college‑credit courses, internship/research pipelines and quantified outcomes (e.g., “junior/senior internship program… at IU,” “Naviance,” “earned 12 college credits,” AP and SAT success, college placements), while circle reviews lack these programmatic details and measurable college‑prep evidence.\"",\n  \""square entries exhibit more administrative and operational failures, unresponsiveness, recordkeeping errors, and punitive financial/disciplinary practices than circle entries\"": \""Square reviewers describe missed/late grades, lost assignments, PSAT/portal failures, inaccurate transcripts, withheld transcripts/fee collections, retaliation against parents, uneven suspension outcomes and poor parent communication (e.g., “inaccurate transcript,” “no returned e‑mails,” “they will hold your transcripts if you don't pay”), whereas circle reviews contain far fewer such concrete administrative breakdowns.\"",\n  \""square entries exhibit more teacher/staffing problems, instructional-resource shortages, and inconsistent special‑education supports than circle entries\"": \""Square documents underqualified or overstretched staff, high turnover, coaches teaching academics, language‑barrier teachers, lack of textbooks/desks/AC, and IEP mistakes (e.g., “teachers who can't teach their own subject,” “no textbooks… desks missing,” “found numerous mistakes on my children's IEP”), while circle reviews generally do not report these systemic instructional‑resource failures.\"",\n  \""square entries exhibit more community and equity issues tied to favoritism, socioeconomic privilege, racial/ethnic discrimination, and pay‑to‑play dynamics than circle entries\"": \""Square reviewers allege nepotism, legacy/local social networks, athlete favoritism, fundraising/pay‑to‑play pressure, and explicit race/color barriers or discrimination (e.g., “parent's income determines student treatment,” “color barrier,” “if you go to church or hunting with the right teacher… you can bully”), whereas circle entries do not report this pattern of entrenched favoritism and inequitable access.\""\n}""]",,21.043301820755005,19424,768,1364,,[],['resp_0da46730c679bc6e006a7256d7a234819eb1e6ba8520e279f4'],True
gen|3|24,"[""{\n  \""square entries describe stronger, concrete advanced‑academic, vocational and college‑prep offerings than circle entries\"": \""These reviews report abundant, named AP/honors courses, measurable outcomes, dual‑enrollment/college partnerships, career/technical academies and device programs (e.g., “AP English, AP World…almost every AP,” MacBook 1:1, Francis Tuttle, Miami Univ. partnership, Yale/Dartmouth matriculations), whereas circle reviews give only generic statements about electives or basic college prep and lack program names or outcomes.\"",\n  \""square entries report more frequent, severe, and unresolved student safety problems (bullying, fights, substance use, sexual/assault incidents) than circle entries\"": \""Multiple square reviews cite concrete safety incidents and norms — repeated bullying left unaddressed, drug/alcohol prevalence, arrests, fights, sexual acts and self‑harm mentions — and examples of perpetrators being reinstated or never disciplined; circle reviews rarely mention fights/drugs/assault and frame peer issues as occasional drama instead.\"",\n  \""square entries document more specific staff misconduct, uneven teacher professionalism, and administrative inaction or cover‑ups than circle entries\"": \""Square reviewers give named, detailed staff incidents (mocking, throwing objects, grabbing students, false accusations, cheating teachers), describe wide variation in teacher quality and cite administrators who are unapproachable, rude, or who conceal problems; circle reviews by contrast rarely provide detailed staff‑misconduct anecdotes and emphasize generally caring teachers.\"",\n  \""square entries show greater variability in facilities, maintenance, tech and resource allocation (big capital/tech investments alongside serious interior maintenance, overcrowding and athletic funding biases) than circle entries\"": \""Square contains both reports of new campuses, fully outfitted science/technology buildings and 1:1 devices, and concurrent interior problems — mold, rats, exposed wires, broken bathrooms, extreme classroom temperatures, overcrowding — plus repeated claims of disproportionate spending on athletics (million‑dollar fields) while academics lack textbooks/AC; circle reviews do not report this extreme mix of high capital plus serious degradation or athletic funding imbalances.\"",\n  \""square entries surface more explicit equity, accommodation, and favoritism problems and structural social divides than circle entries\"": \""Square reviews repeatedly allege IEP/504 implementation failures or strong special‑ed services (both positive and negative), racial bias in discipline and dress‑code enforcement, favoritism toward athletes/connected families, socioeconomic/clique segregation, and district transfer/attendance policy manipulation — themes largely absent from circle, which does not discuss special‑education implementation, racialized discipline, or who‑you‑know favoritism.\""\n}""]",,19.734857082366943,19183,1280,1871,,[],['resp_0952234c73969508006a7256d8921081a382d917fd530f8929'],True
gen|4|26,"[""{\n  \""square entries emphasize concrete college‑preparatory programs, measurable academic outcomes, and advanced-course/dual-enrollment pathways more than circle entries\"": \""This bucket captures reviews that describe explicit college-prep structures and results (IB diplomas, many AP/Honors courses, AVID, National Merit counts, tuition‑free dual‑enrollment/engineering partnerships, measurable ACT/AP/college acceptances, and claims like 'helped students get to Harvard' or '12 National Merit Semifinalists') — items that tie school practice directly to documented postsecondary outcomes and rigorous curricular pathways, which are far more frequent in square than circle.\"",\n  \""square entries describe broader, higher-quality extracurricular, vocational, technical, and athletic offerings and facilities than circle entries\"": \""This groups reviews that enumerate extensive extracurricular/CTE assets (full aviation hanger, robust band/arts programs, robotics, FFA, strong athletics with state finishes, volunteering clubs, many named magnets) and note facility/program capacity for hands‑on training — a resource- and program‑breadth pattern repeatedly asserted in square but absent or limited in circle.\"",\n  \""square entries report more frequent and severe student-safety incidents, bullying, fights, substance use, weapons, and discrimination than circle entries\"": \""This bucket captures concrete safety and culture problems—regular fights, on‑campus vaping/drug sales, weapons/guns on campus, cyberbullying, pervasive homophobia/transphobia/racism, gang-related issues, and descriptions of students returning 'with bruises'—patterns that reviewers attribute to the school climate in many square reports but not in circle.\"",\n  \""square entries document more administrative and operational failures (incompetence, paperwork errors, counselor understaffing, missed deadlines, secrecy/cover‑ups) than circle entries\"": \""This groups reviews that describe process breakdowns and leadership failures (grade tampering, missed scholarship deadlines, unreturned calls, front‑office paperwork errors, counselors with 500:1 caseloads, open‑records evidence of toxic communications, asbestos/textbook mismanagement) — operational dysfunctions framed as directly harming student opportunities, far more common in square than circle.\"",\n  \""square entries describe greater unequal enforcement and access—favoritism, inconsistent discipline, parent/wealth-driven outcomes, and uneven special‑needs supports—than circle entries\"": \""This bucket collects reports of biased application of rules and unequal student access (athlete/JROTC/band favoritism, selective dress‑code enforcement, 'private‑school' dynamics where engaged/wealthy parents get better outcomes, canceled AP courses for low enrollment, and both praised and failed special‑education cases), i.e., variability and inequity in who benefits from school resources that square reviewers emphasize more than circle.\""\n}""]",,18.664870977401733,19339,1088,1718,,[],['resp_032ecbfa100f9fd2006a7256d97ff881a0b4fe34cde1efc9b2'],True
gen|3|2,"[""{\n  \""square entries report more frequent and severe student-safety and discipline crises (bullying, drugs, gangs, police/armed security, hate incidents) than circle entries\"": \""These reviews describe concrete safety failures and hostile student conduct: multiple square reviewers cite pervasive bullying, widespread drug use, gang presence, hate vandalism (Nazi graffiti), on-campus fights/arrests, and routine police/armed-guard involvement — incidents circle reviews do not report or report far less of.\"",\n  \n  \""circle entries describe more consistently supportive, student-centered administration and counseling while square entries more often report punitive, adversarial, or unresponsive administrators (including withheld documentation and nepotism)\"": \""Circle reviews repeatedly name beloved principals/counselors and describe responsive, caring leadership and restorative practices, whereas square reviews frequently allege rude/dictatorial leadership, punitive labeling/expulsions, refusal to provide incident records, nepotism/overpayment, and counselors who are unavailable or ineffective — a pattern of personnel behavior and policy toward students and families.\"",\n  \n  \""square entries document broader and deeper academic and college-prep programming (AP/IB/Honors, dual-credit, STEAM/Vocational academies, specialized tracks) than circle entries\"": \""Many square reviewers enumerate concrete course breadth and outcomes — wealth of AP/honors/IB options, dual-credit and college-credit programs, STEAM/robotics/biotech academies, vocational shops, and measurable college placements/scholarships — while circle reviews rarely list comparable programmatic depth or sustained college-placement evidence.\"",\n  \n  \""square entries report richer, higher-profile extracurricular and athletics programs (performing arts, competitive teams, championships, many clubs) than circle entries\"": \""Square reviews often highlight robust band/theatre programs, nationally ranked teams, many clubs and arts offerings, and broad student participation (and sometimes parental politics around athletics); circle entries instead note shrinking or limited extracurriculars, especially in music and some sports.\"",\n  \n  \""square entries report more concrete facility/operational and administrative management problems (overcrowding, maintenance failures, traffic/parking, budget/legal impacts, transcript/communication errors, inconsistent grading) than circle entries\"": \""These are tangible, building- and process-level issues raised in square reviews — overcrowded classes, A/C/heating/infestation problems, parking and traffic pain, recent expansions/renovations, tight budgets tied to litigation, plus administrative errors (mis-sent failing notices, transcript mishandling), poor communication and inconsistent grading/placement — problems circle reviews mention far less.\""\n}""]",,21.013025999069214,19136,1344,1876,,[],['resp_07fb4206505f2097006a7256d823e081a0ac7a845255d2657d'],True
gen|4|47,"[""{\n  \""Square entries report substantially stronger and more numerous advanced academic programs and measurable college‑preparatory outcomes than circle entries\"": \""These reviews describe concrete, school‑level academic offerings and outcomes (not tone)—examples include formal IB programs with above‑average diploma rates, broad AP/honors curricula, dual‑enrollment and Associates‑degree pathways, STEM academy partnerships, documented AP credit totals (30+ hours), college counseling supports (FAFSA, free SAT, TSI) and measurable matriculation/award data; circle entries rarely name comparable programs or provide outcome metrics.\"",\n  \""Square entries report a broader and/or better‑supported set of extracurriculars, fine arts, and athletic offerings (and district athletic funding emphasis) than circle entries\"": \""Many square reviews list extensive clubs, sports, music/theater programs, leadership opportunities and external awards (state championships, award‑winning choir/ensemble, theater, speech & debate, powderpuff, robotics, JROTC), and sometimes call out district‑level athletic funding priorities—features that circle reviews do not document or that circle describes as limited.\"",\n  \""Square entries report more frequent and severe student safety, bullying, substance‑use, hazing and physical violence incidents — and more staff nonintervention — than circle entries\"": \""Square reviewers report concrete safety problems (daily fights, stabbings, teacher assaulted, sexual harassment, pervasive bullying, hazing, growing drug/alcohol use, unsupervised bullying hotspots) and repeated claims that staff/administration fail to intervene; circle reviews generally lack these recurring, severe safety allegations.\"",\n  \""Square entries report greater administrative/staff operational problems (turnover, counselor shortages, poor parent communication, recordkeeping and policy noncompliance) than circle entries\"": \""Concrete operational failures in square reviews include high principal/administrator/teacher turnover, counselors hard to reach or inconsistent, lost transcripts, IEP non‑compliance, robo‑call/email misuse, arbitrary or escalating discipline, misuse of funds and front‑office dysfunction—practical, actionable dysfunctions that circle reviews seldom describe.\"",\n  \""Square entries report more explicit inequalities in access and favoritism (socioeconomic/racial/athletic nepotism, pay‑to‑play, tracking/segregation in advanced classes) than circle entries\"": \""Square reviewers document structural access problems—honors/AP classes dominated by white/wealthy students, favoritism toward athletic/connected families, pay‑to‑play or coach favoritism, nepotism, racialized exclusion and tolerated discriminatory displays—systemic equity issues that circle entries do not raise with the same frequency or specificity.\""\n}""]",,19.36769413948059,19156,1280,1856,,[],['resp_0ddc7be4795e53e2006a7256da184c819d9a15497be6f24c05'],True
gen|2|39,"[""{\n  \""square entries report more acute and pervasive on‑campus safety and student‑misconduct incidents than circle entries\"": \""This bucket captures reviews that describe concrete safety breakdowns in and around the school — e.g., frequent fights, gang presence, on‑campus drug dealing and prostitution, guns, repeated police calls and shelter‑in‑place events, student fatalities, threats, vaping in bathrooms, and severe sexual/substance behavior — complaints that appear across many square reviews but are absent or far less frequent in circle reviews.\"",\n  \""square entries highlight more extensive formal advanced academic pathways and measurable college/career outcomes than circle entries\"": \""This groups square reviews that enumerate structured academic offerings and documented outcomes — AP/IB/dual‑enrollment, magnet/vo‑tech/CTE tracks, specialized programs (G‑Squared, C4, programming teams), award‑winning arts/teams, and concrete elite college admits or heavy dual‑credit accumulation — material that circle reviews rarely document or emphasize.\"",\n  \""square entries report more material/facility deficits, overcrowding, and visible resource/funding misallocation than circle entries\"": \""Includes reports of physical‑plant neglect and tangible resource shortages found in many square reviews (unusable bathrooms, falling ceilings, no books/printing, major repairs needed, overcrowded halls and lunch lines, dangerous bus stops) and also allegations that funds are misallocated (athletics/music prioritized, levy pressures), contrasts that circle reviews generally do not raise.\"",\n  \""square entries show greater inconsistency and polarization in teacher/instructional quality, grading practices, and workload expectations than circle entries\"": \""Covers square complaints and praise that appear side‑by‑side — wide variability in teacher competence and professionalism, favoritism/bullying by staff, confusing/slow grading policies, hugely disparate homework loads (4–7+ hours nightly) and inconsistent rigor or leniency — a pattern of contradictory instructional experiences that is far more pronounced in square reviews than in circle.\"",\n  \""square entries report more failures or shortfalls in student support, special‑education/IEP/504 accommodations, and counseling/guidance services than circle entries\"": \""Groups square items detailing systemic support breakdowns — denied IEP/504 accommodations, long bus placements for special needs students, ineffective guidance/college counseling, unmet mental‑health supports, and limited outreach from paid support staff — specific operational harms to vulnerable students that circle reviews do not commonly describe.\""\n}""]",,22.60293197631836,19792,1088,1649,,[],['resp_0855acab0bf3754e006a7256d82338819f926077a680035e43'],True
gen|3|38,"[""{\n  \""square entries describe broader, multi-tiered advanced-academic pathways and measurable college-prep outcomes more than circle entries\"": \""This bucket groups raw items where reviewers say the school offers many AP/IB/honors/STEM/BioMed academies, dual‑enrollment and documented AP/SAT/college matriculation or scholarship outcomes (examples: named IB/STEM/BioMed academies, many AP classes and 5s, dual‑enrollment credits, alumni Ivy/MIT/major scholarship stories). It also captures reviewers who contrast that breadth/intensity with tradeoffs (e.g., intense AP/IB workload or gatekeeping), because these comments all treat ‘advanced pathway availability and college outcomes’ as the central academic characteristic.\"",\n  \""square entries report more administrative dysfunction, procedural errors, favoritism/nepotism, and governance instability than circle entries\"": \""This bucket groups items describing concrete managerial failures and governance problems: lost/misposted grades, incorrect attendance/zone assignments, cancelled classes, covering code violations at inspections, created paid administrative posts for coaches, superintendent/principal turnover and accusations of favoritism or nepotism (examples: district failed to inform family about zoning, assistant principal called wrong parent, newly-created admin post for coach, repeated superintendent criticisms). These are operational/governance features of the school/district rather than classroom instruction.\"",\n  \""square entries report more frequent and severe student-safety problems, bullying, racial/sexual harassment, and criminalization of student conduct than circle entries\"": \""This bucket covers repeated reports of physical fights, violence/drugs/gangs, racial slurs and harassment, sexualized or sexist administrator misconduct, Title IX filings, and cases where administration involved police or punished victims (examples: 'every other week a fight', 'racial slurs reported and ignored', 'principal called police on the victim', sexualized comments by an administrator). These items are about student safety, targeted harassment, and how discipline/criminal responses are applied in practice.\"",\n  \""square entries emphasize visible resource/facility priorities for athletics and/or overcrowding and facility neglect more than circle entries\"": \""This bucket groups claims about budget and facility allocation and their consequences: repeated investment in football/baseball stadiums and athletic facilities at the expense of textbooks, arts, or classroom resources; overcrowded classrooms, cramped/unsafe hallways, pest infestations, and construction-displaced events (examples: new stadiums while classes lack books, 'crammed like sardines', mouse traps in classrooms, graduation moved because of construction). These are concrete resource, facilities, and capacity patterns described by reviewers.\"",\n  \""circle entries portray smaller, community-oriented schools with more consistent teacher/counselor responsiveness, inclusive special-education supports, and orderly student behavior than square entries\"": \""This bucket captures reviews that emphasize a family atmosphere, small class sizes, caring/dedicated teachers, systematic counseling/college guidance, functioning IEP/504 support and fewer safety incidents (examples: 'small school—family atmosphere', counselors spending time on college planning, IEP looping staff, teachers who tutor and engage). It groups concrete, inside‑the‑building practices of supportive staffing and organized student supports that reviewers attribute more to circle schools than square schools.\""\n}""]",,21.851316928863525,19245,1152,1834,,[],['resp_0621fee97299175b006a7256d8ad2c81a3b10be9de9a31b588'],True
gen|2|15,"[""{\n  \""square entries report more pervasive bullying, safety incidents, and unaddressed student harm than circle entries\"": \""This bucket groups raw terms where reviewers of square describe frequent, sometimes severe student-on-student and race-targeted harassment, fights, vaping/drug odor, physical threats, and examples of administrators/staff failing to intervene (e.g., “bullying goes unchecked,” “She was threatened multiple times,” special‑needs child withdrawn after bullying, reports of fights and bomb threats). Circle entries lack these sustained safety/bullying accounts and instead emphasize effective safety or no bullying reports.\"",\n  \""square entries document broader, named advanced-academic and vocational programs and measurable college-prep outcomes more than circle entries\"": \""This captures explicit catalogs of academic pathways, AP/IB/dual-enrollment/CTE/vocational programs and concrete postsecondary metrics in square reviews (e.g., “IB program,” many AP/Honors classes, dual enrollment, CTE, students accepted to UNC/Brown, SAT/AP scores). Circle reviews usually give only generic academic praise or note missing rigorous options without the same program specificity or outcome evidence.\"",\n  \""square entries show more explicit teacher/counselor unprofessionalism, certification/PD gaps, absenteeism, turnover, or targeted staff misconduct than circle entries\"": \""This groups items about inconsistent teacher quality, many teachers not certified or behind on PD, frequent midyear departures and coach turnover, absenteeism, staff gossip/harassment, language‑barrier teachers, and unresponsive/understaffed counseling (e.g., “Many teachers aren't even certified,” “teachers leave during the school year,” “Counselors are unresponsive,” staff spreading rumors). Circle reviews instead primarily describe generally supportive or adequately professional teachers and counselors.\"",\n  \""square entries describe more inconsistent or biased administrative governance, poor communication, and uneven discipline/accountability than circle entries\"": \""Includes complaints that administration ignores or blames parents, protects staff, refuses investigations, applies discipline by social status, enacts unstable policies (attendance fines, lenient homework deadlines), and suffers repeated leadership turnover or communication breakdowns (e.g., “administration sides with teachers,” “phones never work,” “most recent of 3 principals in four years,” surveillance/searches). Circle entries typically report steadier leadership, clearer follow‑through, or fewer examples of administrative favoritism or communication collapse.\"",\n  \""square entries emphasize richer extracurricular/athletics offerings and visible facility investments but also more crowding, resource‑allocation controversies, and maintenance problems than circle entries\"": \""This bucket groups terms where square reviewers both praise a wide array of clubs, strong marching band/athletics and capital improvements (new gym, renovated campus) and simultaneously report overcrowding, poor maintenance, food complaints, or complaints that money is diverted to athletics (e.g., “great sports and many clubs,” “recently renovated,” alongside “severely overpacked,” “inflated lunch prices,” “finds money for the huge football program”). Circle reviews typically lack this combined pattern of extensive extracurricular breadth plus the same scale of facility/crowding or athletic‑funding controversy.\""\n}""]",,23.712694883346558,19511,1088,1769,,[],['resp_09305625802c8425006a7256d8230481a3b34cb632275a1d6e'],True
