Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|final4|6|0,"[""{\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""This groups the many square reviews that describe concrete personal‑safety harms (bullying, fights, sexual harassment, shootings/threats, widespread vaping/drugs) and targeted hostility with failures or denials from staff/administration — a distinct pattern about student conduct and harm response that is not captured by the already chosen buckets (which focus on instructional polarization, governance/fiscal corruption, or extracurricular breadth), and it is clearly separable from facility/resource problems because it centers on interpersonal safety and incident handling rather than physical infrastructure or scheduling.\"",\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""This clusters square reviews reporting tangible school‑operation deficits (severe overcrowding, broken/unsanitary bathrooms, pests, ventilation, lost schedules, tech/material shortages, meal problems and capital/funding constraints) — a concrete, physical/operational theme distinct from student‑safety incidents and distinct from the existing buckets about instruction quality, governance/corruption, or extracurricular emphasis.\""\n}""]",,10.182100057601929,21641,448,771,,[],['resp_0329afbecec6fdf4006a739d85930c81a0a58aacb13bc994df'],True
vote|final4|24|0,"[""{\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""This groups concrete, physical and operational failures (crowding, building disrepair, sanitation, scheduling/busing glitches, material/technology shortfalls and fee-shifting) that are materially distinct from the already-selected themes about instructional polarization, governance/favoritism, or extracurricular emphasis.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""This captures recurring reports of fights, assaults, drug culture, racial/sexual harassment and anti‑bullying program failure (the behavioral/safety climate and its direct harms), which is a different substantive dimension than governance problems or programmatic/extracurricular breadth already covered.\""\n}""]",,10.286224842071533,21793,576,783,,[],['resp_0748ee45e20a56d1006a739d8599ec819cb628ef36f1656b04'],True
vote|final4|1|0,"[""{\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""Groups reviews that document tangible, physical and logistical capacity problems (crowded halls, broken infrastructure, locked bathrooms, technology/meal shortages, multiple lunch shifts, construction impacts) and is mutually exclusive from the existing buckets because it focuses on built‑environment and day‑to‑day operations rather than governance/ favoritism, instructional quality polarization, or program/athletics breadth and prioritization.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Captures reviews that describe frequent fights, bullying, targeted harassment (racism, transphobia), vaping/drug use, gang activity and other safety incidents and is distinct from the 'administrative failures' bucket because its core signal is student conduct and safety climate (and immediate harm to students), not primarily allegations of institutional corruption, fiscal mismanagement, or structural favoritism; it is also separate from instructional and extracurricular program themes which concern pedagogy and offerings rather than personal safety.\"" \n}""]",,11.084669828414917,22055,512,783,,[],['resp_08b722c877def20e006a739d8596f081a3b0d5e7e0ce4c27e9'],True
vote|final4|9|0,"[""{\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""Groups reviews that document tangible, material and operational breakdowns—overcrowded campuses, poor maintenance, scheduling/traffic problems, tech/homework inequities, food/sanitation complaints and logistics—distinctly focusing on physical resources and day‑to‑day operations rather than the already‑selected themes of governance/favoritism, polarized instruction, or extracurricular emphasis.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Captures the corpus of reviews that describe fights, visible drug dealing/use, bullying, racialized/sexual‑orientation harassment and resulting student fear (even when administrators are criticized for poor responses), a school‑climate and incident‑centered theme that is substantively about safety and peer/behavioral harms and is separable from governance failures, instructional variability, or program/funding patterns.\""\n}""]",,11.629748821258545,22288,640,897,,[],['resp_0017de00095bf52a006a739d8592bc8192914dfe0ad7d22990'],True
vote|final4|8|0,"[""{\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""Groups reviews that repeatedly cite tangible, on‑site resource and operational failures—overcrowded classes, failing HVAC/asbestos/mold, construction/circulation hazards, lost grades/scheduling glitches, rotten/insufficient textbooks, dirty restrooms and poor food service—which are concrete facility/operations problems distinct from governance/favoritism, instructional polarization, or extracurricular emphasis covered by the existing buckets.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Captures reports of frontline safety and climate breakdown—frequent fights, gang/drug incidents, sexualized behavior, racial and LGBTQ harassment and suicidal distress from mistreatment—often describing inadequate or punitive on‑the‑ground responses; these are student‑behavior and safety/climate issues (and their immediate handling) rather than the governance, curricular, or program‑breadth themes already selected.\""\n}""]",,11.981220960617065,22011,576,880,,[],['resp_02f016b9886f6af0006a739d8592f4819ebf2f012b550da046'],True
vote|final4|2|0,"[""{\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""This bucket captures concrete on‑campus safety and peer‑climate problems (fights, sexual assault, bullying, substance use, targeted harassment) that reviewers describe as outcomes of student behavior and climate — distinct from the already‑selected buckets which focus on instructional variability, governance/fiscal corruption, or extracurricular breadth.\"",\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""This bucket groups tangible physical‑plant and operational capacity issues (overcrowded classrooms/portables, broken HVAC/plumbing, late buses, outdated materials, lunch problems, scheduling complexity) that are about building/operations and resource shortages rather than instructional quality, governance misconduct, or extracurricular emphasis.\""\n}""]",,12.21696400642395,21729,704,932,,[],['resp_012345744c614605006a739d85a0d8819caa20f6e90278788a'],True
vote|final4|22|0,"[""{\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""Captures the concrete, physical and operational capacity problems (AC/ HVAC, closed bathrooms, overcrowded classes, scheduling chaos, cafeteria/food and tech/material shortfalls) repeatedly described in square reviews and is clearly distinct from the other selected buckets, which focus on teaching quality polarization, governance/fiscal misconduct, or extracurricular prioritization rather than built‑environment and day‑to‑day operational constraints.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Groups reviews that document student‑safety and climate failures (fights, shootings/lockdowns, rampant bullying, drug use, identity‑based harassment and counselor/administrative inaction or complicity) and is mutually exclusive from the existing buckets because it centers on pupil wellbeing and enforcement failures rather than governance corruption, instructional variation, or program/funding breadth.\""\n}""]",,12.3978271484375,21492,704,959,,[],['resp_02d66753bdeaaeef006a739d859754819f854dfd7ac50a4bd8'],True
vote|final4|11|0,"[""{\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""This bucket groups reviews that document concrete physical/operational limits (crowded classrooms, broken facilities, lunch/scheduling logistics, deferred maintenance, asbestos/mold, entrance/evacuation hazards, and resource shortages) — problems about space, infrastructure and day‑to‑day operations that are substantively different from governance/favoritism issues, instructional polarization, or program breadth and therefore do not overlap with the already‑selected buckets.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""This bucket captures behavioral and climate evidence (frequent fights, bullying, gang/’thug’ activity, on‑campus drug use, racial and LGBTQ+ hostility and harassment) and its immediate safety/disciplinary consequences — a distinct thematic cluster about student misconduct and victimization (even when reviewers note weak responses) that is separate from the governance/corruption, instructional polarization, and extracurricular/funding patterns already chosen.\""\n}""]",,12.644989013671875,21998,704,965,,[],['resp_0609dc21591e5016006a739d859c44819e87896edc4e1480dd'],True
vote|final4|0|0,"[""{\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""This bucket groups concrete, physical and logistical problems (crowding, building decay, bussing/parking, construction disruption, portal/tech access, cafeteria/cleaning, schedule timing and material shortages) that are about capacity/infrastructure and daily operations — a distinct axis from instructional quality, governance/fiscal corruption, or extracurricular emphasis, so it does not overlap with the three already‑finalized themes.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""This bucket captures patterns of on-campus danger and hostile peer climates (fights, assaults, gangs, drugs, racial/sexual‑orientation harassment and staff/security misconduct) and the school's failure to protect victims — a safety/climate theme that is substantively different from the already‑selected buckets about polarized instruction, governance/fiscal misconduct, or extracurricular/athletics breadth/favoritism.\""\n}""]",,13.037633895874023,21558,832,1135,,[],['resp_0fc2caa027cc7172006a739d85afb881a0b97638a9d94f1eea'],True
vote|final4|4|0,"[""{\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""This bucket groups all reviews documenting on-the-ground safety/climate problems (fights, bullying, vaping/drug use, homophobic/ethnic slurs, sexual assaults, weapons) and immediate failure to protect students; it is distinct from the already-selected 'administrative/governance failures' bucket because it classifies the concrete student-safety outcomes and daily climate (not high‑level corruption, fiscal misprioritization, or governance practices).\"",\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""This bucket collects reviews describing physical-plant, capacity, logistics and resourcing failures (overcrowded classes, aging buildings, broken lockers/bathrooms, parking and scheduling problems, device/tech shortages, sanitation and supply shortfalls); it is mutually exclusive from the instructional-polarization and extracurricular/athletics buckets because it concerns infrastructure and operational resource limits rather than classroom quality, program breadth, or governance misconduct.\""\n}""]",,13.514314889907837,22398,704,1026,,[],['resp_0eef373f06492a9a006a739d859588819e92284ecf171291c8'],True
vote|final4|21|0,"[""{\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""Captures the many raw items about overcrowding, portables, aging/unclean buildings, HVAC/AC, bus/traffic/scheduling errors, poor tech rollouts and material shortages; this is about physical capacity and day‑to‑day operations (not about instructional polarization, governance/favoritism, or extracurricular breadth) and so is conceptually separate from the already‑selected administrative, instructional, and extracurricular buckets.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Groups the multitude of concrete reports of fights, gang/peer intimidation, drug/vaping problems, sexual/assault incidents, bullying, homophobia/racism and related mental‑health harms that characterize school climate; while some reviews mention poor admin responses, this bucket focuses on prevalence and severity of student safety and social‑hostility outcomes (distinct from the pre‑existing bucket focused on governance/corruption and the one on instructional/academic polarization).\""\n}""]",,13.933395147323608,21863,640,949,,[],['resp_08d3b81e9bebcb0e006a739d85979c819e983ca9bc92b28a16'],True
vote|final4|10|0,"[""{\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""Captures concrete building/operational/resource failures (crowding, broken/old facilities, scheduling/system glitches, insufficient tech/materials, sanitation/food-service limits) that are about physical infrastructure and day‑to‑day operations — a distinct domain from instructional polarization, governance/favoritism, or programmatic/extracurricular emphasis.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Groups reviews that document school climate and safety outcomes (bullying, harassment, gangs, drugs/vaping, identity‑based hostility and unresolved sexual/assault incidents) which focus on student conduct and protection failures — a separate theme from managerial corruption, curricular quality variation, or extracurricular/athletics funding patterns.\""\n}""]",,14.12228775024414,21823,832,1104,,[],['resp_0fcfb7e3a0536013006a739d85934881a0b9f2966d51add249'],True
vote|final4|5|0,"[""{\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Chosen because many raw items center on concrete safety/peer‑harassment/substance incidents (fights, drugs, suicides, racial/sexual‑hostility) and documented failures to resolve them — a distinct school‑climate/safety theme (even when administrators are implicated) that is substantively different from the already‑selected buckets on instructional polarization, governance corruption/fiscal mismanagement, or extracurricular breadth/favoritism.\"",\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""Selected because numerous reviews describe tangible operational/resource problems (severe overcrowding, leaking roofs, pest/cleanliness and cafeteria complaints, scheduling/0‑period harm, lack of devices/textbooks) which form an operational/infrastructure category separate from instructional quality, governance/favoritism issues, and program breadth/prioritization.\""\n}""]",,14.178882122039795,21440,832,1089,,[],['resp_01e7cd52b8b309d8006a739d8598e881a2b82ba9fb7bce89fa'],True
