Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|reduce4|17|0,"[""{\n    \""circle entries report more administrative and governance failures, unresponsiveness, favoritism, nepotism, corruption, and district-level funding/leadership breakdowns than square entries\"": \""Groups reviews that call out leadership-level problems (board/district collusion, principal turnover, cronyism/nepotism, politicized meetings and calls to fire leaders); this is distinct from day-to-day operational failures (facilities/food/transport) and from student-safety, programming, or community/arts strengths which are separate domains.\"",\n    \""circle entries report more pervasive student‑safety and exclusion problems (bullying, assaults, racist incidents, LGBTQ unsafety) and ineffective responses from staff/administration than square entries\"": \""Captures concrete accounts of physical fights, gang/harassment incidents, targeted racism/homophobia, exclusion of families, and administration failing to remediate—a distinct safety/discipline climate category separate from governance failures, routine operations, extracurricular identity, or academic-program strength.\"",\n    \""circle entries report more concrete operational, facility, and day‑to‑day student support failures and inconsistencies (food safety, transportation, pest/mold, lost records, IEP/counseling problems, aftercare costs) than square entries\"": \""Groups granular, service‑level breakdowns (mold/pests, meal-account errors, transportation/escort practices, missing yearbooks, IEP/counseling follow‑through, overcrowding, HVAC, schedule coordination) that are practical operational issues distinct from governance, safety incidents, curriculum/programming, or community culture.\"",\n    \""Circle entries portray stronger extracurricular identity, close‑knit community ties, and visible student supports (arts/band success, athletic traditions, parent/alumni engagement, personalized attention) than square entries\"": \""Aggregates descriptions of locally rooted culture—active boosters/PTSA, multi‑generational enrollment, celebrated teams/choirs/theater, alumni networks and small‑school personalized attention—which is a communal/program identity theme separate from advanced-course availability, facilities/operations, governance, or safety problems.\"",\n    \""circle entries document more concrete advanced academic, career/technical, and college‑credit offerings and measurable postsecondary outcomes than square entries\"": \""Covers explicit evidence of academic-program strength (AP/IB, dual enrollment, CTE/Running Start, scholarships, measurable test scores and matriculation rates), which is a curricular/outcome axis distinct from community/extracurricular identity, administrative dysfunction, safety/climate issues, or operational service failures.\""\n}""]",,20.680378198623657,21167,1088,1622,,[],['resp_0523dafb4c5b41b1006a74d53a05f081a3b72e0348bf6e2bae'],True
vote|reduce4|3|0,"[""{\n    \""circle entries document more administrative and governance dysfunction in concrete policies and procedures (unresponsive offices, punitive/inconsistent discipline policies, nepotism/favoritism, grade manipulation or exam/tuition enforcement, residency/credit transfer problems, and record-keeping errors) than square entries\"": \""This bucket groups all reviewer evidence about formal governance and policy failures inside the school/district (e.g., reversed teacher discipline, DUI retention, censoring, grade/credit errors, residency/transfer/financial pressure), and is kept distinct from facility/operational failures, safety/bullying issues, curricular/program strength, and community/extracurricular identity because it specifically names broken rules, procedures, and governance decisions rather than day‑to‑day resources, student safety incidents, academic offerings, or parent/alumni culture.\"",\n    \""circle entries report more concrete operational, facility, and day‑to‑day student support failures and inconsistencies (food safety, transportation, pest/mold, lost records, IEP/counseling problems, aftercare costs) than square entries\"": \""This bucket captures reviews that document tangible, logistical breakdowns in the building and student services (unsanitary bathrooms, no janitors/first‑aid, buses not ordered, lost online credits, cafeteria understaffing), and is intentionally separated from governance/policy failures, safety/discipline breakdowns, programmatic/academic strengths, and community/extracurricular identity because it focuses on material resources and routine service delivery rather than rules, violence, curricular scope, or social culture.\"",\n    \""circle entries report more pervasive student-safety and disciplinary breakdowns (bullying, fights, gangs, sexual harassment, substance use) and more frequent failure to remediate them than square entries\"": \""This bucket groups reports about threats to student safety and discipline enforcement (frequent fights, drug use, sexual harassment, teacher/coach bullying, police arrests, PTSD accounts and administrative inaction), and is mutually exclusive from the governance, facilities, curricular, and community buckets because it centers on interpersonal harm, behavior control, and protective responses rather than policy mechanics, facilities deficits, academic offerings, or extracurricular identity.\"",\n    \""circle entries report stronger and more extensive advanced academic programs, college‑preparation pathways, CTE/dual‑enrollment and measurable student outcomes than square entries\"": \""This bucket collects all evidence of concrete academic program strength (IB/AP/dual‑enrollment, career academies, vocational shops, measurable college placements, scholarships and remediation statistics) and is distinct from governance, facilities, safety, and community/extracurricular buckets because it strictly describes curricular and credentialing opportunities and outcomes rather than bureaucratic/process failures, physical resource problems, safety climate, or local social identity.\"",\n    \""Circle entries portray stronger extracurricular identity, close‑knit community ties, and visible student supports (arts/band success, athletic traditions, parent/alumni engagement, personalized attention) than square entries\"": \""This bucket groups reviews that emphasize cohesive community culture and extracurricular life (tight‑knit small‑school feel, alumni networks, celebrated arts/athletics, active PTA/parent influence and named supportive teachers), and is kept separate from governance/policy, facilities/operations, safety/discipline, and academic-program buckets because it concerns social identity, belonging, and extracurricular presence rather than policy mechanics, material service failures, safety incidents, or curricular rigor.\""\n}""]",,20.745772123336792,21033,1024,1748,,[],['resp_059ecaa98432cc2c006a74d53a0378819eabe4707af8603057'],True
vote|reduce4|22|0,"[""{\n    \""circle entries document more administrative and governance dysfunction in concrete policies and procedures (unresponsive offices, punitive/inconsistent discipline policies, nepotism/favoritism, grade manipulation or exam/tuition enforcement, residency/credit transfer problems, and record-keeping errors) than square entries\"": \""Groups the many reviews that call out policy- and governance-level failures (e.g., retaliation, nepotistic hiring, principal protection of staff, misrepresentation in recruiting, billing/fee enforcement, guidance/front‑office errors); this is limited to institutional/policy dysfunction (distinct from incident-level safety problems, building condition, program offerings, or individual teacher variability).\"",\n    \""circle entries report more pervasive student-safety and disciplinary breakdowns (bullying, fights, gangs, sexual harassment, substance use) and more frequent failure to remediate them than square entries\"": \""Captures the cluster of raw terms describing frequent fights, bullying/targeted harassment (race/LGBT/disability), drugs/weapons, and the school's failure to adequately intervene or protect students — focused on safety incidents and remediation (distinct from governance paperwork, physical facilities, program breadth, or teacher competence variability).\"",\n    \""circle entries document more concrete advanced academic, career/technical, and college‑credit offerings and measurable postsecondary outcomes than square entries\"": \""Groups explicit mentions of AP/IB, dual‑enrollment and associate‑degree pathways, CTE certification courses, measurable AP/SAT/college matriculation outcomes — i.e., program availability and demonstrable student outcomes rather than facilities, discipline, governance, or individual teacher behavior.\"",\n    \""circle entries report more concrete facilities, resource, and operational deficiencies (food/sanitation problems, broken toilets/air, outdated equipment, lack of athletic fields, overcrowding, transportation failures, budget shortfalls) than square entries\"": \""Collects the many complaints about building condition, mold/cleaning, overcrowding, aging technology/material shortages and logistical failures — a physical/infrastructure and resourcing cluster that is conceptually separate from governance/policy, safety incidents, curricular offerings, or teacher variability.\"",\n    \""circle entries show a more polarized teacher landscape—more named standout, highly available teachers and small-class/after‑school supports alongside more frequent reports of teacher incompetence, unprofessional conduct, favoritism, or malpractice—than square entries\"": \""Groups the recurring paradoxical pattern in reviews (named beloved teachers, high after‑school availability, and individualized mentorship coexisting with high turnover, incompetence, teacher‑bullying, favoritism and uneven instruction); this is explicitly about staff-level heterogeneity and conduct, distinct from schoolwide governance, facilities, safety incidents, or program inventories.\""\n}""]",,22.110573053359985,21001,1152,1744,,[],['resp_0b9b0c422e3f2f3b006a74d53a0a388192bf8f6e63eff4da4e'],True
vote|reduce4|4|0,"[""{\n    \""circle entries portray smaller enrollment, stronger multi‑generational alumni/parent ties, and more individualized one‑on‑one teacher attention than square entries\"": \""This groups reviews that describe small-school scale, family/alumni continuity, and explicit 1:1 or small-class personalized support (e.g., 'we're like a big family', multi‑generational attendance, 'teachers know every student by name'), and is conceptually distinct from the other buckets because it captures community scale and relational personalization rather than program rigor, safety incidents, administrative corruption, or physical/facility failures.\"",\n    \""circle entries report stronger and more extensive advanced academic programs, college‑preparation pathways, CTE/dual‑enrollment and measurable student outcomes than square entries\"": \""This captures concrete curricular offerings and outcomes reported in circle (AP/IB/Honors strength, dual‑enrollment/CTE pipelines, high ACT/SAT/scholarship claims and college‑readiness testimony) and is mutually exclusive because it describes program content and measurable student achievement rather than school climate, governance malpractice, or operational/facility conditions.\"",\n    \""circle entries report more administrative mismanagement, favoritism, nepotism, dishonesty, retaliation, and personnel instability than square entries\"": \""This groups reports of governance and personnel problems specific to leadership and staff behavior (e.g., nepotistic favoritism toward staff children, credential allegations, refusal to follow IEPs as retaliation, grade manipulation or political staffing decisions) and is distinct from facility/resource failure, student safety incidents, small‑school social ties, or academic‑program descriptions because it targets policy, staffing, and governance dysfunction.\"",\n    \""circle entries report more pervasive bullying, targeted harassment (race/disability/sexuality), drugs/weapons incidents, and ineffective safety responses than square entries\"": \""This bucket collects the many safety‑and‑discipline incidents and failures found in circle reviews (bullying, sexual assault, gang/drug activity, shootings/bomb threats, security staff enabling skipping, and administration failing to protect victims), and is purposely separated from administrative mismanagement (which concerns governance/corruption) and from facility/operational problems (which concern supplies, food, transport, and building condition).\"",\n    \""circle entries report more concrete operational, facility, and day‑to‑day student support failures and inconsistencies (food safety, transportation, pest/mold, lost records, IEP/counseling problems, aftercare costs) than square entries\"": \""This groups tangible, day‑to‑day service and facility deficiencies described in circle (moldy food, no air conditioning, broken/old textbooks, mismanaged attendance records, technology rollouts, bus‑waiting in extreme weather, unmet IEP follow‑through, fees/tuition complaints) and is distinct from governance/favoritism issues, safety/discipline incidents, programmatic academic strength, or small‑school community characteristics because it focuses on concrete infrastructure and operational service delivery.\""\n}""]",,22.90750813484192,21015,1280,1911,,[],['resp_0670c48c798da3d6006a74d53a06fc8191a41f1f8b851d85e4'],True
vote|reduce4|10|0,"[""{\n    \""circle entries report more concrete advanced academic, dual‑enrollment, CTE/academy offerings and measurable college‑readiness outcomes than square entries\"": \""Groups reviews that name specific advanced-course, dual‑credit, CTE or measurable college-readiness outcomes (AP/IB, ACT scores, college matriculation, certifications); this is distinct from community/club pride (local identity) and from operational/discipline/governance problems because it records curricular offerings and quantifiable student outcomes rather than social climate, facilities, or leadership behavior.\"",\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""Captures the cluster of reviews emphasizing multigenerational alumni ties, engaged parent networks, community fundraising and a localized extracurricular identity (band/FFA/arts traditions and many student clubs); it is kept separate from academic-offering evidence (which documents courses and outcomes), safety incidents, facility/operational failures, and governance complaints because it centers on community social capital and extracurricular culture rather than programs, safety, infrastructure, or policy.\"",\n    \""circle entries report more pervasive bullying, targeted harassment (race/disability/sexuality), drugs/weapons incidents, and ineffective safety responses than square entries\"": \""Groups all concrete safety and exclusion issues—frequent fights, bullying, racist/cyberbullying, drug problems, sexual misconduct, and failures to remediate—which is substantively about student safety/climate and distinct from administrative/process failures, facilities/resource problems, academic offerings, or community pride.\"",\n    \""circle entries report more concrete operational, facility, and day‑to‑day student support failures and inconsistencies (food safety, transportation, pest/mold, lost records, IEP/counseling problems, aftercare costs) than square entries\"": \""Clusters on tangible, day‑to‑day service and infrastructure breakdowns—cafeteria/food, restrooms/hygiene, buses, building condition, missing resources, and inconsistent counseling/IEP follow‑through—which are practical facility/support failures separate from governance/favoritism issues, safety/discipline climate, curricular offerings, or community engagement.\"",\n    \""circle entries document more administrative and governance dysfunction in concrete policies and procedures (unresponsive offices, punitive/inconsistent discipline policies, nepotism/favoritism, grade manipulation or exam/tuition enforcement, residency/credit transfer problems, and record-keeping errors) than square entries\"": \""Groups reviews alleging systemic leadership and policy breakdowns—nepotism, favoritism, punitive financial/disciplinary practices, transcript holds, credit-transfer blocks and unresponsive bureaucracy—which are organizational and policy-level problems distinct from physical facilities/service failures, student-safety incidents, curricular breadth/outcomes, or community/extracurricular identity.\""\n}""]",,23.208677291870117,21040,1344,1958,,[],['resp_0f62a9108f6e3d62006a74d53a052081a3903ff04249d43a78'],True
vote|reduce4|7|0,"[""{\n    \""Circle entries show greater polarization and inconsistency in staff behavior and student support than square entries (simultaneous reports of highly committed/personalized staff and of unprofessional, neglectful, or unstable staffing and poor counseling/special‑needs support)\"": \""I chose this because many circle reviews simultaneously praise named, highly‑available teachers/counselors and document abusive, unprofessional, or repeatedly ineffective staff and special‑education failures—this theme is about intra‑staff variability and frontline student support (teacher/counselor behavior and special‑needs identification) and is distinct from governance, safety incidents, program offerings, or facilities problems.\"",\n    \""circle entries report stronger and more extensive advanced academic programs, college‑preparation pathways, CTE/dual‑enrollment and measurable student outcomes than square entries\"": \""This groups the numerous circle claims about AP/IB/dual‑enrollment, CTE/academy pathways, scholarship totals and concrete postsecondary outcomes into a single programmatic/academic‑offerings bucket; it is focused on what courses, pathways, and outcomes the school provides (not on staff conduct, safety incidents, governance, or facilities).\"",\n    \""circle entries report more administrative and governance failures, unresponsiveness, favoritism, nepotism, corruption, and district-level funding/leadership breakdowns than square entries\"": \""This captures the explicit complaints about policy-level dysfunction (opaque boards, favoritism/nepotism, punitive reenrollment rules, grade/IEP procedural failures, district funding disputes) and is separate from teacher-level variability, student safety incidents, facility deficits, or academic program content.\"",\n    \""circle entries report more pervasive bullying, targeted harassment (race/disability/sexuality), drugs/weapons incidents, and ineffective safety responses than square entries\"": \""I selected this because many circle reviews document concrete safety and climate harms—bullying, racial/identity harassment, fights, substance problems and failures to protect—making it a discrete safety/climate bucket distinct from governance/policy breakdowns, staff variability, program offerings, or facility/resource issues.\"",\n    \""circle entries report more concrete facilities, resource, and operational deficiencies (food/sanitation problems, broken toilets/air, outdated equipment, lack of athletic fields, overcrowding, transportation failures, budget shortfalls) than square entries\"": \""This groups operational, physical‑plant and resourcing complaints (overcrowding, HVAC/temperature, broken computers, meal service absence, scheduling/transport logistics and material shortages) into an infrastructure/operations bucket that is conceptually separate from staff behavior, safety incidents, governance, or academic/programmatic offerings.\""\n}""]",,25.471067905426025,20960,1536,2132,,[],['resp_061b2f3274280176006a74d539f74481a3ba5c9235a855abcb'],True
vote|reduce4|21|0,"[""{\n    \""circle entries report stronger and more extensive advanced academic programs, college‑preparation pathways, CTE/dual‑enrollment and measurable student outcomes than square entries\"": \""This cluster captures the many raw terms about AP/IB, dual‑enrollment, CTE/academy/engineering/TRANSTEM offerings and concrete college/matriculation outcomes (scholarships, Ivy/Selective placement, National Merit), and is distinct from extracurricular/community identity (which is about traditions/arts/band/alumni ties) and from staffing, safety or facilities issues.\"",\n    \""circle entries report more concrete facilities, resource, and operational deficiencies (food/sanitation problems, broken toilets/air, outdated equipment, lack of athletic fields, overcrowding, transportation failures, budget shortfalls) than square entries\"": \""This bucket groups the tangible, day‑to‑day physical and material failures (HVAC, toilets, overcrowding, outdated tech, cafeteria/food safety, funding shortfalls) that differ from administrative policy breakdowns, safety/bullying incidents, or programmatic academic offerings.\"",\n    \""circle entries document more administrative and governance dysfunction in concrete policies and procedures (unresponsive offices, punitive/inconsistent discipline policies, nepotism/favoritism, grade manipulation or exam/tuition enforcement, residency/credit transfer problems, and record-keeping errors) than square entries\"": \""This theme aggregates explicit governance and policy failures (board/unresponsive principals, nepotistic hires, grade/tuition/records manipulation, punitive discipline practices) and is kept separate from facilities problems (physical resources), student safety incidents, or curricular/program strengths.\"",\n    \""circle entries report more pervasive student-safety and disciplinary breakdowns (bullying, fights, gangs, sexual harassment, substance use) and more frequent failure to remediate them than square entries\"": \""This bucket groups concrete harms to student safety and the school's failure to protect or remediate (bullying, fights, gangs, assaults, victim‑punishment, sexual misconduct, drugs), which is conceptually and evidentially distinct from administrative policy dysfunction, facilities deficits, or extracurricular/academic program descriptions.\"",\n    \""Circle entries portray stronger extracurricular identity, close‑knit community ties, and visible student supports (arts/band success, athletic traditions, parent/alumni engagement, personalized attention) than square entries\"": \""This captures the cluster of raw terms about strong local traditions, marching band/arts accolades, small‑school/multigenerational ties, active parent/alumni involvement and personalized teacher support — a social/identity/program visibility dimension that is separate from classroom rigor, safety problems, facilities deficits, or governance malfeasance.\""\n}""]",,26.73527693748474,20854,1728,2293,,[],['resp_06fe6596d789eef6006a74d53a04a4819db977ba18eedf75f3'],True
vote|reduce4|16|0,"[""{\n    \""circle entries document more concrete advanced academic, career/technical, and college‑credit offerings and measurable postsecondary outcomes than square entries\"": \""Groups all raw items about tangible curricular/CTE/dual‑enrollment/AP/college‑placement evidence and measurable student outcomes into a single program‑strength bucket that is distinct from staff behavior, facilities, safety, or community/activity themes.\"",\n    \""circle entries report more concrete operational, facility, and day‑to‑day student support failures and inconsistencies (food safety, transportation, pest/mold, lost records, IEP/counseling problems, aftercare costs) than square entries\"": \""Captures the hands‑on infrastructure and service breakdowns (building condition, food/toilets/HVAC, scheduling/records, transportation, IEP/counseling access) and is explicitly about material and process failures rather than academic offerings, safety incidents, teacher quality, or alumni/community ties.\"",\n    \""circle entries report more pervasive bullying, targeted harassment (race/disability/sexuality), drugs/weapons incidents, and ineffective safety responses than square entries\"": \""Groups all reviewer evidence about student‑safety, violent or targeted misconduct, and administrative failure to remediate — a discrete safety/climate domain separate from facility upkeep, instructional programs, staff heterogeneity, or community/extracurricular strengths.\"",\n    \""circle entries show a more polarized teacher landscape—more named standout, highly available teachers and small-class/after‑school supports alongside more frequent reports of teacher incompetence, unprofessional conduct, favoritism, or malpractice—than square entries\"": \""Isolates the recurring pattern of starkly mixed teacher experiences (both celebrated, highly‑engaged individuals and frequent reports of incompetence/nepotism/retaliation), focusing on human resource quality and variability rather than facilities, student safety, curricular breadth, or community engagement.\"",\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""Collects all items about parent/alumni involvement, local traditions, and distinctive extracurricular identity (band, arts, FFA, boosters) as a community/activities bucket that is not about academics, physical operations, teacher variability, or safety incidents.\""\n}""]",,27.56851887702942,20661,1856,2388,,[],['resp_0d5ef89bfa66b903006a74d53a197c81a2b4f1d5b16a39313a'],True
vote|reduce4|9|0,"[""{\n    \""circle entries report more concrete advanced academic, dual‑enrollment, CTE/academy offerings and measurable college‑readiness outcomes than square entries\"": \""This bucket groups all items documenting specific curricular pathways, AP/IB/CTE/dual‑credit offerings and cited student outcomes (test passes, college placement, certifications) and is distinct from governance, facilities, safety or community claims because it names concrete academic programs and measurable results rather than personnel, infrastructure, or social/climate issues.\"",\n    \""circle entries report more pervasive bullying, targeted harassment (race/disability/sexuality), drugs/weapons incidents, and ineffective safety responses than square entries\"": \""This bucket collects reports about student‑safety, harassment, substance/violence incidents and failures to remediate them, and is mutually exclusive from academic-program, facility/operational, administrative‑misconduct, or community‑engagement buckets because it focuses specifically on safety/climate incidents and the school's remedial actions (or lack thereof).\"",\n    \""circle entries report more concrete operational, facility, and day‑to‑day student support failures and inconsistencies (food safety, transportation, pest/mold, lost records, IEP/counseling problems, aftercare costs) than square entries\"": \""This bucket groups on‑the‑ground service and facility problems—cafeteria hygiene, HVAC/maintenance, transport, scheduling/records and routine support breakdowns (including IEP/counseling as an operational delivery failure)—and is separate from administrative misconduct (policy/favoritism), programmatic strength, safety incidents, or community involvement because it describes tangible operational and resource failures that affect daily student life.\"",\n    \""circle entries report more administrative mismanagement, favoritism, nepotism, dishonesty, retaliation, and personnel instability than square entries\"": \""This bucket groups governance and personnel failures — hiring/retention churn, favoritism/nepotism, political agendas, retaliation and dishonest or unresponsive office behavior — and is distinct from on‑the‑ground facility/service failures, safety incidents, program offerings, or extracurricular/community strengths because it centers on policy, decision‑making and personnel conduct at administrative levels.\"",\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This bucket captures positive, place‑based social capital — booster/parent volunteering, multi‑generational ties, visible arts/athletic traditions and community sponsorships — and is mutually exclusive from academic program descriptions, safety reports, operational failures, or administrative misconduct because it refers to external/community engagement and extracurricular identity rather than internal governance, facilities, or curriculum specifics.\""\n}""]",,27.714038848876953,20891,1728,2315,,[],['resp_0afe774c22635cdc006a74d539f6fc819d98603bde01cf963a'],True
vote|reduce4|20|0,"[""{\n    \""circle entries report more pervasive student-safety and disciplinary breakdowns (bullying, fights, gangs, sexual harassment, substance use) and more frequent failure to remediate them than square entries\"": \""This groups all reviews describing concrete safety problems (daily fights, bullying, racist/slur incidents, drugs/weapons, ineffective staff responses and punitive failures) and is distinct from facility, programmatic, staff‑variability, or governance buckets because it focuses specifically on student behavior, physical safety incidents, and front‑line remedial failure rather than resources, curriculum, or leadership practices.\"",\n    \""circle entries report stronger advanced-academic programs and college-preparatory outcomes (IB/AP/rigor, measurable performance, 1:1 computing) than square entries\"": \""This captures the cluster of concrete academic-program evidence (AP/IB availability, honors/dual‑enrollment pathways, 1:1 tech, measurable college matriculation and test scores) and is mutually exclusive from the other buckets because it addresses curricular offerings and measurable academic outcomes rather than safety, day‑to‑day operations, staff conduct variability, or governance issues.\"",\n    \""circle entries report more concrete facilities, resource, and operational deficiencies (food/sanitation problems, broken toilets/air, outdated equipment, lack of athletic fields, overcrowding, transportation failures, budget shortfalls) than square entries\"": \""This groups tangible infrastructure and operational failures (sanitation, HVAC/AC, pests, cafeteria/food safety, bus/waiting logistics, lost records, overcrowding and contested spending) and remains separate from staff behavior, academic program strength, or governance because it pertains to physical resources and daily service delivery problems.\"",\n    \""circle entries document more administrative and governance dysfunction in concrete policies and procedures (unresponsive offices, punitive/inconsistent discipline policies, nepotism/favoritism, grade manipulation or exam/tuition enforcement, residency/credit transfer problems, and record-keeping errors) than square entries\"": \""This bucket aggregates reviews that name systemic leadership and policy breakdowns—board/administration decisions, nepotism, residency enforcement, manipulated grades, procedural denials—and is distinct from staff‑level variability (which is about individual teachers/counselors) and from facilities or academic-program availability.\"",\n    \""Circle entries show greater polarization and inconsistency in staff behavior and student support than square entries (simultaneous reports of highly committed/personalized staff and of unprofessional, neglectful, or unstable staffing and poor counseling/special‑needs support)\"": \""This captures the recurring pattern of contradictory staff reports (both exceptional, highly available teachers/counselors and frequent accounts of absenteeism, incompetence, biased favoritism, or poor special‑needs handling) and is kept separate from governance (systemic policy failures), facilities (resource problems), academic-program strength, and safety incidents because it describes variation in how staff actually deliver support rather than the programs, infrastructure, or leadership rules themselves.\""\n}""]",,28.67503595352173,20869,1728,2384,,[],['resp_0a548a8e996054c3006a74d53a0518819ea3c9ab489170735b'],True
