topic_id,rank,similarity,universal-id,id,n_words,text
0,1,0.9188,608459,5449897,31,Unfortunately our experience at this school has not been a good one. Our child struggles with bullying and the school does nothing about it. Many teachers and aides are really unqualified.
0,2,0.9183,3604692,3604129,96,"Terrible experience at this school. Bullying is rampant for years. The teachers are....there. Not much more than that. The administration consists of a figurehead principle who asserts little to no control or decision making. Incidents are not filed or reported to parents, and while a strong connection with your child is of course a must, it's also a requirement for survival in this school, as no one is going to warn you that your child was harassed physically, verbally, and emotionally for weeks on end. I have no idea how anyone can learn in this environment."
0,3,0.908,5101328,1421395,102,"This school is horrible. The teachers are bitter, play favorites, can't do their jobs properly, and do nothing about bullying. The students are mean and bully kids if the child isn't to their standards. The administrators don't care, I know from experience since I was supposed to talk to the principal about something going on involving me getting bullied but he was too ""busy"" to do it and had me to talk to someone else. Don't send your child here, it's awful and it will put your child through a nightmare. They will literally be terrified to come to school every day."
0,4,0.9066,402888,1473427,114,"This school has issues. Bullying being the #1 problem. They don't reprimand the kids that do it, but reprimand those that defend themselves. They allow verbal bullying to occur on a daily basis with no consequences. There are a few good teachers but the majority are burned out and its just a paycheck. They don't care about the kids or deal with the issues surrounding the kids that are mean. They allow sick children with fevers constantly, don't allow kids to go home sick. Parents are not friendly, new kids are not accepted, they are picked on with no assistance from administration. We left this school as it was not a fit for us."
0,5,0.9064,1900546,5255679,86,"This school lacks caring teachers and staff. I was told over and over again that things were getting taken care of my son was bullied due to an accident that left a scar on his face. I didn't know how bad it was until he took his own life. As a parent this is something you don't ever want to experience, but I did. No matter how much you preach to these adults about bullying they will never listen, or step in to help a child."
1,1,0.9027,4700998,2471532,12,the teachers and staff are amazing and truly care for each student
1,2,0.8964,4802890,3938161,24,The teachers and staff are excellent and really care about the students. They create fun and engaging learning environments and connect with the families.
1,3,0.8938,3400222,960487,6,The teachers and staff are great.
1,4,0.8923,800615,820569,11,Teachers and Staff are great and really care about the kids.
1,5,0.8914,3902293,1007489,10,the teachers and staff are great with students and parents
2,1,0.9086,4808041,4054641,107,"This school has been amazing! We've been at the school for 13+ years and have seen and experienced God's blessings on the school time and time again. The stability in leadership and continued focus on attracting the very best teachers and administrators have been important factors in keeping us here. Our kids have excelled and our oldest (whose left the nest already) seems more equipped to handle the next stage of life both academically and spiritually.The school is not perfect because it's run by human beings but that being said, my wife and I could not have asked for a better Christian educational experience for our children."
2,2,0.9025,5503369,1042325,44,This is an amazing Christian school. The teachers are committed and the students are in an atmosphere that encourages positive Christ-centered atttudes. It was an excellent environment for our son while he attended the school. It now is attending college and is doing great.
2,3,0.9016,1205174,1628147,31,Amazing school! The staff is friendly and kind and you can definitely see the Christian values instilled in the staff. Your child will not get an education like this anywhere else!
2,4,0.8967,4901098,1522978,90,"Children's Christian School has been an amazing school for our family. Our daughter was traumatized by the public school system and Children's Christian School took her in, made all the accommodations we requested, worked with her until she was able to get to grade level. I have never seen such dedication from the Director to the teachers in the school. The Parents involvement in the school is wonderful from doing lunch warm-ups to helping in the classrooms. The entire school revolves around the student's academic, social, emotional and spiritual needs."
2,5,0.8959,1203691,922383,62,This is a wondeful shool! My child has attended several other Christian schools and this one by far is the best! The academic standards are very high and the teachers care so much about EVERY student. There is absolutely NO favortism in this school. The students are great and hardworking. The entire school is very Christ focused without all of the 'religion'!
3,1,0.926,5103396,2491219,34,We are very pleased with Early Years Montessori School. My both children attended this school and they both have blossomed. Director and the teachers are very caring.I love this school and recommend it highly.
