topic_id,rank,similarity,universal-id,id,n_words,text
0,1,0.9166,608459,5449897,31,Unfortunately our experience at this school has not been a good one. Our child struggles with bullying and the school does nothing about it. Many teachers and aides are really unqualified.
0,2,0.914,3604692,3604129,96,"Terrible experience at this school. Bullying is rampant for years. The teachers are....there. Not much more than that. The administration consists of a figurehead principle who asserts little to no control or decision making. Incidents are not filed or reported to parents, and while a strong connection with your child is of course a must, it's also a requirement for survival in this school, as no one is going to warn you that your child was harassed physically, verbally, and emotionally for weeks on end. I have no idea how anyone can learn in this environment."
0,3,0.9059,402888,1473427,114,"This school has issues. Bullying being the #1 problem. They don't reprimand the kids that do it, but reprimand those that defend themselves. They allow verbal bullying to occur on a daily basis with no consequences. There are a few good teachers but the majority are burned out and its just a paycheck. They don't care about the kids or deal with the issues surrounding the kids that are mean. They allow sick children with fevers constantly, don't allow kids to go home sick. Parents are not friendly, new kids are not accepted, they are picked on with no assistance from administration. We left this school as it was not a fit for us."
0,4,0.9043,1500171,1194148,142,"This school is horrible...my child has only been attending this school for about 3 months and has had several incidents with a bully...I have went to the school and have not been able to get anything resolved. They do not take bullying seriously at all. They have called the police department on one of the bullies before but the same student is still freely walking the halls of the school terrorizing more and more kids. I guess nothing will ever get resolved until someone is seriously hurt. I have pulled my child from this horrible school and if you are zoned for this school I do advise you to rethink letting them attend this school. The teachers don't seem to care, and the administration don't seem to care as well. The principle is never in the office. This school is not safe!!!!!!!!!!!!!!!"
0,5,0.9043,5101328,1421395,102,"This school is horrible. The teachers are bitter, play favorites, can't do their jobs properly, and do nothing about bullying. The students are mean and bully kids if the child isn't to their standards. The administrators don't care, I know from experience since I was supposed to talk to the principal about something going on involving me getting bullied but he was too ""busy"" to do it and had me to talk to someone else. Don't send your child here, it's awful and it will put your child through a nightmare. They will literally be terrified to come to school every day."
0,6,0.9022,3700875,1187194,76,"This is not a good school. Teachers dont notice bullying. I complained, nothing was resolved. A teacher has been bullying the students, yelling, cussing, calling them names. My child hates it there. The students are so unruly and disruptive, he is not able to focus and learn. He doesnt feel safe and always feels threatened. My only option is to sell my house and move to a better school. Its so frustrating and sad and disappointing."
0,7,0.8997,2401208,5274268,139,This school still has a terrible bullying problem. The teachers and administration will not do anything outside of their guidelines to prevent or deescalate any issue. The teachers are tired and over worked. The children notice the lack of interest and dedication from their teachers. The school expects the kids to change without any effort from the adults. Motivation is low. I've had 3 kids go to this school within the last 10 years and the atmosphere has never changed. Sending your kid to this school is a risk to their mental and physical health. But there are no other options unfortunately. Do not expect your child to go to school and mind their business thinking that they will not get bullied by students or mistreated by staff. This school should be completely restaffed with quality administration and teachers.
0,8,0.8995,4000478,1332343,185,"My son went to this school and it is TERRIBLE. They let him get away with not doing his work (did not mention this at ANY parent teacher conferences, even when asked how he was doing) for the ENTIRE YEAR. They love kids, but do NOT hold the students accountable. They cant always argue that it is a parent thing, because I was 100% involved the entire year. They are frustrated and LOST and do not know how to manage a classroom. I have never seen the principal (not a single time, even at events), and when I mentioned it to the office ladies (who wasn't the nicest person in the world) they just laughed and shrugged. They wasted an entire year of my son's life. Ridiculous. Bullying also a huge deal. My child was bullied many times. Teachers seem to try to handle it, but it happened way too often. Some children this year threatened his life at one point and he was very shaken. This is not a good school if you care about your child's future at all. WORST school in Edmond."
0,9,0.8988,1710125,5638524,71,"This is a horrible school. My experience here was the worst ever. My child was bullied and they did nothing about it, they have very incompetent staff, that do not know how to deal with situations like this. I brought it to their attention multiple times and nothing changed, so I had to move my child to another school. There are other options in schools, do not take your kids here."
0,10,0.8988,1703032,1490846,175,"This is a TERRIBLE school. While the school claims to have a zero tolerance policy where bullying is concerned, it really translates to, nothing will be done when your child is bullied. The elementary principal is simply there to scare and yell at kids and to announce things at various assemblies, events, and games. Oh! I'm sorry, and to work the cross walk when no one else can. The unprofessionalism of the staff is unreal. Everything from the gossip between staff members, students parents, and even some students to actual favoritism of certain students. These people are important authority figures in our children's lives and they need to respect that! We are hoping to move soon so we can move children out of this school as soon as possible. I really hope this school can make some positive changes for the poor kids that do have to stay there, but I just don't see it happening. Good luck to all the kids stuck that that place!!!!!!!!!!:( Signed, ANOTHER set of mad parents w crushed kids"
