Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|reduce4|24|0,"[""{\n    \""circle entries describe stronger and more numerous structured academic pathways—AP/IB/STEM, dual‑enrollment, and vocational/career programs (and explicit college‑prep outcomes)—than square entries\"": \""Groups all evidence about formal academic offerings, pathways, measurable college outcomes and CTE/partnerships into a single programmatic bucket; this is distinct from facility, safety, governance or community descriptions because it focuses solely on curricular/programmatic capacity and outcomes.\"",\n    \""circle entries report more concrete facility, material, and operational resource failures (mold, no heat/AC, inedible food, outdated books, bus/attendance errors) than square entries\"": \""Captures the tangible, physical and service-level breakdowns (cleanliness, infrastructure, textbooks, food, transport, scheduling) and is kept separate from governance/favoritism or safety incidents because it concerns material/operational conditions rather than policy/people behavior.\"",\n    \""circle entries report more pervasive student safety, bullying, gang, drug and violent‑incident problems and more frequent ineffective enforcement than square entries\"": \""Aggregates all reports of student-on-student or student-on-staff safety incidents, substance use, gang activity and the school’s weak enforcement responses into one clear safety/climate bucket that is conceptually different from program quality, facilities, or administrative governance.\"",\n    \""circle entries report more administrative and governance dysfunction plus operational failures in support services (turnover, secrecy, favoritism, misallocation, cover‑ups, counselor/scheduling/records breakdowns) than square entries\"": \""Groups leadership, governance, staffing instability, nepotism/favoritism, cover-ups and broken student-support processes (guidance, scheduling, records) into one governance/operational‑process bucket distinct from physical resources, safety incidents, community closeness, or curricular offerings.\"",\n    \""circle entries emphasize a smaller, close‑knit, family‑like community, higher personalized attention, and active alumni/parent involvement more than square entries\"": \""Collects all descriptions of small‑school intimacy, strong parent/alumni engagement, individualized teacher attention and community identity into one social/community bucket that is mutually exclusive from programmatic rigor, facilities, safety, or governance issues.\""\n}""]",,23.818384170532227,21914,1088,1551,,[],['resp_06cc00cfc8bf19c1006a73996b8acc8192a8e4d03e322e3891'],True
vote|reduce4|18|0,"[""{\n    \""circle entries report pervasive safety, bullying, harassment, substance‑use, and discriminatory/toxic student‑climate problems with administrative inaction more than square entries\"": \""Groups the many reviews describing fights, bullying (including racially‑motivated and staff‑inflicted), assaults, gang/drug problems, sexual harassment, and reviewers’ claims that leadership fails to intervene — this is explicitly about student safety and climate and is kept distinct from facility, programmatic, governance, or community themes (so it does not overlap with administrative-process, physical‑resource, academic‑program, or small‑community buckets).\"",\n    \""circle entries report more administrative and governance dysfunction plus operational failures in support services (turnover, secrecy, favoritism, misallocation, cover‑ups, counselor/scheduling/records breakdowns) than square entries\"": \""Captures reviews alleging nepotism, favoritism, cover‑ups, politicized boards, guidance/counseling and scheduling breakdowns, leadership instability and unresponsiveness — focused on governance and process failures rather than physical plant, curricular strength, student behavior, or community closeness, making it mutually exclusive from the other selected buckets.\"",\n    \""circle entries report more chronic facilities, resource, and operational shortfalls (overcrowding, HVAC/pests, missing materials, mandatory fees and opaque charges) than square entries\"": \""Groups concrete complaints about building condition, overcrowding, HVAC/AC/pests, outdated technology/textbooks, poor food/transportation, and recurring family fees or opaque charges — this bucket is strictly about physical and resourcing/operational service failures and is separated from governance/administration, safety/climate, academic offerings, and community culture.\"",\n    \""circle entries document more extensive formal advanced academic and career pathways and measurable postsecondary outcomes (AP/IB/dual‑enrollment, career academies, internships, scholarship totals) than square entries\"": \""Collects the many reports of IB/AP/dual‑credit, vocational pathways, career academies, measurable test/college outcomes and scholarship/credit counts — this is focused on formal academic program strength and measurable postsecondary results and kept distinct from safety, facilities, governance, or community/personalization themes.\"",\n    \""circle entries emphasize a smaller, close‑knit, family‑like community, higher personalized attention, and active alumni/parent involvement more than square entries\"": \""Groups reviews that describe small‑school intimacy, close staff‑student relationships, strong parent/PTO/alumni engagement, multi‑generational ties and personalized one‑on‑one support — a social/community/person‑level support cluster that is conceptually different from safety climate, governance/process failures, physical resourcing, or formal academic-program strength.\""\n}""]",,24.462768077850342,22438,1280,1858,,[],['resp_0c93ca4d62fb917c006a73996b84e88191b8fa78dddd7a358c'],True
vote|reduce4|16|0,"[""{\n    \""circle entries report more administrative and governance dysfunction plus operational failures in support services (turnover, secrecy, favoritism, misallocation, cover‑ups, counselor/scheduling/records breakdowns) than square entries\"": \""This groups reviews describing leadership, governance, records/scheduling, counselor and process breakdowns (e.g., selective discipline, transcript/scheduling failures, secrecy and cover‑ups) and is distinct from facilities (physical resources), student safety (bullying/violence), academic-program strength (AP/IB/dual‑enroll), and small‑community warmth (parent/alumni engagement).\"",\n    \""circle entries report more chronic facilities, resource, and operational shortfalls (overcrowding, HVAC/pests, missing materials, mandatory fees and opaque charges) than square entries\"": \""This groups concrete physical and material failures (overcrowded classrooms, HVAC/pests, missing textbooks, mandatory/opaque fees, meal/maintenance problems) and is separate from administrative/governance breakdowns, student safety/climate issues, curricular/program offerings, and claims about tight-knit community supports.\"",\n    \""circle entries report pervasive safety, bullying, harassment, substance‑use, and discriminatory/toxic student‑climate problems with administrative inaction more than square entries\"": \""This isolates student‑safety and climate evidence (frequent fights, bullying—including of neurodivergent students—slurs, drugs, sexual/physical incidents and tolerated behavior) and is conceptually distinct from governance/process failures, facility/resource shortages, programmatic academic offerings, and small‑community personalization.\"",\n    \""circle entries describe broader, more formalized academic/program offerings and measurable college/career outcomes (academies, AP/IB, dual‑enrollment, vocational/CTE, and rich extracurriculars) than square entries\"": \""This captures reviews documenting extensive structured academic pathways, measurable postsecondary outcomes and formal partnerships (IB/AP/dual credit, CTE, academies, internships, scholarships) and is explicitly distinct from critiques of leadership/processes, physical resourcing, student safety climate, or the school’s community atmosphere.\"",\n    \""circle entries report stronger small‑town / faith‑oriented community ties, parental/alumni involvement, and more personalized one‑on‑one support than square entries\"": \""This groups accounts of a close‑knit, often faith‑oriented culture with high parental/alumni engagement and individualized teacher attention, separating those social/community strengths from program offerings, facility conditions, admin/governance dysfunction, and safety/discipline concerns.\""\n}""]",,25.66456699371338,21809,1344,1893,,[],['resp_0acac68242efc9ae006a73996b892081a093ff00e87ee14b76'],True
vote|reduce4|20|0,"[""{\n    \""circle entries describe broader, more formalized academic/program offerings and measurable college/career outcomes (academies, AP/IB, dual‑enrollment, vocational/CTE, and rich extracurriculars) than square entries\"": \""Groups all evidence of expanded, high‑level academic and career pathways (AP/IB, dual‑credit, magnet/CTE, scholarship totals and measurable postsecondary outcomes) into a single programmatic bucket; this is distinct from facilities, safety, governance, or community‑culture issues because it focuses strictly on formal curriculum, credentials, and measurable student academic outcomes rather than physical resources, discipline, administration, or social climate.\"",\n    \""circle entries report more chronic facilities, resource, and operational shortfalls (overcrowding, HVAC/pests, missing materials, mandatory fees and opaque charges) than square entries\"": \""Captures concrete, recurring infrastructure and material failures (e.g., mold/roaches, broken HVAC, overcrowding, missing textbooks, costly/failed tech rollouts and hidden fees) that are operational/physical in nature and separable from program strength, discipline/safety problems, administrative misconduct, or community closeness.\"",\n    \""circle entries report more administrative and governance dysfunction plus operational failures in support services (turnover, secrecy, favoritism, misallocation, cover‑ups, counselor/scheduling/records breakdowns) than square entries\"": \""Consolidates reviewer claims about leadership, governance, and bureaucratic/process breakdowns (nepotism, selective discipline, counselor scheduling/transcript errors, leadership turnover and misallocation of funds) into one accountability/governance theme that is conceptually distinct from physical facilities, student safety/climate, curricular offerings, or small‑community culture.\"",\n    \""circle entries report pervasive safety, bullying, harassment, substance‑use, and discriminatory/toxic student‑climate problems with administrative inaction more than square entries\"": \""Encompasses recurring reports of student‑safety failures—bullying, frequent fights, drugs, harassment, racial/LGBTQ bias—and the school’s ineffective response, keeping toxic climate and enforcement issues separate from facility problems, academic program descriptions, governance mechanics, or close‑community positives.\"",\n    \""circle entries emphasize a small, family‑like, community‑integrated school environment with close staff‑student relationships and high parent/alumni involvement more than square entries\"": \""Collects accounts of intimate, faith or small‑town community identity, strong parent/alumni engagement, small classes and one‑on‑one support—an interpersonal/cultural dimension that is distinct from material conditions, governance failures, safety/climate problems, or formal academic pathway breadth.\""\n}""]",,25.9911949634552,21485,1280,1828,,[],['resp_092b7ce6eebd59f2006a73996b8680819198c333e66842c853'],True
vote|reduce4|1|0,"[""{\n    \""circle entries report more pervasive student safety, bullying, gang, drug and violent‑incident problems and more frequent ineffective enforcement than square entries\"": \""Groups reviews that document student‑conduct and school‑safety failures (fights, gangs, bullying, drug use, harassment, suicides) and weak/absent enforcement — this is about interpersonal safety and disciplinary outcomes, not physical plant, academics, governance, or community cohesion, so it is distinct from the other buckets.\"",\n    \""circle entries describe stronger and more numerous structured academic pathways—AP/IB/STEM, dual‑enrollment, and vocational/career programs (and explicit college‑prep outcomes)—than square entries\"": \""Captures all evidence about formal curricular breadth and measurable postsecondary outcomes (AP/IB/STEM academies, dual‑enrollment, vocational tracks, college matriculation) and is focused on programmatic academic pathways rather than teacher behavior, facilities, safety, or community size.\"",\n    \""circle entries report more administrative dysfunction, favoritism, turnover, and operational/process failures (guidance, testing, transcripts, fees) than square entries\"": \""Groups reviews documenting governance and operational breakdowns (nepotism/favoritism, counselor failures, record/transcript/testing errors, opaque fees, leadership turnover and cover‑ups) — focused on management/process issues, not on facilities, student safety, academic program strength, or tight community relationships.\"",\n    \""circle entries report more chronic facilities, resource, and operational shortfalls (overcrowding, HVAC/pests, missing materials, mandatory fees and opaque charges) than square entries\"": \""Aggregates concrete physical and resourcing deficits (overcrowding, heating/AC failures, mold/food problems, missing textbooks/supplies, event seating/transport problems and fees), which are material/infrastructure problems distinct from administrative governance, student safety, academic program mix, or closeness of community.\"",\n    \""circle entries emphasize a smaller, close‑knit, family‑like community, higher personalized attention, and active alumni/parent involvement more than square entries\"": \""Collects reviewer claims about school scale and social structure (small/tight‑knit atmosphere, one‑on‑one mentorship, strong parent/alumni engagement and traditions), a people/community‑level characteristic that is conceptually separate from safety incidents, academic program breadth, administrative/process breakdowns, and physical resource failures.\""\n}""]",,26.451919078826904,21813,1344,1876,,[],['resp_0e09e5cd022f6f42006a73996b8c14819fa44b6b1c1157ecd5'],True
vote|reduce4|10|0,"[""{\n    \""circle entries describe broader, more formalized academic/program offerings and measurable college/career outcomes (academies, AP/IB, dual‑enrollment, vocational/CTE, and rich extracurriculars) than square entries\"": \""Groups all evidence about concrete program breadth, external partnerships, and measurable postsecondary outcomes (AP/IB/dual credit, academies, internships, scholarship totals) into one bucket focused strictly on curricular and pathway strength — distinct from community tone, safety problems, governance failures, or building/resources issues.\"",\n    \""circle entries emphasize a small, family‑like, community‑integrated school environment with close staff‑student relationships and high parent/alumni involvement more than square entries\"": \""Captures reviewers' claims about school scale, faith/identity ties, active parental/alumni participation, personalized one‑on‑one support and community cohesion — a social/community/relationship dimension that is separate from programmatic offerings, safety incidents, administrative corruption, or facility/resource deficits.\"",\n    \""circle entries report more pervasive student safety, bullying, gang, drug and violent‑incident problems and more frequent ineffective enforcement than square entries\"": \""Aggregates all concrete accounts of fights, bullying, drug/vaping presence, sexual/physical assaults, lockdowns and the school’s failure to prevent or adequately enforce safety — a student‑climate and discipline cluster that is conceptually different from governance/favoritism, curricular breadth, community closeness, or infrastructure/resource complaints.\"",\n    \""Circle entries report more administrative unprofessionalism, favoritism, nepotism, governance failures, and poor responsiveness (coverups, selective discipline, leadership instability) than square entries\"": \""Isolates governance and staff‑conduct problems (grade manipulation, nepotism, biased discipline, secrecy, legal/financial mismanagement, counselor/records breakdowns, high turnover) as institutional‑level dysfunction distinct from frontline student safety incidents, facility shortages, community culture, or educational-program strength.\"",\n    \""circle entries report more chronic facilities, resource, and operational shortfalls (overcrowding, HVAC/pests, missing materials, mandatory fees and opaque charges) than square entries\"": \""Contains all material/operational evidence about buildings, health hazards, overcrowding, missing textbooks/tech, food safety, bus/transportation and opaque fee practices — a physical/resource/operations bucket kept separate from curricular quality, community ties, student safety climate, and governance misconduct.\""\n}""]",,26.506487131118774,22081,1472,1980,,[],['resp_0d98c26d1591f3b8006a73996b813081a1b29457f1952e14d7'],True
vote|reduce4|9|0,"[""{\n    \""circle entries report more administrative and governance dysfunction plus operational failures in support services (turnover, secrecy, favoritism, misallocation, cover‑ups, counselor/scheduling/records breakdowns) than square entries\"": \""This bucket groups reviews alleging governance and process breakdowns (lost transcripts, selective discipline, nepotism, counselor/scheduling/records errors, turnover and cover‑ups) and is kept separate from facilities, safety/climate, programmatic strength, and community/parental involvement because those describe different domains (physical resources, student safety, curricular offerings, and social cohesion respectively).\"",\n    \""circle entries report more chronic facilities, resource, and operational shortfalls (overcrowding, HVAC/pests, missing materials, mandatory fees and opaque charges) than square entries\"": \""This bucket captures concrete material and operational shortages (no AC/heat, mold, overcrowded classrooms, missing textbooks, food/nurse/parking problems, and opaque fee demands) and is explicitly distinct from administrative/governance failure (process & leadership problems), safety/climate issues, programmatic rigor, or close‑knit community descriptions.\"",\n    \""circle entries emphasize a smaller, close‑knit, family‑like community, higher personalized attention, and active alumni/parent involvement more than square entries\"": \""This bucket groups social‑community features in reviews (small classes, one‑on‑one mentorship, strong alumni/parent participation, faith/small‑town ties) and is mutually exclusive from material/facility complaints, governance failures, safety/climate problems, and descriptions of formal academic/career programming.\"",\n    \""circle entries report pervasive safety, bullying, harassment, substance‑use, and discriminatory/toxic student‑climate problems with administrative inaction more than square entries\"": \""This bucket groups accounts of student‑behavior crises (frequent fights, gang/drug activity, bullying, sexual/physical assaults, racial harassment) together with failures to enforce or respond, and is kept distinct from facility/resource shortcomings, governance/process failures, program offerings, and community/personalized support themes.\"",\n    \""circle entries document more extensive formal advanced academic and career pathways and measurable postsecondary outcomes (AP/IB/dual‑enrollment, career academies, internships, scholarship totals) than square entries\"": \""This bucket captures programmatic strength and measurable outcomes (AP/IB counts and results, dual enrollment, CTE/career academies, college matriculation and awards) and is purposefully separated from community feel, material conditions, governance/process problems, and safety/climate concerns because it describes curricular and outcome capacity rather than social, physical, or administrative conditions.\""\n}""]",,26.89618682861328,21564,1472,2031,,[],['resp_060499ae7b268647006a73996b80c881a0b58c73fac323ad69'],True
vote|reduce4|15|0,"[""{\n    \""circle entries report more concrete operational and facility shortcomings (outdated curriculum/technology gaps, missing textbooks, overcrowding, cleanliness/food safety problems, parking/traffic hazards, and mixed renovation/funding narratives) than square entries\"": \""This bucket groups all evidence about physical plant, instructional materials, and day‑to‑day resourcing problems (e.g., roaches, overcrowded classrooms, locked‑down/obsolete tech, missing textbooks, surprising fees) and is distinct from academic-program strength, safety incidents, governance failures, and community culture which are separate operational domains.\"",\n    \""circle entries describe broader, more formalized academic/program offerings and measurable college/career outcomes (academies, AP/IB, dual‑enrollment, vocational/CTE, and rich extracurriculars) than square entries\"": \""This bucket captures clustered claims about formal program breadth and measurable postsecondary results (IB/AP/dual credit, CTE/CTC outcomes, scholarship totals, state/national awards) and is kept separate from facility/resource complaints, safety/discipline incidents, administrative/governance dysfunction, and interpersonal/community descriptions.\"",\n    \""circle entries report more pervasive student safety, bullying, gang, drug and violent‑incident problems and more frequent ineffective enforcement than square entries\"": \""This bucket consolidates reports of student‑on‑student harm and campus safety failures (fights, assaults, gangs, drugs, organized violence, sexual assaults) and the school's ineffective immediate enforcement—distinct from longer‑term governance/process failures, facility deficits, program strength, or the school's family/community character.\"",\n    \""circle entries report more administrative and governance dysfunction plus operational failures in support services (turnover, secrecy, favoritism, misallocation, cover‑ups, counselor/scheduling/records breakdowns) than square entries\"": \""This bucket groups managerial/governance evidence (leadership instability, nepotism/favoritism, transcript/records errors, cover‑ups, counselor/IEP/process breakdowns and fee mismanagement) and is intentionally separated from safety incidents, physical resource problems, curricular/program offerings, and community/culture themes.\"",\n    \""circle entries emphasize a smaller, close‑knit, family‑like community, higher personalized attention, and active alumni/parent involvement more than square entries\"": \""This bucket captures descriptions of school scale, interpersonal climate, faith/alumni traditions, close staff‑student relationships and high parental/alumni engagement (or expectations thereof) and is distinct from programmatic strength, facilities/resourcing, safety/discipline incidents, and administrative/governance breakdowns.\""\n}""]",,27.375356912612915,21767,1472,1998,,[],['resp_06c02df1c5b0d158006a73996b9d1c819eb740bc81ce353ca7'],True
vote|reduce4|17|0,"[""{\n    \""circle entries report stronger/expanded formal advanced academic programs, measurable college‑preparation outcomes, and external partnerships than square entries\"": \""Groups all reviews documenting concrete AP/IB/dual‑enrollment/academy offerings, internships, business or college partnerships and measurable college outcomes—a programmatic/outcomes cluster distinct from facility problems, safety issues, administrative misconduct, or community culture.\"",\n    \""Circle entries report more administrative and governance dysfunction plus operational failures in support services (turnover, secrecy, favoritism, misallocation, cover‑ups, counselor/scheduling/records breakdowns) than square entries\"": \""Captures complaints about leadership, favoritism/nepotism, turnover, misallocated budgets, cover‑ups and broken administrative processes (counseling, scheduling, records) which are organizational/governance failures separate from student safety, physical resources, academic program strength, or community tone.\"",\n    \""circle entries report more pervasive student safety and discipline failures (bullying, frequent fights, drugs, sexual/physical assaults) and ineffective school responses than square entries\"": \""Groups all reports of bullying, fights, substance use, assaults, discriminatory harassment and explicit failure or passivity in school disciplinary responses—a safety/behavioral climate category distinct from administrative mismanagement, facilities shortages, academic offerings, or small‑community warmth.\"",\n    \""circle entries report more concrete operational and facility shortcomings (outdated curriculum/technology gaps, missing textbooks, overcrowding, cleanliness/food safety problems, parking/traffic hazards, and mixed renovation/funding narratives) than square entries\"": \""Encompasses tangible material and operational shortfalls—technology/textbook deficits, overcrowded or unsanitary facilities, HVAC/pest/food issues, parking/transport problems and renovation/funding narratives—clearly separable from program quality, safety/discipline, governance, or community culture.\"",\n    \""circle entries emphasize a smaller, close‑knit, family‑like community, higher personalized attention, and active alumni/parent involvement more than square entries\"": \""Groups all evidence of small‑school intimacy, faith/service identity, one‑on‑one teacher support, multi‑generational alumni ties and unusually active parent/community engagement, a social/community characteristic distinct from academics, safety, facilities, or administrative operations.\""\n}""]",,27.944970846176147,22438,1600,2089,,[],['resp_0cd125990c759f2f006a73996bae0c819c97fab8f9d8353151'],True
vote|reduce4|14|0,"[""{\n    \""circle entries emphasize a smaller, close‑knit, family‑like community, higher personalized attention, and active alumni/parent involvement more than square entries\"": \""Groups reviews that describe small‑school/family atmosphere, strong parent/alumni engagement, close 1:1 teacher relationships and community continuity (e.g., multigenerational ties, parent volunteering) — this is strictly about social/community structure and personalized attention, and does not overlap with buckets about facility problems, safety incidents, academic program breadth, or administrative/governance failures.\"",\n    \""circle entries report pervasive safety, bullying, harassment, substance‑use, and discriminatory/toxic student‑climate problems with administrative inaction more than square entries\"": \""Captures all reports of student‑conduct harm (bullying, fights, assaults, drugs, racism/sexism) combined with descriptions that administration fails to stop or effectively discipline; it is focused on student‑safety and enforcement climate only and is distinct from facility/resource issues, curricular/program strength, community warmth, or administrative process failures.\"",\n    \""circle entries describe broader, more formalized academic/program offerings and measurable college/career outcomes (academies, AP/IB, dual‑enrollment, vocational/CTE, and rich extracurriculars) than square entries\"": \""Groups reviews that list concrete programmatic breadth and measurable postsecondary outcomes (AP/IB counts, dual‑enrollment credits, CTE tracks, scholarship totals, alumni college placements and internships); this bucket is about program/academic opportunity and outcomes and is kept separate from safety, facilities, community feel, and governance/operational breakdowns.\"",\n    \""circle entries report more concrete operational and facility shortcomings (outdated curriculum/technology gaps, missing textbooks, overcrowding, cleanliness/food safety problems, parking/traffic hazards, and mixed renovation/funding narratives) than square entries\"": \""Clusters reviews describing material and operational resource failures — building condition, supplies/tech shortages, food/sanitation, overcrowding and funding/renovation problems — which are physical/operational resource issues distinct from administrative misconduct, student safety/climate, academic program strength, or family/community characteristics.\"",\n    \""circle entries report more administrative and governance dysfunction plus operational failures in support services (turnover, secrecy, favoritism, misallocation, cover‑ups, counselor/scheduling/records breakdowns) than square entries\"": \""Collects evidence of leadership and governance breakdowns — nepotism/favoritism, arbitrary or opaque discipline, counselor/transcript/scheduling failures, record‑transfer problems, high turnover and defensive/secretive leadership — focused on governance/process failures rather than physical resources, student safety incidents, program offerings, or community closeness.\""\n}""]",,29.06511402130127,22089,1600,2175,,[],['resp_080c13c4ddc873c5006a73996ba3ec81918133a1837abd0fda'],True
