Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
gen|0|15,"[""{\n  \""circle entries report more faith-based identity, formal religious programming, and religion-driven rules or favoritism than square entries\"": \""These reviews repeatedly frame the school as explicitly religious (Catholic/christian), cite faith programming and missions, and describe discipline or inclusion shaped by religious norms (e.g., “Faith, Family and Education…”, “If you aren’t Catholic you will be made to feel like an outsider”, heavy policing of dress/sex ed); Square reviews contain no comparable references to parochial identity or religion-driven policies.\"",\n  \""circle entries document a greater variety of named concrete academic and career pathways (AP/IB/dual-credit, CTE, engineering/finance academies, Work-Study, JROTC, strong arts) than square entries\"": \""Many Circle reviews list specific programs, partnerships, and funded pathways—IB for 11–12, over 40 hours of dual credit the school pays for, Academy of Engineering, Career & Technical shops, paid Corporate Work Study, national-performing choirs and band achievements—while Square reviewers rarely name this breadth of concrete curricular or vocational offerings.\"",\n  \""circle entries describe more individualized academic and wraparound supports (tutoring, remediation periods, special‑needs and autism integration, counselor/coach interventions) than square entries\"": \""Circle reviews frequently cite one‑on‑one tutoring, after-school remediation, special-ed/autism supports, staff who ‘pulled me aside’ or helped students graduate (e.g., ‘Mr.Potts helped every single one of them to graduate’), whereas Square reviews more often report reduced one‑on‑one attention and understaffed counseling.\"",\n  \""circle entries report more severe and specific student safety/behavior problems (fights, gang presence, drugs/alcohol, groping, pervasive bullying) than square entries\"": \""Numerous Circle comments describe physical fights, gang territory, students coming to school drunk/high, sexual groping in hallways, and allegations that staff fail to stop bullying; Square reviews either do not report such severe incidents or describe milder/isolated discipline concerns.\"",\n  \""square entries portray more consistent, uniformly high academic outcomes, institutional metrics, and inclusive equity-oriented climate than circle entries\"": \""Square reviews emphasize steady high test scores/ACT leadership, district-level equity/diversity and consistent program quality (e.g., 'highest scores in ACT testing', 'well rounded, diverse', 'school system cares about equity') and present fewer internal contradictions than Circle, which often shows polarized, mixed evidence about outcomes and climate.\""\n}""]",,22.542563915252686,20422,1216,1757,,[],['resp_0053ec486fac7895006a74d108202c819fbceb2933aaff5cab'],True
gen|1|5,"[""{\n  \""circle entries document broader and more varied extracurricular, vocational, and advanced‑course offerings than square entries\"": \""These circle reviews repeatedly list concrete program breadth — named JROTC/ROTC units, nationally ranked band, many clubs (robotics, debate, choir), vocational partners, career certifications, dual‑enrollment/college‑credit pathways, honors/AP tracks — details and outcomes (e.g., graduating with college credits or certifications) that square reviews rarely enumerate or match.\"",\n  \""circle entries report greater administrative turnover, secrecy, and retaliatory or scandalous leadership behavior than square entries\"": \""Circle reviewers cite repeated principal/superintendent churn, resignations tied to misconduct, personnel coverups, teacher firings for speaking up, censorship of student media, and long stretches of unresponsiveness from administrators — concrete governance instability and opaque/dismissive leadership practices that square reviews do not emphasize.\"",\n  \""circle entries report more frequent severe safety problems, unchecked bullying, and staff misconduct than square entries\"": \""Circle texts contain explicit incidents and patterns — daily fighting, students assaulting teachers, pervasive bullying and racial harassment, predatory peer behavior, staff sexual misconduct or coming to work drunk, and claims that administration fails to remedy these issues — a cluster of physical‑safety and staff‑misconduct problems absent or much less present in square entries.\"",\n  \""circle entries describe stronger socioeconomic, racial, and nepotistic favoritism and exclusion in student treatment and access than square entries\"": \""Many circle reviews allege concrete favoritism and exclusionary practices — athletic/parent cliques controlling playing time, last‑name or donor‑based preferential treatment, tuition/ scholarship inconsistencies, wealth‑ and race‑based social gating, and staff/board nepotism — specific access and equity barriers square reviews do not foreground.\"",\n  \""square entries describe more consistent teacher/counselor support, proactive parent communication, and measurable college‑preparatory outcomes than circle entries\"": \""Square reviews more often report dependable teacher and counselor engagement (regular phone calls, visible counselors, extra help), proactive administrative/teacher communication, and explicit college‑prep evidence (IB/IB outcomes, AP/dual‑enrollment credit, documented college acceptances), forming a coherent pattern of consistent academic support and measurable outcomes that circle entries provide less uniformly or contradict.\""\n}""]",,23.294291973114014,20127,1280,1759,,[],['resp_08b4f0d4823311c1006a74d1087b8c819eafe0708ad6ef8454'],True
gen|1|26,"[""{\n  \""circle entries report more chronic physical-safety threats, pervasive bullying, gangs and drug-related incidents than square entries\"": \""This bucket captures reports of repeated fights, gang formation, on-campus drug use/solicitation, explicit safety threats and law-enforcement tactics (e.g., weekly 3–5 fights, ‘gangs are formed,’ students offered drugs in restrooms, police mace/pepper-spray in halls) that appear in many circle reviews but are not reported in square entries.\"",\n  \""circle entries report stronger advanced-academic offerings and measurable college-prep outcomes than square entries\"": \""This groups concrete academic-program evidence that circle reviewers cite—extensive AP/honors coursework, high AP/ACT/college‑matriculation claims and alumni success stories (e.g., AP Calc BC scores of 5, ‘top AP school in Utah’, ACTs above state average, graduates admitted to Harvard/MIT/Yale)—features that circle reviews emphasize more than square reviews.\"",\n  \""circle entries describe more and better‑documented extracurricular programs, specialized facilities, and named arts/STEM offerings than square entries\"": \""This bucket covers concrete program/facility evidence in circle reviews (planetarium/observatory, 3D printing and robotics labs, state‑rated choir, pep/ROTC/band culture, theater, wrestling/athletic championships, alumni-run programs) where circle reviewers name specific extracurricular strengths and specialized spaces that square entries rarely enumerate.\"",\n  \""circle entries report more punitive discipline practices and weaker in‑school student supports (counseling, remediation, special‑ed access) than square entries\"": \""This groups operational policies and support failures frequently described in circle items—collective punishments and invasive searches, forced transfers to alternative programs, refusal to accept make‑up work, punitive fees, inadequate counselors or IEP support, understaffing and bus‑safety failures—which together describe a punitive/support‑deficient student-services regime not found as often in square entries.\"",\n  \""circle entries allege more governance/leadership problems, nepotism, and district-level communication failures than square entries\"": \""This bucket aggregates repeated governance-level complaints in circle reviews—calls for new principals/board replacements, accusations of nepotism/legacy favoritism, unreturned superintendent requests, declining standards after leadership change, and community fundraisings to ‘save the school’—a pattern of leadership and accountability failures emphasized in circle but absent or less frequent in square entries.\""\n}""]",,23.69655203819275,19604,1280,1827,,[],['resp_04e7e57439172f47006a74d10852f48191aa532ba10bfc4de4'],True
gen|1|20,"[""{\n  \""circle entries report more severe and persistent student-safety and conduct problems (bullying, fights, assaults, drugs) than square entries\"": \""These reviews describe concrete, recurring safety failures in circle schools—unresolved bullying at every grade, on-campus fights/theft, student assaults (e.g., lunch-line assault and cover-up), drug/alcohol use, and even shooting-related crises—whereas square reviews either omit these problems or describe them as rare and handled (examples: police-involved unresolved bullying, frequent fights, doctor advising child not return).\"",\n  \""circle entries describe stronger, more measurable college-preparatory programs and outcomes (AP/IB/dual-credit, test prep, college matriculation) than square entries\"": \""Circle reviews frequently name concrete academic offerings and outcomes—AP classes, IB/dual-enrollment, SAT/ACT prep classes, documented ACT/IB/college-credit results and specific college matriculation—while square entries tend to emphasize program labels or express concern about college readiness rather than providing the same density of measurable course access and postsecondary outcomes (examples: dual-enrollment credits, SAT prep classes, students at Duke).\"",\n  \""circle entries report greater teacher accessibility, individualized support, and caring/special‑needs responsiveness than square entries\"": \""Many circle reviews describe teachers staying late, morning labs, small classes, individualized curriculum adjustments, successful special‑education supports and hands‑on help for struggling students, whereas square reviews more often note teacher absence, inconsistent help, or administrative barriers to getting accommodations (examples: teachers staying until 4–5pm, morning help labs, virtual program ADHD support vs frequent subs and unhelpful counselors).\"",\n  \""circle entries report more administrative dysfunction, favoritism, financial gatekeeping, and poor parent/record communication than square entries\"": \""Circle reviewers repeatedly allege nepotism/favoritism (athlete favoritism, legacy hires, insider scholarships), administrative errors that threaten credits/transfers, hidden fees and fundraising dependence, and nonresponsive office/staff communication; square reviews rarely raise the same cluster of governance/finance/recordkeeping accusations (examples: lost transcripts, grade changes by connected staff, withheld privileges for missed payments).\"",\n  \""circle entries list and praise more concrete extracurricular breadth and high‑profile program achievements (sports, band, JROTC, conservatory, career academies) than square entries\"": \""Circle reviews often enumerate many named clubs/academies and advertise high-profile wins or recognitions (state-champion teams, national marching-band champions, top JROTC inspections, arts conservatory, 13 career academies), whereas square entries mention extracurriculars more generically and with less repeated evidence of program-level distinction or awards.\""\n}""]",,24.285226106643677,19920,1216,1830,,[],['resp_06129c11827abe2d006a74d10890b0819daf5f3a791ab91ed9'],True
gen|0|24,"[""{\n  \""circle entries report more severe student-safety incidents and administrative failures to protect or remediate them than square entries\"": \""These reviews describe concrete threats to student safety (repeated threats and fights, gang‑related bullying, drug sales, physical restraint/assault allegations) and parents withdrawing or homeschooling children because the school failed to intervene; examples include multiple physical threats unaddressed, students moving to full-time online school to escape bullying, and claims that administration ignored injuries or medical response protocols.\"",\n  \""circle entries report stronger, concrete college‑prep and specialized academic opportunities and measurable student outcomes than square entries\"": \""Circle reviews list specific programmatic assets and outcomes—AP/IB offerings, dual‑enrollment and in‑house college credit, STEM/hands‑on labs (3D printing, cadaver dissection), internships/fellowships (Cleveland Clinic), expanded AP classes, scholarships and college matriculation—whereas square entries lack comparable, measurable program and outcome detail.\"",\n  \""circle entries report more administrative and operational dysfunction (communication, recordkeeping, scheduling, compliance, and favoritism) than square entries\"": \""These accounts document practical failures and policy problems—lost transcripts, withheld report cards over fees, repeated IEP noncompliance and denied placements, scheduling/registration errors that jeopardize credits, selective dress‑code enforcement and favoritism toward athletes—plus poor parent communication and inconsistent counseling, distinguishing operational breakdowns from classroom instruction issues.\"",\n  \""circle entries report broader and higher‑profile extracurricular/athletics offerings and also more athletics‑prioritization/favoritism than square entries\"": \""Circle reviews enumerate large rosters of sports and clubs, named athletic championships, award‑winning arts/drama programs, and community internships, but also frequently complain that funding and administrative attention skew toward football/athletics and that athletes receive preferential treatment; square entries rarely show the same breadth or the same athletics‑first governance critiques.\"",\n  \""circle entries exhibit greater internal inconsistency and polarized reviewer accounts about the same domains (teaching quality, special‑needs treatment, safety, community) than square entries\"": \""Many circle texts contain sharply conflicting claims within the same school—glowing praise for teachers, facilities or college prep right next to reports of incompetence, poor special‑education implementation, or severe safety problems—whereas square reviews are more consistently uniform in their portrait of the school.\""\n}""]",,24.532907962799072,20019,1024,1570,,[],['resp_098f56b734afa879006a74d1082d8481919d9cf2c9d2d9852e'],True
gen|3|7,"[""{\n  \""circle entries report stronger, more concrete advanced-academic and career/college offerings than square entries\"": \""This bucket captures program-level academic capacity: circle reviews frequently name IB, AP breadth, dual‑enrollment/early‑college pathways, AVID, CTE/vocational certifications and concrete college outcomes (associates degrees, high scholarship totals), whereas square reviews lack comparable formal advanced-program descriptions; examples: circle mentions IB rigor, earned associate degrees, robust AP/dual‑credit lists and career‑tech expansions that square does not.\"",\n  \""circle entries report more frequent and severe student safety and behavior problems than square entries\"": \""This groups accounts of on-campus safety and conduct: circle reviewers repeatedly describe daily fights, theft, pervasive drug/alcohol use (including adult involvement), sexual harassment/assault mishandling, stalking, harassment of LGBTQ and neurodivergent students, and event‑site violence, while square reviews report fewer or less specific safety incidents; examples: 'fights almost daily', restroom drug solicitation, sexual harassment with weak follow‑up, and bedbug infestations are predominantly in circle entries.\"",\n  \""circle entries report more systemic administrative failings, favoritism/nepotism, and opaque or punitive governance than square entries\"": \""This bucket captures governance and staff‑behavior patterns: circle reviews allege chronic unresponsiveness, administrative deflection and cover‑ups, tolerated cronyism/nepotism, exclusionary reenrollment/committee removals, review suppression and inconsistent or punitive discipline, whereas square reviews contain fewer such governance‑level accusations; examples: reports of superintendents pushing complaints away, 'nepotism is tolerated', and administrators 'sweep scandals under the rug' are concentrated in circle entries.\"",\n  \""circle entries report broader, more accessible extracurriculars, arts/athletics prominence, and stronger community/alumni advocacy than square entries\"": \""This groups descriptions of out‑of‑class opportunities and social capital: circle reviewers commonly list extensive arts and extracurricular catalogs (nationally recognized mariachi, strong band/choral programs, travel trips), high athletic achievement and easy cross‑participation in clubs due to small size, plus strong alumni/parent loyalty and organized defense of the school; square reviews do not present the same combination of breadth, travel/competition prestige, and multigenerational advocacy.\"",\n  \""circle entries report greater material resource variability and operational/fiscal problems (facilities, sanitation, transportation, device/privacy, fees) than square entries\"": \""This bucket covers concrete infrastructure and fiscal practices: circle reviews document contradictory spending/priorities (fields before classrooms), teacher supply shortages, bedbugs/unsanitary buildings, transportation gaps, laptops/spyware problems, tuition/fee/kickback complaints and budget cuts harming programs—issues square reviews rarely raise; examples include requests to extend bus lines, claims of misallocated tech spending, bedbug infestations, and parents charged for many small fees in circle entries.\""\n}""]",,23.833352088928223,19950,1408,2042,,[],['resp_0e9a6452f3ef556d006a74d108ab44819c8e1e69606931ba10'],True
gen|1|29,"[""{\n  \""circle entries describe stronger, concrete advanced-academic and college-prep offerings (IB/AP/dual enrollment/college-credit/clear matriculation outcomes) than square entries\"": \""This bucket captures reviews that report school-run, measurable college-preparation infrastructure — e.g., IB programs that award college credit, many AP/honors classes, dual‑enrollment/college-credit pathways, STEM/AP rigor, and named college matriculations (Berkeley, UCLA, Stanford, etc.). Examples: multiple circle reviews cite 'Full IB Diploma,' 'duel enrollment courses,' 'start taking college classes in 11th,' and 'great performance on AP tests,' while square reviews rarely list formal college-credit programs or measurable placement evidence.\"",\n  \""circle entries report more frequent bullying, physical fights, safety incidents, and inadequate on-the-ground responses than square entries\"": \""This bucket groups accounts of pervasive student-on-student violence, daily fights, severe bullying (including retaliation after reporting), unsafe hallways/lockdowns, and descriptions that administrators/deans laughed off or failed to remediate complaints. Illustrative circle evidence: 'fights almost every day,' 'enormous bullying problem,' 'the dean literally laughed,' and 'open to bullying with no recourse;' square reviews contain far fewer or more contained safety complaints.\"",\n  \""circle entries emphasize broader extracurricular breadth and more active parent/community/alumni engagement than square entries\"": \""This bucket collects reports of extensive arts/music programs, athletics (sometimes nationally prominent), many clubs/leadership opportunities, strong PTO/parent networks and multigenerational alumni ties that shape school life. Examples from circle: 'music program…one of the best,' 'many clubs, charities and sports programs,' 'very large and engaged parent network,' and multi‑generation family attendance; square reviews more often lack that combination of program breadth plus organized parent/alumni involvement.\"",\n  \""circle entries document more administrative unresponsiveness, favoritism/nepotism, punitive or inconsistent discipline, and governance failures than square entries\"": \""This bucket covers operational and governance problems — administrators protecting favored students, retaliating against complainants, removing negative online reviews, refusing credit transfers, uneven departmental support, and calls to replace school boards. Representative circle claims include 'teachers, parents, and other staff... If you complain your child becomes a target,' 'they also take down negative reviews,' 'Board of Ed needs to be scrapped,' and withheld report cards for unpaid fees; square reviews rarely allege this pattern of favoritism/board-level failure.\"",\n  \""square entries report stronger, consistent teacher/counselor visibility, individualized remediation, and measurable student support leading to positive postsecondary outcomes than circle entries\"": \""This bucket groups reviews that describe accessible, caring teachers and counselors who provide one‑on‑one help, SAT/college guidance, credit-recovery or targeted remediation, and alumni who succeed in college (scholarships, honors programs). Example square evidence: 'teachers go the extra mile,' 'guidance counselors were great,' '4.2 GPA... now attending Rutgers with full scholarship,' and 'help is available when requested;' these concrete staff‑support practices and measurable outcomes appear more often in square entries than in circle entries.\""\n}""]",,25.309776067733765,20165,1280,1973,,[],['resp_04c077df0351c1c1006a74d1087a88819f8aa795fdc08754c0'],True
gen|0|33,"[""{\n  \""circle entries report more pervasive bullying, violent/safety incidents, and ineffective staff response than square entries\"": \""This bucket captures claims of ongoing peer-on-peer harm (\\\""lots of bullying\\\"", \\\""bullied by gang members every day\\\"", gendered assaults, robberies, knives/weapons, shootings and bomb threats) together with reviewer accounts that staff or administration ignored or poorly handled these incidents (\\\""nothing was done\\\"", \\\""teachers allow bullying\\\"", failure to notify parents). Examples: reports of daily fights, metal-detector installs and lost doctor notes, alleged staff indifference to a concussion or student-on-student robbery illustrate the pattern.\"",\n  \n  \""square entries report stronger formal college-prep academics, AP/IB offerings, and higher measured test/placement outcomes than circle entries\"": \""This bucket groups concrete academic-program strength signals in square reviews — explicit IB/AP availability, high API or ACT/SAT claims, honors/IB graduates succeeding in college, and routine references to exam preparation — as distinct from general praise. Examples: square reviewers cite IB/college-prep success and alumni in honors programs, while circle reviews more often describe mixed readiness, rushed curricula, or lack of AP in some cases.\"",\n  \n  \""circle entries describe broader, tangible program variety and direct postsecondary/career outcomes (dual‑enrollment, CTE, arts, vocational, adult programs) more than square entries\"": \""This bucket covers concrete, named offerings and downstream outcomes—dual‑credit/college courses, career-technical shops (CDL, culinary, Graphic Communications), Performing Arts Career Academy, extensive service events, and explicit college acceptances/scholarships—plus measurable career-readiness testimony. Examples: circle reviewers report students taking OCC classes for credit, thousands in scholarships, robust Key Club/service drives, and adult/CDL programs that produced employment certificates.\"",\n  \n  \""circle entries report more administrative instability, poor communication, arbitrary or punitive policies, and fiscal/operational mismanagement than square entries\"": \""This groups accounts of leadership turnover and abuse of power, ignored parent communications, invented daily rules, punitive demerit/suspension practices, lost attendance/doctor notes, accreditation lapses, funding shortfalls or questionable budget priorities, and logistical failures (parking, bus-waiting in extreme weather). Examples include claims of unstable leadership, a lost valedictorian scholarship due to accreditation, robotic call-system harassment, and counselors/scheduling errors for upperclassmen.\"",\n  \n  \""circle entries report stronger social hierarchy, athlete/volunteer favoritism, and resource allocation to sports (or parent-run influence) more than square entries\"": \""This bucket captures repeated statements that peer cliques, socioeconomic elitism, and athlete privilege shape discipline and recognition (\\\""if you're into sports you can do whatever you want\\\"", \\\""parents who volunteer avoid discipline\\\"", \\\""everything is football related\\\""), including alleged donor-driven favoritism and withheld privileges tied to payments/donations. Examples: anecdotes of athletes escaping consequences, drum‑major achievements going unrecognized, and claims that parent volunteering or donations determine student treatment.\""\n}""]",,26.113131999969482,20140,832,1464,,[],['resp_00a739678bbb3997006a74d1081ca881918d9bda31b32b9ece'],True
gen|1|3,"[""{\n  \""circle entries report more severe on-campus safety threats and pervasive student misconduct (drugs, fights, sexual activity, bomb/kill threats) than square entries\"": \""This bucket groups raw items that describe concrete safety incidents and student-run harms in circle schools (e.g., “kids are high and drunk in school regularly,” multiple fights per month, overdoses in class, “sex in the parking lot,” bomb/kill lists, gang activity, pervasive bullying and students being assaulted) while square reviews contain few or no comparable reports of drugs, gang violence, overdose, or bomb threats.\"",\n  \""circle entries report more administrative and front‑office dysfunction, punitive/arbitrary discipline, favoritism/nepotism, and staff misconduct than square entries\"": \""This captures accounts of leadership and staff failures in circle reviews—unresponsive or hostile administrators and secretaries, arbitrary rulemaking and blanket punishments, administrators who retaliate or ignore complaints, favoritism toward staff/employee children, mishandled teacher‑student relationships, privacy violations, and security/staff enabling of skipping—whereas square reviews rarely allege this kind of systemic administrative complicity or rudeness.\"",\n  \""circle entries document more concrete advanced academic, career/technical, and college‑credit offerings and measurable postsecondary outcomes than square entries\"": \""This groups concrete programmatic evidence in circle reviews: AP/Honors rigor, dual‑enrollment/college credit hour totals, A+ and scholarship pipelines, hands‑on CTE tracks (welding, culinary, medical), PLTW/NAF partnerships, and named college admission outcomes—whereas square reviews more often lack or criticize comparable advanced/CTE/dual‑credit program availability or measurable college‑credit claims.\"",\n  \""square entries depict more consistent, caring, and well‑managed classroom and school supports with clearer rules enforcement and accessible staff than circle entries\"": \""This bucket groups square items that describe dependable teacher caring, clear enforceable rules, visible instructional leadership, and responsive supports (e.g., teachers who are 'excellent,' rules that are 'clear,' administrators who 'take swift action,' and effective counselor/mental‑health supports), in contrast to circle reviews that report far more inconsistency in rule enforcement, teacher responsiveness, and administrative follow‑through.\"",\n  \""circle entries emphasize stronger community intimacy, active parental choice/loyalty, religious/spiritual programming, and broader extracurricular/athletic involvement than square entries\"": \""This groups circle claims about small‑school/close‑knit culture, alumni loyalty and multi‑generation enrollment, parents relocating or sacrificing to stay in the zone, frequent parent groups/volunteer involvement, explicit faith programming (chapel/Bible classes), and a wide array of clubs/athletics/arts programs—whereas square reviews less often portray this concentrated parental loyalty, explicit religious programming, or the same breadth of grassroots extracurricular engagement.\""\n}""]",,26.285292625427246,19882,1472,2111,,[],['resp_03a63413c838efaf006a74d108a7bc81a09e4175f2ec82e672'],True
gen|2|1,"[""{\n  \""circle entries document stronger, concrete advanced-academic and vocational programming and measurable student outcomes than square entries\"": \""These reviews name specific college-prep programs, AP/IB offerings, dual‑enrollment/college‑credit counts, CTE certifications, scholarship/internship placements, and high test or ranking data (e.g., “high passing rate on AP exams,” “graduated with 50 college credits,” “certified Dental Assistant,” “top 3 on state assessments”), whereas square reviews rarely cite comparable program breadth or concrete outcome evidence.\"",\n  \n  \""circle entries emphasize a small-school, familylike community with high teacher availability and long staff continuity more than square entries\"": \""Circle reviews repeatedly describe small class sizes, teachers who 'know every kid,' accessible one‑on‑one help (teachers available at lunch/after school), active PTAs, alumni continuity and intergenerational ties (e.g., 'teachers go above and beyond,' 'we are one big family,' long‑serving staff), while square reviews do not portray such consistent close-knit personalization.\"",\n  \n  \""circle entries report more facility/resource shortfalls, underfunding, and logistical constraints than square entries\"": \""Many circle reviews point to physical plant and resourcing problems—deteriorating/dirty buildings, roaches, missing restroom fixtures, lack of auditorium/track, overcrowding, insufficient tables, truncated lunch service, budget misallocation, and hidden fees (e.g., 'underfunded…they don't have enough tables,' 'hidden fees…thousands of dollars'), whereas square entries typically do not emphasize chronic facility decay or the same degree of funding scarcity.\"",\n  \n  \""circle entries record more systemic staff- and student-safety problems and hostile school climate incidents than square entries\"": \""Circle texts frequently allege teacher bullying/hostile staff behavior, pervasive student bullying/cliquishness, frequent fights, drug prevalence, threats and mental‑health harms (e.g., 'teachers make me feel terrible…almost killed myself,' 'frequent fights,' 'infamous amount of drug users'), describing concrete safety/climate failures that square reviews do not report as often.\"",\n  \n  \""circle entries report more administrative and governance failures, policy noncompliance, and parent escalation (including special‑education/IEP failures and calls for investigation) than square entries\"": \""Circle reviews cite unresponsive or punitive administrators, inconsistent rule enforcement, bending of policies, counselor/scheduling errors, failure to follow IEP/504 directions, nepotism or misallocation of funds, and explicit calls to sue/ investigate or close the school (e.g., 'teachers told NOT to inform parents,' 'do not follow 504 plans,' 'Parents should sue the NJDOE,' 'shut this school down'), while square reviews contain fewer such governance‑level accusations.\""\n}""]",,26.705443859100342,20106,1088,1692,,[],['resp_033b244b7c0d6092006a74d1087cf881a28db3c6a974bf84db'],True
