topic_id,rank,similarity,universal-id,id,n_words,text
0,1,0.9188,608459,5449897,31,Unfortunately our experience at this school has not been a good one. Our child struggles with bullying and the school does nothing about it. Many teachers and aides are really unqualified.
0,2,0.9183,3604692,3604129,96,"Terrible experience at this school. Bullying is rampant for years. The teachers are....there. Not much more than that. The administration consists of a figurehead principle who asserts little to no control or decision making. Incidents are not filed or reported to parents, and while a strong connection with your child is of course a must, it's also a requirement for survival in this school, as no one is going to warn you that your child was harassed physically, verbally, and emotionally for weeks on end. I have no idea how anyone can learn in this environment."
0,3,0.908,5101328,1421395,102,"This school is horrible. The teachers are bitter, play favorites, can't do their jobs properly, and do nothing about bullying. The students are mean and bully kids if the child isn't to their standards. The administrators don't care, I know from experience since I was supposed to talk to the principal about something going on involving me getting bullied but he was too ""busy"" to do it and had me to talk to someone else. Don't send your child here, it's awful and it will put your child through a nightmare. They will literally be terrified to come to school every day."
0,4,0.9066,402888,1473427,114,"This school has issues. Bullying being the #1 problem. They don't reprimand the kids that do it, but reprimand those that defend themselves. They allow verbal bullying to occur on a daily basis with no consequences. There are a few good teachers but the majority are burned out and its just a paycheck. They don't care about the kids or deal with the issues surrounding the kids that are mean. They allow sick children with fevers constantly, don't allow kids to go home sick. Parents are not friendly, new kids are not accepted, they are picked on with no assistance from administration. We left this school as it was not a fit for us."
0,5,0.9064,1900546,5255679,86,"This school lacks caring teachers and staff. I was told over and over again that things were getting taken care of my son was bullied due to an accident that left a scar on his face. I didn't know how bad it was until he took his own life. As a parent this is something you don't ever want to experience, but I did. No matter how much you preach to these adults about bullying they will never listen, or step in to help a child."
0,6,0.9052,1500171,1194148,142,"This school is horrible...my child has only been attending this school for about 3 months and has had several incidents with a bully...I have went to the school and have not been able to get anything resolved. They do not take bullying seriously at all. They have called the police department on one of the bullies before but the same student is still freely walking the halls of the school terrorizing more and more kids. I guess nothing will ever get resolved until someone is seriously hurt. I have pulled my child from this horrible school and if you are zoned for this school I do advise you to rethink letting them attend this school. The teachers don't seem to care, and the administration don't seem to care as well. The principle is never in the office. This school is not safe!!!!!!!!!!!!!!!"
0,7,0.904,3700875,1187194,76,"This is not a good school. Teachers dont notice bullying. I complained, nothing was resolved. A teacher has been bullying the students, yelling, cussing, calling them names. My child hates it there. The students are so unruly and disruptive, he is not able to focus and learn. He doesnt feel safe and always feels threatened. My only option is to sell my house and move to a better school. Its so frustrating and sad and disappointing."
0,8,0.9036,2000981,990377,32,"Be aware that bullying runs rampant at this school. We have been involved with teachers, the principal and counselor throughout the school year. The kids are disrespectful to each other and authority."
0,9,0.9036,1213531,1429799,160,"Bullying runs rampant with no assistance from the administration or guidance counselor. After numerous emails to all levels of administration and parent teacher conferences with the other child's parent we ended up pulling our child out of this school. A reported instance to the guidance counselor was met with a ""mind your own business"". When a email addressing this concern was sent , no explanation was provided. The problem with my child was well documented on an almost monthly basis without a suitable or even noticeable outcome. No child should be subject to the levels of abuse and intimidation that my son went through (including physical violence and death threats). Unless major changes all around occur I would not recommend this school to my worst enemy. It's a shame, really. From what I could tell the teachers cared about the students, but the students are out of control and making an unsafe environment for those who want to be there."
0,10,0.9024,1703032,1490846,175,"This is a TERRIBLE school. While the school claims to have a zero tolerance policy where bullying is concerned, it really translates to, nothing will be done when your child is bullied. The elementary principal is simply there to scare and yell at kids and to announce things at various assemblies, events, and games. Oh! I'm sorry, and to work the cross walk when no one else can. The unprofessionalism of the staff is unreal. Everything from the gossip between staff members, students parents, and even some students to actual favoritism of certain students. These people are important authority figures in our children's lives and they need to respect that! We are hoping to move soon so we can move children out of this school as soon as possible. I really hope this school can make some positive changes for the poor kids that do have to stay there, but I just don't see it happening. Good luck to all the kids stuck that that place!!!!!!!!!!:( Signed, ANOTHER set of mad parents w crushed kids"
