topic_id,rank,similarity,universal-id,id,n_words,text
0,1,0.8679,4803762,1333836,70,"This school is horrible. One time my son got bullied, and got a black eye and scars all over him and the teachers said nothing and did nothing. The teachers are so rude. That parking lot and cafeteria is so horrible I can't handle it, you might as well feed my child dirt. I now send my child to Thomas Haley. Best choice I have ever made in my life."
0,2,0.8635,2600056,1572698,126,"A handful of teachers are good at this school but the rest are only as good as the leader...the principal is NOT a good leader, counselors dont call you back, children are not properly prepared for high school. The kitchen staff screamed at me and hung up the phone when i had to request special lunches for my dietary restricted daughter. After telling the principal, of course she never followed up with me about it. The principal enforced one way hallways which make the kids late for class. Teacher conferences are chaotic. The parking lot is an unorganized disaster. I cant wait for this year to end so my daughter can go to a different school. One good thing about this school...they have a school nurse."
0,3,0.857,2101921,1271198,87,This is a lousy school. All the staff are related to each other. They don't care about the kids. Bullying is rampant. My daughter hates going to school. She has been attacked twice this school year and it is only December. The superintendent does nothing about parent concerns. He is a snob too. All they care about is image. Please do not buy a house in Spencer County. The schools are the worst in the state. The state should come take over these pathetic excuses for schools.
0,4,0.8553,2404118,2529662,68,"This used to be a wonderful school, however in the last couple of years has gone downhill. The administration lacks accountability. The classrooms are overcrowded, and the education is sub-par. There are teachers at the lower level who care, and work hard. However the principal do not support them. I am so happy I removed my child from this school. His teacher was great, but after kindergarten run..."
0,5,0.8524,1710213,1284690,24,"I just took my child out of this school recently.Good staff,great teachers.TERRIBLE students.Especially 7th grade.Rude and disrespectful.The bullying in this school is horrible.Parents beware!!!!!"
1,1,0.9308,5103014,1386650,35,This school is excellent I love it My son went for five years now Teachers are v good They really try to work with parents a lot to make the kids reach their potential .
1,2,0.9305,2601422,1978323,19,Excellent school with great teachers and an awesome principal. Both of my daughters love this diverse and exciting school
1,3,0.9276,1213782,4391131,12,This school is excellent. It was a great place fo my children.
1,4,0.9254,401304,1464529,25,"This school is amazing in every way. Great teachers, great activities, rigorous curriculum and an overall terrific environment. Best school in the area by far!"
1,5,0.9253,4801303,5602269,15,Wonderful school. My son has done so well in this school. The teachers are awesome.
2,1,0.8945,5302336,1537440,113,"I have nothing but positive things to say about our school. I love that the focus of their education is to encourage the growth of my children's character and help them discover and follow the purpose God has for them, even at a young age. Their teachers have been kind and loving, supporting them both in class and in outside activities. The leadership of the school knows my children by name and makes a concerted effort to know and understand them. They encourage my children to love one another, seek God, give back to their community and pursue education with enthusiasm. I would HIGHLY recommend this school to anyone seeking a Christian education."
2,2,0.8869,1302318,1393376,83,"This school is awesome! The teachers and administration offer a Christian environment with an outstanding curriculum. This school has a great small town feel and big school enthusiasm. It has sports, clubs, drama and after school programs. For parents, it gives a community of Christian believers who desire the same values for their kids and support as they raise their children. The teachers love the students and the kids can tell that they are at a school where they are welcomed and appreciated!"
2,3,0.8824,609008,1496974,23,This is a great school with a great christian environment. All the teachers are great. All the families and students are close too.
