Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|reduce4|15|0,"[""{\n    \""square entries document substantially stronger and more extensive advanced academic programs, college‑preparatory pathways, and measurable alumni outcomes than circle entries\"": \""Many raw items name AP/IB/dual enrollment/CTE, engineering/PLTW, dual‑credit, medalists and concrete college matriculation—this bucket captures that programmatic and outcome evidence specifically and is distinct from 'polarized instruction' (which is about within‑school variability in who benefits), 'administrative failures' (which is governance/ethics), 'safety/bullying' (which is about climate/violence/substance), and 'facility/operational resourcing' (which is about physical capacity and logistics).\"",\n    \""square entries document more systemic administrative and governance failures — corruption/favoritism, hiring problems, grade manipulation, fiscal misprioritization, consolidation/board mismanagement, and routine communication/accountability breakdowns — than circle entries\"": \""Numerous reviews allege favoritism, cover‑ups, misallocated athletic funds, grade/record mishandling, and board/district mismanagement; this governance/ethics cluster is organizational and procedural in nature and does not overlap with program quality, student safety incidents, building/operational resource constraints, or the intra‑school instructional polarity captured by other buckets.\"",\n    \""square entries describe more pervasive student-safety, bullying, harassment, substance-use, and mental-health crises with weak or delayed remedies than circle entries\"": \""A large set of items report fights, gang/drug incidents, sexual and physical assaults, pervasive bullying and resulting depression/anxiety with ineffective responses—this is a climate/safety/mental‑health cluster separate from academic program listings, administrative governance failures, facilities/logistics issues, or uneven instructional pockets.\"",\n    \""square entries report more acute facility, operational, and resourcing problems (overcrowding, maintenance, scheduling, tech, budgets, and communication) than circle entries\"": \""Many raw terms document overcrowding, aging or renovated buildings, cafeteria logistics, technology rollout failure, short passing/lunch windows and budget/space constraints—this captures physical and operational resource problems specifically and is distinct from governance (who runs things), safety incidents (student behavior/health), programmatic strength, and instructional variability.\"",\n    \""square entries display a more polarized instructional experience than circle entries: distinct pockets of high‑intensity individualized support and advanced teaching alongside uneven classroom quality and neglect of average/struggling students\"": \""Numerous reviews describe both high‑end tracks (excellent AP/IB teachers, individualized attention) and simultaneously widespread poor instruction, teacher variability, and neglect of non‑honors students—this within‑school inequality pattern is about distribution of instructional quality and is meaningfully different from overall program availability, building/resources, safety/climate, or governance problems.\""\n}""]",,17.75923204421997,21402,832,1410,,[],['resp_0ade2b904092ef8c006a739cae7f4c81a2adc2e9c9f97ffef8'],True
vote|reduce4|8|0,"[""{\n    \""square entries report worse facilities, funding and capacity problems (overcrowding, aging or outdated buildings, large class sizes and resource cuts) than circle entries\"": \""Groups many concrete complaints about physical plant, crowding, maintenance, budgets and classroom size into a single resource/capacity bucket that is distinct from personnel, safety, curricular, or extracurricular themes.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""This groups all safety, bullying, substance‑use and hostile‑climate reports (including victim‑blaming and poor remedy) into a single behavioral/psychosocial‑safety bucket that is clearly separate from facility, curricular, admin‑process, or extracurricular topics.\"",\n    \""square entries document more administrative and organizational failures — poor communication, scheduling/transfer/attendance policy mishandling, retaliatory/unprofessional administration, and special‑education/IEP noncompliance — than circle entries\"": \""This captures governance, process and staff‑practice breakdowns (records, counseling, favoritism, noncompliance, turnover) into an operational/leadership bucket that is conceptually distinct from facilities, safety/climate, curricular quality, or extracurricular emphasis.\"",\n    \""square entries describe stronger and wider advanced-academic and programmatic offerings and measurable college-prep outcomes (AP/IB/dual-enrollment/STEM/vocational pathways and elite matriculation) than circle entries\"": \""This groups all evidence of formal academic breadth, advanced coursework, dual‑credit/CTE pathways and measurable postsecondary outcomes into a single academic‑programs bucket separate from safety, facilities, admin or extracurricular issues.\"",\n    \""square entries emphasize broader extracurricular/arts/athletics breadth and stronger community/booster support but also more athletic prioritization and favoritism than circle entries\"": \""This bundles evidence about program breadth, booster/community engagement, athletic prominence and athlete‑favoritism into one extracurricular/athletics bucket that is focused on outside‑of‑class offerings and social privileging, distinct from curricular rigor, safety/climate, facilities, or administrative process.\""\n}""]",,24.039692163467407,21976,1408,1866,,[],['resp_0c154e0c7ff75141006a739cae7d80819e993116319740663b'],True
vote|reduce4|2|0,"[""{\n    \""square entries report more acute facility, operational, and resourcing problems (overcrowding, maintenance, scheduling, tech, budgets, and communication) than circle entries\"": \""Covers the many raw items about overcrowded/aging buildings, sanitation, textbook/tech shortages, bus/ dismissal logistics and cafeteria/payment system failures — a physical/resourcing/operations cluster distinct from personnel governance, classroom program quality, or student behavior issues.\"",\n    \""square entries describe more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Groups the extensive reports of fights, daily drug/vape use, cyberbullying, hate symbols/racial slurs, sexualized harassment and mental‑health incidents (including alleged cover‑ups), which are about student conduct and safety climate rather than facilities, curricular offerings, or board‑level governance.\"",\n    \""square entries document substantially stronger and more extensive advanced academic programs, college‑preparatory pathways, and measurable alumni outcomes than circle entries\"": \""Aggregates all concrete claims of AP/IB/dual‑enrollment/CTE pathways, test scores, early‑college outcomes and alumni matriculation — a programmatic/academic‑opportunity cluster that is conceptually separate from operational, safety, or administrative/governance failures.\"",\n    \""square entries document more systemic administrative and governance failures — corruption/favoritism, hiring problems, grade manipulation, fiscal misprioritization, consolidation/board mismanagement, and routine communication/accountability breakdowns — than circle entries\"": \""Captures district‑ and board‑level critiques (transfer/tuition blocking for revenue, politicized hiring/board influence, budget mismanagement and deliberate resource skewing) that operate above school‑site dysfunction and are distinct from day‑to‑day admin or program descriptions.\"",\n    \""square entries document more administrative and organizational failures — poor communication, scheduling/transfer/attendance policy mishandling, retaliatory/unprofessional administration, and special‑education/IEP noncompliance — than circle entries\"": \""Groups school‑site administrative dysfunction (unresponsive counselors, scheduling and dismissal mismanagement, favoritism, staff misconduct toward families, and SPED/504 failures) which differs from governance‑level corruption, facility shortages, student safety/climate problems, and from descriptions of academic program strength.\""\n}""]",,27.588459968566895,21500,1792,2317,,[],['resp_0c18d5abb7595616006a739caf8f58819fa3e0767aec5ec07b'],True
vote|reduce4|23|0,"[""{\n    \""square entries document stronger, broader, and more concretely‑described advanced academic, AP/IB/dual‑enrollment, vocational/CTE, and college‑preparation pathways (and measurable postsecondary outcomes) than circle entries\"": \""Covers the many raw items that name concrete advanced programs, AP/IB/dual‑enrollment, STEM/CTE tracks and alumni/metric outcomes — positioned exclusively on academic-program strength and measurable postsecondary results, distinct from administration, safety, facilities, or extracurricular-focused buckets.\"",\n    \""square entries report worse facilities, funding and capacity problems (overcrowding, aging or outdated buildings, large class sizes and resource cuts) than circle entries\"": \""Groups all building/space/funding/capacity evidence (overcrowding, aging facilities, renovations, parking/traffic, budget shortfalls and cut programs) under a resource‑infrastructure bucket that is materially different from program quality, safety incidents, admin failures, or extracurricular emphasis.\"",\n    \""square entries document more administrative and organizational failures — poor communication, scheduling/transfer/attendance policy mishandling, retaliatory/unprofessional administration, and special‑education/IEP noncompliance — than circle entries\"": \""Captures the wide set of operational and governance‑level failures (lost paperwork, counseling failures, IEP/504 noncompliance, favoritism/retaliation, leadership turnover) as a single administrative/organizational theme that is separable from facilities, safety, academics, and extracurriculars.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Bundles all student‑safety and climate problems (fights, bullying, drugs, suicides, transphobia/racialized threats and poor mental‑health response) into a single safety/hostility climate bucket that is conceptually distinct from administrative operations, physical resources, curricular strength, or extracurricular priorities.\"",\n    \""square entries emphasize broader extracurricular/arts/athletics breadth and stronger community/booster support but also more athletic prioritization and favoritism than circle entries\"": \""Groups the many items about extensive clubs/arts/award‑winning teams, booster/parent engagement, and tensions where athletics or favoritism crowd out academics into one extracurricular/athletics‑culture bucket that is separate from academic-program strength, facilities, admin failures, and safety issues.\""\n}""]",,27.929962873458862,21270,1408,1946,,[],['resp_06ff7435a24e6ea3006a739cae8590819db46e26aa9c2ebef3'],True
vote|reduce4|5|0,"[""{\n    \""square entries describe more pervasive student-safety, bullying, harassment, substance-use, and mental-health crises with weak or delayed remedies than circle entries\"": \""This bucket groups the many reports of actual incidents and clinical-level harms (fights, drugs, self‑harm, homophobia/racism, sexual‑orientation hostility, mental‑health crises) together; it is distinct from administrative or facility problems because its focus is on the presence/severity of safety and student wellbeing incidents themselves rather than on who mismanaged them or physical/resource causes.\"",\n    \""square entries document more administrative and staff dysfunction — scheduling/counseling failures, recordkeeping errors, favoritism/corruption, staff misconduct, and leadership instability — than circle entries\"": \""This bucket captures reviews describing operational and personnel breakdowns (unreturned communications, botched registration/schedules, IEP noncompliance, favoritism/grade‑rigging, hostile or unstable principals) and is separate from safety incidents (which this bucket may note) because it centers on administrative/staff practices and governance rather than on frontline safety outcomes.\"",\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""This groups concrete physical and logistical deficits (overcrowded classes, dilapidated or newly renovated buildings, sanitation/pest complaints, cafeteria/transportation/parking issues, tech/material shortages) and is mutually exclusive from administrative dysfunction (which is about staff/organization) and from incident-driven safety or programmatic strength themes.\"",\n    \""square entries document substantially richer, named academic pathways and measurable college‑prep outcomes (AP/IB/dual enrollment/CTE, test scores, elite admits) than circle entries\"": \""This bucket collects the many concrete, programmatic academic strengths in square reviews (named academies, AP/IB/dual‑credit, CTE labs, scholarship/elite college outcomes and measurable test metrics) and is distinct from instructional or extracurricular buckets because it specifically denotes formal advanced pathways and documented postsecondary results rather than pedagogy, classroom variability, or extracurricular prominence.\"",\n    \""square entries emphasize broader extracurricular/arts/athletics breadth and stronger community/booster support but also more athletic prioritization and favoritism than circle entries\"": \""This groups evidence that square schools offer numerous, high‑profile extracurriculars and booster/alumni investment (marching band, athletics, theater, robust clubs) while also describing prioritization/favoritism toward athletes or booster‑backed groups; it differs from facility/resource or admin buckets by focusing on program breadth and social prioritization rather than physical conditions or administrative process failures.\""\n}""]",,29.77159333229065,21497,2048,2650,,[],['resp_0d5d5b4f36c5e8a2006a739cae6f2081a2b2e21e2743d9fc7b'],True
vote|reduce4|3|0,"[""{\n    \""square entries emphasize broader extracurricular/arts/athletics breadth and stronger community/booster support but also more athletic prioritization and favoritism than circle entries\"": \""Groups reviews that describe the school-wide program mix and community booster energy (large band/AP/CTE offerings, many clubs, visible stadium/athletics investment) and the specific pattern of athletics-first favoritism — this bucket is about programmatic emphasis and local booster dynamics, not about building condition, individual safety incidents, administrative breakdowns, or academic rigor/outcomes (which are captured by other buckets).\"",\n    \""square entries report worse facilities, funding and capacity problems (overcrowding, aging or outdated buildings, large class sizes and resource cuts) than circle entries\"": \""Captures concrete infrastructure/operational resource constraints (overcrowded classes, HVAC/maintenance/pest problems, renovations, space design and budget shortfalls) and is distinct from extracurricular prioritization, student-safety incidents, administrative/recordkeeping dysfunction, or descriptions of academic program strength/outcomes.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Aggregates evidence about student conduct and wellbeing (fights, drugs, sexual assault allegations, racist/homophobic harassment, eating‑disorder normalization and mental‑health harms) and focuses on safety/harassment patterns and their direct impacts on students rather than on facilities, extracurricular breadth, administrative paperwork/leadership failures, or advanced‑academics metrics.\"",\n    \""square entries document stronger, broader, and more concretely‑described advanced academic, AP/IB/dual‑enrollment, vocational/CTE, and college‑preparation pathways (and measurable postsecondary outcomes) than circle entries\"": \""Groups reviews that name and quantify advanced coursework and pathways (IB/AP/dual enrollment, STEM/CTE programs, scholarship and elite‑college matriculation evidence), i.e., the substantive academic-program strength and measurable outcomes — clearly separable from safety incidents, building/capacity problems, booster/athletics emphasis, or administrative/organizational breakdowns.\"",\n    \""square entries document more administrative and staff dysfunction — scheduling/counseling failures, recordkeeping errors, favoritism/corruption, staff misconduct, and leadership instability — than circle entries\"": \""Collects operational and personnel failures (lost transcripts, bungled transfers, unresponsive counselors/teachers, nepotism/favoritism, abusive or retaliatory administrators and turnover) and is focused on organizational/accountability breakdowns distinct from physical facility issues, student‑safety incidents, programmatic breadth, or advanced‑academic offerings/outcomes.\""\n}""]",,30.0554838180542,21896,1536,2138,,[],['resp_08e20983ae7884a0006a739cae871881a3b4c36095b8610ddf'],True
vote|reduce4|18|0,"[""{\n    \""square entries document more systemic administrative and governance failures — corruption/favoritism, hiring problems, grade manipulation, fiscal misprioritization, consolidation/board mismanagement, and routine communication/accountability breakdowns — than circle entries\"": \""Groups reviews that allege board‑/leadership‑level corruption, nepotism, fiscal misprioritization, cover‑ups and accountability breakdowns (e.g., preferential raises, alleged manipulation/protection of staff), and is kept distinct from facility, safety, extracurricular or academic program buckets because it concerns governance and policy decisions rather than physical conditions, student conduct, or curricular offerings.\"",\n    \""square entries emphasize broader extracurricular/arts/athletics breadth and stronger community/booster support but also more athletic prioritization and favoritism than circle entries\"": \""Captures comments praising extensive arts/athletics/JROTC/band programs, high parent/booster involvement and attendance, alongside complaints that athletics receive preferential treatment, and is exclusive from the academic‑pathway bucket because it treats non‑academic programming and community support (and associated favoritism) rather than curricular rigor or measurable college outcomes.\"",\n    \""square entries document substantially richer, named academic pathways and measurable college‑prep outcomes (AP/IB/dual enrollment/CTE, test scores, elite admits) than circle entries\"": \""Encompasses reviews that list concrete curricular pathways and outcomes—AP/IB/dual‑credit, CTE/tracks, high ACT/SAT/college matriculations and scholarships—and is distinct from governance, facilities, extracurricular, and safety buckets because it specifically addresses course offerings, credentialing and postsecondary results.\"",\n    \""square entries report more facility, capacity, and resource‑allocation problems (overcrowding, aging/renovated buildings, traffic/parking, budget cuts and skewed funding priorities) than circle entries\"": \""Groups evidence about physical plant, overcrowding, maintenance, sanitation, scheduling/capacity constraints and budget‑driven program cuts (e.g., asbestos, portables, locked bathrooms, cancelled trips), and is kept separate from governance (decision‑level wrongdoing), safety (student conduct), extracurricular (program breadth/favoritism) and academics (curriculum/outcomes) because it targets infrastructure and resource availability.\"",\n    \""square entries report more frequent and severe student-safety and behavior incidents (fights, gangs, drugs, bullying) and systematic failures to address them than circle entries\"": \""Aggregates reports of violent/unsafe student behavior, substance use, sexualized conduct, targeted harassment (including racial/LGBTQ hostility) and repeated administrative nonresponse or ineffective remediation, and is exclusive from the governance bucket because it focuses on frontline safety and discipline incidents and responses rather than board‑level corruption or fiscal policy.\""\n}""]",,30.45978307723999,21276,2112,2722,,[],['resp_037fb17ab944c171006a739cae82b48192afbdb40d2fc3ae24'],True
vote|reduce4|24|0,"[""{\n    \""square entries emphasize broader extracurricular/arts/athletics breadth and stronger community/booster support but also more athletic prioritization and favoritism than circle entries\"": \""Groups numerous raw terms that report abundant, named extracurriculars, booster/community support and explicit athlete favoritism (e.g., jock culture, boosters, varsity focus), and is distinct from academic-program strength, safety climate, administrative process failures, or physical facilities because it describes program prominence and social privileging rather than governance, outcomes, safety incidents, or infrastructure.\"",\n    \""square entries describe stronger and wider advanced-academic and programmatic offerings and measurable college-prep outcomes (AP/IB/dual-enrollment/STEM/vocational pathways and elite matriculation) than circle entries\"": \""Captures the cluster of claims about concrete advanced/AP/IB/CTE/dual-enrollment pathways and alumni/college metrics (including elite admits and scholarships), and is mutually exclusive from extracurricular prominence (which is about non‑academic programs), safety/climate issues, admin/process dysfunction, or building/funding problems.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Groups descriptions of fights, bullying, drug use, identity-based hostility and associated mental‑health/unsafe‑climate reports (including failures or delays in remedy), which are about student conduct and wellbeing rather than program breadth, curricular strength, administrative logistics, or physical facilities.\"",\n    \""square entries document more administrative and organizational failures — poor communication, scheduling/transfer/attendance policy mishandling, retaliatory/unprofessional administration, and special‑education/IEP noncompliance — than circle entries\"": \""Aggregates evidence about governance and process breakdowns (e.g., missed scholarship deadlines, transfer/placement errors, IEP noncompliance, front‑office rudeness), which is organizational/policy dysfunction distinct from safety incidents, program offerings, or facility/resource shortfalls.\"",\n    \""square entries report worse facilities, funding and capacity problems (overcrowding, aging or outdated buildings, large class sizes and resource cuts) than circle entries\"": \""Encompasses the many concrete infrastructure and resourcing complaints (overcrowding, old/damaged buildings, closed bathrooms, tech/material shortages, skewed funding toward athletics), which concern physical capacity and budgets and are separable from program content, safety climate, or administrative/process failure.\""\n}""]",,30.768826007843018,21654,1728,2245,,[],['resp_0100f43a19f0f5c4006a739cae9ba881a1a8d9ffd46e4eb9f6'],True
vote|reduce4|0|0,"[""{\n    \""square entries emphasize athletics/extracurricular prominence and institutional prioritization of sports (sometimes at the expense of academics) more than circle entries\"": \""Groups together numerous reviews that single out sports/booster dominance, athlete favoritism, spectator misconduct at games, and athletics-driven resource/prioritization choices — a program‑culture feature distinct from facility, safety, admin or classroom‑quality issues in the other buckets.\"",\n    \""square entries report more acute facility, operational and resourcing constraints (overcrowding, infrastructure problems, scheduling, technology and material shortages, sanitation and cafeteria concerns) than circle entries\"": \""Captures the concrete building-, capacity- and operations‑level evidence (overcrowded classes/portables, HVAC/mold/cleanliness, lunch/cafeteria complaints, tech rollouts, scheduling/locker shortages) that is about physical resources and logistics rather than leadership misconduct, student safety incidents, program breadth, or instructional variability.\"",\n    \""square entries document more systemic administrative and governance failures — corruption/favoritism, hiring problems, grade manipulation, fiscal misprioritization, consolidation/board mismanagement, and routine communication/accountability breakdowns — than circle entries\"": \""Groups reviewer claims about corrupt or biased decision‑making, favoritism/nepotism, grade/recognition manipulation, district/board mismanagement and persistent nonresponsive leadership — organizational‑level governance problems that are conceptually separate from physical facilities, student safety events, program offerings, or classroom heterogeneity.\"",\n    \""square entries describe more pervasive student-safety, bullying, harassment, substance-use, and mental-health crises with weak or delayed remedies than circle entries\"": \""Collects all accounts of fights, gang activity, bullying/harassment (including race/sexuality‑based), substance use, threats and mental‑health harms — together with descriptions of ineffective or punitive responses — which are about safety and wellbeing rather than curricular breadth, facilities, admin corruption, or differential instruction.\"",\n    \""square entries display a more polarized instructional experience than circle entries: distinct pockets of high‑intensity individualized support and advanced teaching alongside uneven classroom quality and neglect of average/struggling students\"": \""Groups evidence of stark within‑school academic stratification — strong AP/IB/CTE teachers and named successes coexisting with poor instruction, guidance failures, tracking/exclusion of students — a pattern about instructional inequality and differential student pathways distinct from program quantity, facility constraints, admin governance or safety crises.\""\n}""]",,30.773005962371826,21439,1152,1715,,[],['resp_08941012a769664e006a739caead308191bb69ee3d99dfcbfe'],True
vote|reduce4|6|0,"[""{\n    \""square entries document stronger, broader, and more concretely‑described advanced academic, AP/IB/dual‑enrollment, vocational/CTE, and college‑preparation pathways (and measurable postsecondary outcomes) than circle entries\"": \""Groups all reviews that name curricular rigor, AP/IB/dual‑enrollment/CTE offerings and measurable college outcomes (scholarships, elite admits, college credits) as a defining feature of square schools; this is distinct from extracurricular/athletic emphasis (bucket 5), facility/resource constraints (bucket 2), safety/behavior problems (bucket 3) and operational/admin failures (bucket 4) because it concerns formal instructional pathways and postsecondary outcomes rather than non‑academic programs, building conditions, discipline, or management.\"",\n    \""square entries report worse facilities, funding and capacity problems (overcrowding, aging or outdated buildings, large class sizes and resource cuts) than circle entries\"": \""Captures the thread of concrete physical, budgetary and space constraints (overcrowding, outdated buildings, program cuts, sanitation, bus issues) that are about material capacity and funding; this is mutually exclusive from academic-program strength (bucket 1), safety/behavior crises (bucket 3), admin/organizational dysfunction (bucket 4) and extracurricular prioritization (bucket 5), which describe different operational or cultural phenomena rather than infrastructure and resourcing.\"",\n    \""square entries report more pervasive student-safety, bullying, harassment, substance‑use and racial/sexual‑orientation hostility — often paired with ineffective administrative responses — than circle entries\"": \""Groups reviews documenting threats to student safety and wellbeing (fights, drugs, sexual assault, bullying, targeted racism/harassment) and the school’s weak or delayed remedial action; this safety/climate theme is distinct from facility/funding issues (bucket 2), curricular/program strength (bucket 1), admin paperwork/scheduling/IEP failures (bucket 4) and extracurricular prominence/favoritism (bucket 5) because it centers on student conduct and protective responses rather than material, curricular, governance or program priorities.\"",\n    \""square entries document more administrative and organizational failures — poor communication, scheduling/transfer/attendance policy mishandling, retaliatory/unprofessional administration, and special‑education/IEP noncompliance — than circle entries\"": \""Collects reviews describing operational leadership breakdowns (front office errors, counselor overload, scheduling and records problems, IEP noncompliance, opaque discipline and admissions dysfunction); this governance/operational category is separate from safety/climate (bucket 3), facility/resource deficits (bucket 2), curricular/program strength (bucket 1) and extracurricular/sports emphasis (bucket 5) because it addresses management, processes and compliance rather than physical conditions, student behavior, or program content.\"",\n    \""square entries emphasize broader extracurricular/arts/athletics breadth and stronger community/booster support but also more athletic prioritization and favoritism than circle entries\"": \""Groups the many statements about rich arts/club/sports offerings, booster/community involvement, and recurring complaints that athletics (or favored activities/groups) receive disproportionate resources or favoritism; this program‑and‑culture bucket is distinct from curricular college‑prep offerings (bucket 1), material/funding constraints (bucket 2), student safety/discipline crises (bucket 3) and administrative/organizational failures (bucket 4) because it concerns extracurricular breadth and the institutional prioritization/favoritism dynamics rather than curricular rigor, facilities, safety, or governance processes.\""\n}""]",,31.28701114654541,21714,1728,2459,,[],['resp_0a24e7ef08b73a2f006a739cae7994819cb7e5316e40a88b94'],True
