Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|final5|13|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This bucket captures a distinct pattern—numerous circle reviews describe legacy alumni networks, high parent/booster involvement, cohesive small‑town identity and celebrated extracurricular pillars (band, arts, FFA, vocational clubs) that are about community ties and program identity rather than the administrative governance, safety, academic-program, or day‑to‑day operational failures already covered by the other selected buckets, so it is mutually exclusive from those themes.\""\n}""]",,5.929019212722778,21215,192,378,,[],['resp_07b15a08dcd10668006a74d6164d6081919868d09d83786c34'],True
vote|final5|1|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This bucket is distinct from the four locked‑in buckets because it captures relational and identity signals—active parent/alumni mobilization, booster/volunteer involvement, celebrated local extracurricular traditions (band, sports, FFA, student‑led clubs) and small‑town continuity—which are community/program‑identity phenomena rather than governance/process failures, safety/discipline breakdowns, advanced academic/CTE program availability, or day‑to‑day operational support issues.\""\n}""]",,6.310516119003296,21630,192,395,,[],['resp_047be46f28692480006a74d61641ec81a2bbbcf8e321197f3b'],True
vote|final5|14|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This groups reviews that describe active parent/PTA/alumni involvement, multigenerational ties, vibrant school traditions and specific extracurricular culture (marching band, theatre, FFA, unique clubs, student leadership and game‑day spirit) — a community-driven programmatic identity that is conceptually distinct from the already-selected buckets (which cover governance/policy failures, safety/discipline problems, formal academic/CTE/college-program strength, and day‑to‑day operational/facility support issues).\""\n}""]",,7.131209135055542,20861,256,434,,[],['resp_0243dbdb93bd60aa006a74d6164edc81929ad77f99ba9c71c5'],True
vote|final5|23|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This bucket captures circle reviews' emphasis on social capital and co-curricular identity—e.g., multigenerational alumni ties, active PTSA/parent mobilization, strong marching‑band/arts/FFA traditions and locally celebrated clubs—which is conceptually distinct from the already selected buckets because it describes community/engagement and extracurricular culture (who supports the school and which traditions energize it), not governance/policy breakdowns, student safety/discipline, formal advanced‑academic/CTE program metrics, or facility/operational service failures.\""\n}""]",,8.254209756851196,21491,320,545,,[],['resp_08234fbed0631cb4006a74d61646988192b345dbe8f446d85c'],True
vote|final5|7|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This bucket groups reviews that emphasize external/community cultural capital—active parents, proud alumni ties, strong local traditions and widely‑attended arts/athletics/clubs—which is conceptually distinct from the already selected buckets (administrative/governance failures, safety/discipline breakdowns, advanced academic program strength, and operational/facility/day‑to‑day service failures) because it describes community involvement and school identity rather than procedural dysfunction, safety incidents, curricular/credential offerings, or operational service problems.\""\n}""]",,8.648778915405273,21234,256,458,,[],['resp_08090c9dc9bba757006a74d616354c819fbff5f5c9c0d9d826'],True
vote|final5|4|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""Groups reviews that specifically praise entrenched family/alumni involvement, volunteer-led or award-winning extracurriculars, small‑town cohesion and visible community traditions—concrete community/extra‑curricular assets that are about local engagement and identity and are conceptually distinct from the already captured buckets (administrative/governance dysfunction, safety/discipline failures, academic/CTE program strength, and day‑to‑day operational/facility support issues).\""\n}""]",,8.648898124694824,20851,320,521,,[],['resp_025c1beaa95250d7006a74d616508081a39d1e2cbab0034c0a'],True
vote|final5|20|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This bucket specifically captures community social capital and locally rooted extracurricular identity—alumni/parent pride, volunteer-run arts/band, tight small‑town continuity and civic support for school programs—which is a distinct theme about external/community engagement and program culture and does not overlap with the already‑selected buckets that focus respectively on internal governance failures, safety/discipline breakdowns, formal academic/CTE program metrics, or concrete operational/facility/service problems.\""\n}""]",,8.65900707244873,20924,320,471,,[],['resp_049343c10a7854a1006a74d6165310819297e07c1bdfb44b1d'],True
vote|final5|6|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This bucket groups circle reviews that repeatedly describe strong local social capital—multigenerational family ties, active parent and alumni involvement, highly visible arts/athletics/CTE identity and volunteerism—which is about community-driven extracurricular identity and engagement and is conceptually distinct from the four existing buckets that address governance/process failures, safety/discipline problems, formal academic program breadth/outcomes, and day‑to‑day operational/facility support issues.\""\n}""]",,8.66612696647644,21384,448,616,,[],['resp_0f4ab56036ee0540006a74d6163c0c81a3a216fa2c5ac64260'],True
vote|final5|24|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This bucket groups reviews describing concrete community-driven strengths — active parent/alumni fundraising and mobilization, small‑town continuity, long‑running band/theater/FFA/CTE traditions, shuttle/college partnerships and frequent volunteer-run events — a pattern about social capital and extracurricular identity that is distinct from the other finalized buckets (which cover administrative/governance failures, safety/discipline breakdowns, institutional academic/programmatic rigor/outcomes, or day‑to‑day operational/facility service failures).\""\n}""]",,8.963106155395508,21241,448,631,,[],['resp_020a67932d18b5c4006a74d6164c5c81a0bb269af8174dedc6'],True
vote|final5|12|0,"[""{\n    \""circle entries report stronger community/parental/alumni engagement and richer localized extracurricular identity (small-town family continuity, active parent/alumni mobilization, celebrated band/arts/FFA/vocational programs and student-driven clubs) than square entries\"": \""This bucket captures circle reviews that emphasize external social capital and school identity—multi‑generational attendance, booster/parent activism, alumni mobilization, and a rich roster of locally celebrated extracurriculars (band, FFA, arts, clubs)—which is conceptually distinct from the already-selected buckets because it describes community/programmatic engagement and cultural identity rather than internal governance failures, safety/discipline breakdowns, academic program metrics, or day‑to‑day operational/facility service issues.\""\n}""]",,9.230882167816162,21232,384,541,,[],['resp_03dc08815747de3a006a74d61636a0819e9c56a806dc20fc07'],True
