label,actual_true,inverted_true,total,actual_pct,inverted_pct,net_pct
"circle entries depict stronger individualized teacher engagement, small‑school/family‑like community ties, named supportive staff, and active parental volunteerism more than square entries",1297.0,1269.0,2801,46.30489111031774,45.3052481256694,0.9996429846483399
"circle entries report more operational, facility, scheduling, funding and process failures (lost records, overcrowding, transportation, food, tech, gradebook and parent‑communication breakdowns) than square entries",710.0,1022.0,2821,25.168380007089684,36.22828784119107,-11.059907834101383
"circle entries allege more administrative mismanagement, favoritism/nepotism, corruption, inconsistent enforcement, and lack of accountability than square entries",1062.0,1252.0,2825,37.5929203539823,44.31858407079646,-6.725663716814159
"circle entries report stronger, concrete academic rigor, advanced-course pathways, STEM/technical offerings, and documented college‑prep outcomes (AP/IB, scholarships, counselors) than square entries",802.0,1244.0,2838,28.259337561663145,43.83368569415081,-15.574348132487668
"circle entries report more frequent and severe student-safety and misconduct incidents (bullying, fights, drugs, assaults) with visible adult non‑intervention than square entries",688.0,952.0,2800,24.571428571428573,34.0,-9.428571428571429
"square entries describe a far wider and deeper set of specialized academic pathways and extracurricular offerings (IB/AP/magnets/dual‑enrollment, vocational tracks, award‑winning arts and nationally ranked teams) than circle entries",1131.0,601.0,2806,40.30648610121169,21.4183891660727,18.88809693513899
"square entries describe a broader and more numerous set of academic and extracurricular programs and structured pathways (AP/IB/honors, vocational CTE, arts, ROTC, magnet/choice, dual‑enrollment) than circle entries",1221.0,685.0,2810,43.45195729537367,24.377224199288257,19.07473309608541
"square entries report more frequent and severe student safety, behavior, and substance incidents (bullying, fights, drugs, sexual misconduct, gangs, lockdowns) than circle entries",1046.0,772.0,2810,37.22419928825623,27.473309608540927,9.750889679715302
"square entries report more chronic resource, staffing, and facility constraints (overcrowding, teacher shortages/uncertified staff, outdated materials, pests, food/service shortfalls) that impair instruction than circle entries",825.0,609.0,2783,29.64426877470356,21.882860222781172,7.761408551922386
"square entries report more concrete facility, capacity, and operational problems (overcrowding, construction/lunch/transport logistics, HVAC, outdated resources) than circle entries",762.0,496.0,2822,27.002126151665486,17.576187101346562,9.425939050318922
