Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
vote|reduce2|8|1,"[""{\n    \""square entries report more frequent and severe student safety, bullying, substance‑use, physical‑violence, and sexual‑misconduct incidents and failures to address them than circle entries\"": \""Groups the many raw terms describing fights, daily bullying, drugs/vaping, sexual misconduct, bomb threats, gang activity and related victim trauma under one clear safety/peer‑climate cluster; this is distinct from facility/resource, administrative governance, academic-program, and special‑education buckets because it focuses on student behavior, victimization, and incident response rather than infrastructure, policy, program offerings, or individualized services.\"",\n    \""square entries document more administrative governance problems, recordkeeping errors, opaque/defensive leadership, favoritism or unethical conduct, and punitive/image‑first priorities than circle entries\"": \""Captures reviewers' reports of nontransparent leadership, favoritism/nepotism, punitive discipline, mishandled records/credits, and fiscal/priority choices as a single governance/administration theme; it is separate from safety (which centers on student incidents), facilities (physical/logistical issues), academic programs (course offerings and outcomes), and special‑education/counseling (IEP/504 and therapeutic supports).\"",\n    \""square entries report more facility, capacity, and operational resource problems (overcrowding, pests, food, Wi‑Fi, transportation, materials) than circle entries\"": \""Groups the concrete, physical‑plant and operational complaints—overcrowding, sanitation/pest issues, HVAC/cleanliness, parking/bus problems, cafeteria/food, and tech/Wi‑Fi shortages—into a single infrastructure/logistics bucket that is not about governance decisions, student behavior, curricular offerings, or individualized special‑education/counseling services.\"",\n    \""square entries document more organized advanced academic and vocational programs (AP/IB/CTE/academies) and measurable college/career outcomes than circle entries\"": \""Collects all mentions of formal advanced‑academics, selective STEM/magnet tracks, CTE/vocational pathways, AP/IB/dual‑enrollment breadth, and concrete college placements/credit outcomes into one program‑strength bucket; this is intentionally distinct from instructional/staff variability or governance problems because it describes explicit course/program offerings and measurable postsecondary results.\"",\n    \""square entries mention both concrete special‑education/therapeutic on‑campus services and documented IEP/504 noncompliance or mistreatment more than circle entries\"": \""Groups all evidence around special‑education and counseling—both positive, named supports and explicit failures/IEP/504 denials, overloaded counselors, and mental‑health gaps—into a focused student‑support services bucket that is separate from general administration/favoritism, physical facilities, student‑safety incidents, or advanced academic program descriptions.\""\n}""]",,25.327739000320435,22626,1408,2011,,[],['resp_00a3b439a73011dd006a74d714c19881929802ad7f8262326d'],True
vote|reduce2|19|0,"[""{\n    \""square entries report more frequent, severe, and documented student‑safety and behavioral problems and failures to address them (bullying, fights, drugs, racist incidents, sexual assault, suicides) than circle entries\"": \""This bucket groups all concrete reports of student-on-student harm, substance/weapon incidents, and harassment (and the school's failure to protect victims) — distinct from governance/funding or pedagogy because it captures on-campus safety events and victimization rather than program offerings, facilities, or instructional quality.\"",\n    \""square entries document a substantially broader, named portfolio of advanced academic programs and high‑level extracurricular/competitive success and elite college outcomes than circle entries\"": \""This bucket captures concrete programmatic breadth and measurable postsecondary outcomes (AP/IB/dual enrollment, magnet/CTE tracks, award‑winning arts/athletics and elite college placements) and is kept separate from 'instructional quality' or 'resources' because it describes which formal programs and outcomes exist rather than how well day‑to‑day instruction or operations function.\"",\n    \""square entries report more administrative and governance dysfunction, unresponsiveness, and budget/policy misprioritization than circle entries\"": \""This bucket groups complaints about leadership, board/district politics, favoritism/nepotism, misallocated budgets or priorities, and punitive/opaque policy decisions — distinct from facility/operational breakages or isolated safety incidents because it focuses on governance, decision‑making and responsiveness at the administrative level.\"",\n    \""square entries report more concrete facility, capacity, funding and operational-management problems (maintenance, overcrowding/trailers, scheduling/logistics, fragmented digital platforms, fees/budget pressure) than circle entries\"": \""This bucket groups physical plant, overcrowding, scheduling/transportation/tech and resourcing shortfalls and fee/fundraising pressures — separate from governance (decision‑making) and safety (behavioral incidents) because it captures tangible infrastructure/logistics constraints that impede daily functioning.\"",\n    \""square entries report more inconsistent or failing student support and instructional delivery (teacher variability, counselor/IEP failures, turnover, grading/organization problems, and mental‑health neglect) than circle entries\"": \""This bucket collects evidence about how instruction and student supports are delivered (wide swings in teacher quality, IEP/504 breakdowns, counselor access, grading inconsistency and tutoring failures) and is kept distinct from 'program availability' (what exists) and 'administration/facilities' (who runs things and where) because it centers on the quality, equity and reliability of classroom-level and support services.\""\n}""]",,26.162376880645752,27600,1344,1931,,[],['resp_0e7d5c5aa66aded3006a74d714f400819fae73bdf13f2bdc5e'],True
vote|reduce2|18|0,"[""{\n    \""square entries report more administrative mismanagement, turnover, unresponsiveness, and fiscal/governance complaints than circle entries\"": \""Groups many reviewer claims about leadership instability, budgeting/board distrust, record‑keeping errors, punitive/opaque policies, and unresponsive office/staff into a single governance bucket that is distinct from safety incidents, physical‑plant problems, program offerings, or instructional variability.\"",\n    \""square entries report more frequent and more severe student-safety and misconduct problems (bullying, drugs, assaults, weapons) and weaker interventions than circle entries\"": \""Captures the concrete, recurring accounts of fights, gangs, drug/sex incidents, severe bullying, and claims that victims are punished or left unprotected — a distinct phenomenon focused on on‑campus harm and disciplinary failure rather than governance, facilities, program breadth, or teacher variability.\"",\n    \""square entries report more chronic facility, overcrowding and material‑resource shortages than circle entries\"": \""Groups reports about overcrowded classrooms, portables, HVAC/temperature/pest issues, cafeteria/food/transportation logistics, and material underfunding into a physical‑infrastructure/resource bucket that is separate from governance decisions, safety events, curricular offerings, or inconsistent instruction/support.\"",\n    \""square entries report stronger advanced/specialized academic programs and better measurable college/career outcomes than circle entries\"": \""Collects the concrete programmatic evidence (AP/IB/dual‑credit/CTE/magnet offerings, named partnerships, AP scores, scholarships, elite admits) into a program‑strength/outcomes bucket that is about what the school offers and produces, not about how well individual teachers teach or how administration behaves.\"",\n    \""square entries show greater variability and polarization in academic rigor, workload, and student support (including special‑education outcomes, counseling, and uneven teacher quality) than circle entries\"": \""Captures the repeated pattern of wide swings — excellent caring teachers and remediation programs alongside apathetic teachers, IEP/504 failures, counseling cuts, and stratified honors-vs‑on‑level experiences — a consistency/quality-of‑support bucket that is conceptually separate from governance, safety, facilities, or program availability.\""\n}""]",,26.16253900527954,27730,1408,1904,,[],['resp_024b015835abd350006a74d714ecd0819e83fa1f09ce5f52ba'],True
vote|reduce2|24|1,"[""{\n    \""square entries report more administrative and governance failures, opaque or punitive policies, and mismanagement than circle entries\"": \""Groups the many raw terms about board/district blame, retaliation, nepotism/favoritism, politicized leadership, and punitive policy choices — a governance-level pattern distinct from day-to-day operational glitches, physical facility conditions, safety incidents, or academic-program strength.\"",\n    \""square entries report more administrative operational failures and poor responsiveness (scheduling/counselor mismanagement, enrollment/remote‑learning barriers, fees, recordkeeping and communication breakdowns) than circle entries\"": \""Captures concrete, operational breakdowns (counselor gatekeeping, scheduling/registration errors, missed tutoring, broken communication systems and fee/transcript problems) that are about execution and service delivery rather than high‑level governance, physical infrastructure, safety/climate, or curricular offerings.\"",\n    \""square entries report more frequent and severe student safety problems (bullying, fights, weapons, drugs) and weaker victim support than circle entries\"": \""Aggregates the extensive safety- and climate-related reports (daily fights, gang/drug activity, racist/homophobic harassment, suicidal harassment and ineffective victim response) that are about student conduct and protection rather than administrative policy, facility condition, operational logistics, or advanced-program availability.\"",\n    \""square entries describe stronger advanced-academic offerings and measurable college-preparation outcomes than circle entries\"": \""Collects the numerous concrete programmatic strengths and outcomes (AP/IB/dual-credit, college acceptances, measurable AP/dual enrollment growth, CTE/career pathways) into a single academic-program bucket that is clearly separate from governance, operations, safety, or facility concerns.\"",\n    \""square entries report worse physical capacity and maintenance problems (overcrowding, sanitation, aging infrastructure) than circle entries\"": \""Groups the many facility and capacity items (overcrowding, trailers, broken bathrooms, HVAC/asbestos/rusty water, cafeteria/transportation logistics) that concern built environment and resources, which are materially distinct from governance choices, administrative service failures, safety/climate incidents, or curricular/programmatic strength.\""\n}""]",,27.60968804359436,22994,1472,1964,,[],['resp_0749edc86d5e8839006a74d714ee00819da2eaaf31b4dbf986'],True
vote|reduce2|23|0,"[""{\n    \""square entries report worse physical plant, capacity, and logistics problems than circle entries\"": \""This bucket groups the many concrete facility and logistic issues (overcrowding, HVAC/AC failures, sanitation, trailers, bus/traffic shortages, scheduling logistics) that are about the school's physical infrastructure and day‑to‑day capacity — distinct from personnel conduct, pedagogy, or curricular offerings.\"",\n    \""square entries report more administrative mismanagement, inconsistent enforcement, favoritism, and recordkeeping or policy failures than circle entries\"": \""This bucket captures governance and operational breakdowns (unresponsive offices, favoritism/nepotism, enrollment/scheduling/records errors, punitive/arbitrary discipline policies and policy misprioritization) and is separate from physical infrastructure, classroom instruction, student safety incidents, or program availability.\"",\n    \""square entries document more concrete advanced academic programs, formal college-prep pathways, and measurable student outcomes (AP/IB/dual-credit, career-technical offerings, test scores, college placements) than circle entries\"": \""This bucket groups specific programmatic strengths and measurable academic pathways (AP/IB/dual enrollment, academies, STEM/CTE tracks, weighted GPA/college credits and college-placement evidence) and is intentionally about available offerings and outcomes rather than teacher quality, admin behavior, or campus safety.\"",\n    \""square entries report more frequent and severe student safety, bullying, substance‑use, physical‑violence, and sexual‑misconduct incidents and failures to address them than circle entries\"": \""This bucket gathers the concrete reports of peer misconduct and safety crises (bullying, fights, gang/drug activity, sexual harassment/assault, lockdowns) along with alleged administrative failure to protect victims — a distinct topic focused on student safety and incident response, not on physical plant, academic programs, or instruction.\"",\n    \""square entries show greater variability and polarization in academic rigor, workload, and student support (including special‑education outcomes, counseling, and uneven teacher quality) than circle entries\"": \""This bucket covers within‑school differences and inconsistent instructional/support practices (polarized AP vs. weak regular classes, heavy homework, spotty teacher competence, mixed IEP/504 and counseling performance) and is distinct from overall program availability, administrative governance, facility issues, or the frequency of safety incidents.\""\n}""]",,28.856302738189697,27648,1536,2016,,[],['resp_08ec3fe80483e7a4006a74d715739081a281c015ba66c328d1'],True
vote|reduce2|4|1,"[""{\n    \""square entries report more concrete advanced academic programs and measurable college-prep outcomes than circle entries\"": \""Many square reviews list named AP/IB/dual‑enrollment/magnet/CTE pathways, explicit college acceptances and scholarship outcomes — this bucket captures concrete program availability and measurable postsecondary results, which is distinct from operational, safety, staffing, or facility topics in the other buckets.\"",\n    \""square entries report more pervasive student-safety problems and ineffective/uneven anti-bullying responses than circle entries\"": \""A large cluster of square items describe fights, bullying, sexual assault, drugs, teen pregnancy and administrators failing victims or inconsistently enforcing discipline — this safety/incident-response theme is about student conduct and crisis response and is separate from governance/process, special‑education supports, facilities, or programmatic strengths.\"",\n    \""square entries report more administrative and staffing governance failures (turnover, unresponsiveness, grade manipulation, favoritism) than circle entries\"": \""Numerous square reviews allege nepotism, favoritism, grade/graduation manipulation, leadership turnover and politicized personnel behavior; this governance/favoritism cluster focuses on who runs the school and how decisions are made, distinct from scheduling/recordkeeping operational breakdowns or from failures of student support services.\"",\n    \""square entries report more concrete facilities, capacity, and resource-allocation problems (overcrowding, trailers, disrepair, environmental hazards) and contested capital priorities than circle entries\"": \""Many square items document overcrowding, modular classrooms, aging buildings, cleanliness/cafeteria/parking problems and contested spending choices (e.g., athletics vs academics) — this bucket groups physical capacity and resource allocation issues separately from administrative/process failures, program offerings, student safety, or student‑support services.\"",\n    \""square entries report failures (and sometimes targeted inequities) in student supports and accommodations—special education, counseling, mental‑health services, and equitable access—than circle entries\"": \""A distinct set of square reviews detail 504/IEP mishandling, inconsistent SPED/inclusion, poor counseling/advising, and denial of accommodations or discriminatory targeting; this student‑support/accommodations cluster is focused on services for vulnerable students and is not captured by the facility, governance, safety, or academic-program buckets.\""\n}""]",,29.056432008743286,23338,1856,2359,,[],['resp_02fdf8ab354c6fc9006a74d714af7881a283e6e3f7c9c392c5'],True
vote|reduce2|7|0,"[""{\n    \""square entries report more frequent and severe student-safety, bullying, drug, and violent-incident problems than circle entries\"": \""This bucket groups all concrete reports of on‑campus harm and misbehavior (fights, assaults, sexual harassment, overdoses, pervasive bullying, gang/drug presence) and is distinct from other buckets because it focuses on student conduct and incident frequency/severity rather than who runs the school, its programs, or building conditions.\"",\n    \""square entries report more operational and facility problems (overcrowding, severe maintenance and cleanliness failures, poor food/bus/parking logistics, missing materials) than circle entries\"": \""This bucket captures day‑to‑day physical and logistical failures (broken bathrooms, vermin, overcrowded lunches, bus/parking shortages, poor Wi‑Fi) and is mutually exclusive from the safety bucket (incident reports) and from programmatic/academic or governance faults because it is solely about infrastructure and operational logistics.\"",\n    \""square entries document stronger and more numerous formal advanced/college-prep programs and measurable postsecondary outcomes than circle entries\"": \""This bucket collects concrete programmatic offerings and outcomes (AP/IB/dual‑enrollment/CTE/academies, measurable college matriculation and credits) and is separate from instructional quality or staffing variability because it denotes available pathways, partnerships, and measured postsecondary results rather than how consistently classes are taught or how administrators behave.\"",\n    \""square entries show greater variability and polarization in academic rigor, workload, and student support (including special‑education outcomes, counseling, and uneven teacher quality) than circle entries\"": \""This bucket groups classroom‑level and student‑support patterns—wide swings from highly supportive one‑on‑one help and strong AP rigor to poor teaching, heavy/lenient grading, IEP/504 mishandling, and counseling failures—and is distinct from the advanced-program bucket because it concerns delivery, equity, and support consistency rather than the mere presence of programs.\"",\n    \""square entries report more administrative and governance dysfunction (coverups, nepotism/favoritism, politicized hiring/finance, leadership turnover or removal calls, and misaligned priorities) than circle entries\"": \""This bucket aggregates governance and personnel issues (favoritism toward athletes, board capture, secrecy, politicized staffing, misallocated funds and unresponsiveness) and is kept separate from safety, facilities, program availability, or classroom delivery because it targets decision‑making, accountability, and policy/recordkeeping failures at the administrative/district level.\""\n}""]",,29.557360887527466,27500,1856,2392,,[],['resp_0bf5f2662e2450e7006a74d714ea5c819dbc01f08d8dc5a2ff'],True
vote|reduce2|2|0,"[""{\n    \""square entries report more concrete facility, capacity, scheduling and operational conditions (overcrowding, building condition/renovation details, scheduling/timetabling and service logistics) than circle entries\"": \""Groups all raw items about physical plant, overcrowding, lunch/locker/scheduling logistics, renovation or HVAC/cleanliness details and registration/records breakdowns — a distinct operational/facilities cluster that does not overlap with program offerings, safety incidents, extracurricular breadth or governance/misconduct themes.\"",\n    \""Square entries report stronger advanced / college‑prep and specialized program offerings and measurable postsecondary outcomes than circle entries\"": \""Captures every concrete mention of AP/IB/dual‑enrollment, magnet/academy/CTE tracks, internships, elite college matriculation and measurable outcomes — a programmatic/academic‑pathways cluster that is separate from facilities, extracurricular achievements, safety/crisis reports, and administrative behavior.\"",\n    \""square entries report more administrative and staff unresponsiveness, arbitrariness, favoritism, and misconduct than circle entries\"": \""Groups complaints about bureaucratic/unresponsive offices, favoritism/nepotism, punitive or arbitrary discipline, mishandled hearings, and governance scandals — an admin/staff‑behavior and accountability theme distinct from facility problems, student safety incidents, curricular offerings, or extracurricular success.\"",\n    \""square entries report more frequent and severe student safety, bullying, substance‑use, and violent‑incident problems (and related victimization) than circle entries\"": \""Collects the many explicit reports of bullying, racialized harassment, fights/stabbings/shootings, drug availability and victim‑punishing disciplinary policies — a safety/peer‑climate cluster that is conceptually separate from administrative dysfunction, program inventories, facilities logistics, or extracurricular catalogs.\"",\n    \""square entries report broader, more numerous, and higher‑level extracurricular/arts/athletics programs and competitive achievements than circle entries\"": \""Groups detailed accounts of marching band, state championships, award‑winning arts, JROTC/JNROTC, booster/parent fundraising for programs and athletics prioritization — an extracurricular/competitive‑achievement cluster that is about program breadth and success rather than facilities, admin conduct, safety, or curricular pathways.\""\n}""]",,29.6335871219635,27660,1792,2260,,[],['resp_0eaffa2d1169502a006a74d714c19c819ea42b9c4454b557b5'],True
vote|reduce2|3|0,"[""{\n    \""square entries report more pervasive student-safety and discipline failures (violence, bullying, gangs, drugs, assaults) and inadequate protection/follow-up than circle entries\"": \""Captures the many reports of physical assaults, gang/drug activity, chronic bullying, and staff/administration failure to protect or follow up — distinct from administrative governance (which covers corruption/favoritism) and from facility/operational problems (which covers space, sanitation, and tech), because this bucket is about student conduct and safety outcomes rather than leadership, program, or infrastructure issues.\"",\n    \""square entries report more administrative and staff misconduct, biased enforcement, and communication/recordkeeping failures than circle entries\"": \""Groups allegations of favoritism/nepotism, punitive or inconsistent discipline, recordkeeping errors, cover‑ups, unethical funding or attendance guidance, and rude/unresponsive front‑office behavior — a governance/staff‑behavior cluster separate from safety incidents (student misbehavior) and separate from facilities or program breadth because it centers on how adults and systems act or fail to act.\"",\n    \""square entries report more facility, capacity, and operational problems (overcrowding, sanitation, maintenance, and outages) than circle entries\"": \""Covers overcrowded classrooms, broken/unsanitary bathrooms, pest/HVAC/tech failures, lunch/transport logistics and scheduling constraints — focused on physical plant and operational logistics distinct from student safety outcomes, administrative misconduct, or programmatic offerings.\"",\n    \""square entries document more concrete advanced academic and career pathways and measurable postsecondary outcomes (AP/IB/CTE/dual‑enrollment, college placement) than circle entries\"": \""Groups the many concrete claims about abundant AP/IB/dual‑credit/STEM/CTE offerings, vocational certifications, scholarship/elite‑college acceptances and measurable AP/test outcomes — a program/outcome‑level academic strength bucket that is conceptually different from extracurricular breadth (which is about clubs/arts/athletics) and from instructional/teacher quality or admin dysfunction.\"",\n    \""square entries report more abundant, well‑resourced, and varied extracurriculars, arts, athletics, and external partnerships than circle entries\"": \""Contains the repeated reports of extensive band/arts/drama programs, many clubs, strong boosters/parent fundraising, competitive athletics, and named program awards or community turnout — focused on breadth and visibility of out‑of‑class opportunities and community engagement, not on academic credentialing (the advanced‑programs bucket) nor on facility or governance failures.\""\n}""]",,30.575937032699585,27471,1792,2319,,[],['resp_0799839eb8c61064006a74d714b8b881a39638f416f7795ac6'],True
vote|reduce2|6|0,"[""{\n    \""square entries report stronger formal advanced-academic programs and measurable college-prep outcomes than circle entries\"": \""Groups many raw terms describing concrete program offerings (AP/IB/AVID/dual‑enrollment, academies, measurable scholarships/college placements) into a single programmatic/outcomes bucket; this is distinct from facility, safety, administrative, or classroom‑level themes because it captures formal curricular pathways and postsecondary results rather than logistics, behavior, or staff performance.\"",\n    \""square entries report more facility, capacity, transportation, and resource‑prioritization problems (overcrowding, poor layout, cafeteria/bathroom failures, and athletic funding skew) than circle entries\"": \""Clusters the concrete physical/infrastructure and resource‑allocation complaints (overcrowding, cafeterias/bathrooms, building condition, Wi‑Fi, transport, and contested athletic funding) into one operational‑infrastructure bucket that is separate from administrative/process failures, safety incidents, classroom instruction, or program availability.\"",\n    \""square entries report more bullying, on-campus violence, gang/drug presence, and ineffective safety responses than circle entries\"": \""Groups all reviewer evidence about student safety, bullying/harassment, fights, weapons/drug incidents and weak or absent protective/disciplinary follow‑through into a single safety/climate bucket, which is conceptually distinct from program strength, facilities/logistics, administrative responsiveness, or teacher instructional variability.\"",\n    \""square entries report more administrative operational failures and poor responsiveness (scheduling/counselor mismanagement, enrollment/remote‑learning barriers, fees, recordkeeping and communication breakdowns) than circle entries\"": \""Captures the recurring, concrete bureaucratic breakdowns—lost records, scheduling/credit errors, counselor refusals, poor parent communication, enrollment/remote‑learning impediments and fee/fundraising burdens—kept separate from physical facilities, student‑safety incidents, instructional quality, or academic program breadth.\"",\n    \""square entries show greater variability in teacher quality, classroom instruction, and in‑class management (from highly engaged teachers to uncaring or abusive ones) than circle entries\"": \""Aggregates evidence about classroom‑level experience (wide swings from exemplary mentorship to disengaged or punitive teachers, inconsistent grading/rigor, and management problems) into a teacher/instruction bucket that is distinct from administrative/process failures, facility/resource issues, safety/climate, or the presence of formal advanced programs.\""\n}""]",,30.92674207687378,27627,1664,2175,,[],['resp_0b95b8cad5dcf9da006a74d714ee448192a3f17d72e71d5b1b'],True
